"","Player","Team","Pos","GP","W%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","EGPM","Gold%","WPM","WCPM","Split"
"9","Dreams","SK Gaming","Support","19","53","22","66","116","2.1","65.1","25.4","11","-19","-23","1","1.5","4.7","112","6.5","127.2","11.1","1.36","0.22","Spring Regular"
"14","GorillA","Misfits","Support","18","44","13","58","118","2.3","68.2","25.9","33","68","13","-0.8","1.4","5","136","8.3","124.8","10.9","1.45","0.28","Spring Regular"
"18","Hylissang","Fnatic","Support","18","61","12","49","141","3.1","71.8","28.2","44","-67","145","-4.6","1.3","4.2","158","9.3","137","11.6","1.32","0.24","Spring Regular"
"19","IgNar","Schalke 04","Support","19","47","12","43","122","3.1","70.5","21.9","21","-69","65","-1.6","1.6","5.3","129","7.6","128","10.9","1.49","0.35","Spring Regular"
"20","Jactroll","Vitality","Support","18","56","8","43","114","2.8","58.7","21.3","11","-86","-20","1.1","1.4","4.6","161","9.2","128","10.8","1.37","0.19","Spring Regular"
"25","kaSing","Excel Esports","Support","14","21","8","28","81","3.2","65.4","17.6","7","-156","-74","1.9","1.5","5.6","112","7.6","117.8","11.2","1.51","0.37","Spring Regular"
"31","Mikyx","G2 Esports","Support","16","81","17","48","182","4.1","71.1","26.1","25","101","59","-0.7","1.2","4.1","188","8.6","143.9","10.8","1.6","0.33","Spring Regular"
"32","Mithy","Origen","Support","18","67","15","40","112","3.2","64.5","25.8","39","95","151","-0.5","1.5","5.1","121","7.7","131.8","11.2","1.35","0.27","Spring Regular"
"36","Norskeren","Splyce","Support","18","61","16","52","159","3.4","68.6","24.3","47","101","-86","1.6","1.9","6.7","147","8.6","152.1","12.5","1.53","0.38","Spring Regular"
"54","Wadid","Rogue","Support","12","0","8","39","61","1.8","71.9","21.9","8","79","-264","4.6","1.5","5.2","107","7.9","107.2","11.1","1.33","0.3","Spring Regular"
"68","Hylissang","Fnatic","Support","11","64","10","34","99","3.2","66.1","25","9","5","-195","-7.4","1.1","3.5","157","8.9","137.4","10.8","1.35","0.29","Spring Playoffs"
"77","Mithy","Origen","Support","10","30","8","32","71","2.5","71.2","20.9","20","79","333","11.1","2.5","7.6","143","8.4","120.2","11.4","1.13","0.25","Spring Playoffs"
"107","Dreams","SK Gaming","Support","19","37","17","56","144","2.9","71.9","21.6","32","-47","-1","3.9","1.3","4.6","148","7.8","108.8","9.7","1.36","0.21","Summer Regular"
"120","Hylissang","Fnatic","Support","16","75","26","63","147","2.7","66.8","29.4","50","-121","-126","-2.3","1","3.5","234","11.5","145.3","11.2","1.2","0.3","Summer Regular"
"121","IgNar","Schalke 04","Support","18","61","22","24","183","8.5","74.5","12.3","28","25","223","-1.8","1.4","5.1","159","8.8","128.5","10.7","1.62","0.37","Summer Regular"
"123","Jactroll","Vitality","Support","19","42","23","70","115","2","62.4","24.8","26","42","28","-6.7","1.1","4","196","11.2","112.3","9.8","1.35","0.23","Summer Regular"
"140","Mikyx","G2 Esports","Support","17","82","22","41","188","5.1","66.2","21.9","18","48","-51","-5.4","0.8","2.8","287","13.3","156.1","11.6","1.34","0.32","Summer Regular"
"141","Mithy","Origen","Support","18","39","15","58","111","2.2","60.3","24.7","11","-4","57","6.7","1.5","4.8","147","8.4","104.6","9.2","1.37","0.34","Summer Regular"
"144","Mystiques","Excel Esports","Support","13","31","14","46","63","1.7","54.6","23.2","15","-75","-77","-3.8","1.3","4.5","146","9.2","103.6","9.7","1.37","0.29","Summer Regular"
"149","Norskeren","Splyce","Support","18","67","18","58","169","3.2","72.8","25.6","33","106","-33","-1.7","1.2","4.2","180","10","125.7","10","1.39","0.39","Summer Regular"
"165","Vander","Rogue","Support","18","39","23","53","129","2.9","65.5","22.3","28","-38","1","3.4","1.5","4.9","163","9.7","111.8","10.6","1.45","0.3","Summer Regular"
"179","Hylissang","Fnatic","Support","13","54","18","49","101","2.4","64","23.8","38","130","123","4.6","1.5","5.2","208","9.8","149.3","12.3","1.25","0.3","Summer Playoffs"
"180","IgNar","Schalke 04","Support","11","55","11","25","113","5","65.3","17.2","18","-108","-41","-1.2","1.1","3.9","139","7.1","110.6","9.4","1.8","0.44","Summer Playoffs"
"187","Mikyx","G2 Esports","Support","10","60","8","32","109","3.7","63.9","23.2","20","-152","-158","-4.6","1","4.1","159","7.7","136.1","10.9","1.53","0.5","Summer Playoffs"
"211","Norskeren","Splyce","Support","11","55","1","39","88","2.3","62.7","27.5","27","-70","3","2.5","1.4","4.7","149","8.9","110.9","9.1","1.52","0.38","Gauntlet"
