,Player,Team,Pos,GP,W%,K,D,A,KDA,KP,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,Gold%,WPM,WCPM,Split
2,Attila,Vitality,ADC,18,56,48,30,77,4.2,60.1,14.9,11,-112,-22,-3.9,10.2,33.4,458,25.6,316.7,26.9,0.35,0.39,Spring Regular
8,Crownshot,SK Gaming,ADC,19,53,73,44,85,3.6,74.5,16.9,11,-43,-52,0.9,9.9,33.4,519,28.9,327.1,28.7,0.37,0.36,Spring Regular
15,Hans Sama,Misfits,ADC,18,44,55,32,70,3.9,65.1,14.3,28,175,154,2.5,9.3,29.7,461,27,300.9,26.4,0.42,0.3,Spring Regular
16,HeaQ,Rogue,ADC,18,11,27,39,54,2.1,55.9,15.5,6,-230,38,-7.4,8.6,28.4,368,24.8,243.7,24.6,0.45,0.2,Spring Regular
22,Jeskla,Excel Esports,ADC,18,28,44,40,75,3,65.4,19.2,17,-192,-82,-3.7,9.2,31,422,27.5,276,26.2,0.43,0.26,Spring Regular
27,Kobbe,Splyce,ADC,18,61,81,24,93,7.3,68.2,11.2,35,-34,-72,-3.4,10,32.2,521,28.6,330.5,27.6,0.36,0.35,Spring Regular
40,Patrik,Origen,ADC,18,67,69,22,68,6.2,69.5,14.2,39,59,-43,1.7,9.9,31.7,502,31.8,328.6,28.1,0.47,0.33,Spring Regular
41,Perkz,G2 Esports,ADC,18,72,82,36,112,5.4,62.6,16.2,33,133,-9,3.3,9.9,32.4,593,26.9,344,26.8,0.38,0.26,Spring Regular
45,Rekkles,Fnatic,ADC,18,61,69,31,70,4.5,65.3,17.8,28,182,84,7,10.5,34,446,25.4,337.5,28.6,0.37,0.51,Spring Regular
51,Upset,Schalke 04,ADC,19,47,60,16,69,8.1,67.9,8.2,21,57,0,2.5,10.4,32.9,482,28.5,319.1,27.9,0.45,0.31,Spring Regular
82,Patrik,Origen,ADC,10,30,27,31,49,2.5,68.5,20.3,20,-67,-430,-5.2,7.6,26.2,446,25,253,24.1,0.47,0.32,Spring Playoffs
86,Rekkles,Fnatic,ADC,11,64,44,17,47,5.4,55.2,12.5,9,13,313,7.8,9.8,31.4,402,22.7,336.8,26.5,0.53,0.5,Spring Playoffs
94,Attila,Vitality,ADC,19,42,61,46,87,3.2,67,16.3,26,179,129,10.1,9.7,33.1,481,26.1,306.1,26.8,0.34,0.39,Summer Regular
104,Crownshot,SK Gaming,ADC,19,37,71,48,90,3.4,71.9,18.5,32,248,-7,4.8,9.9,32.5,564,30.7,312.9,28.4,0.37,0.4,Summer Regular
114,Hans Sama,Misfits,ADC,12,33,38,26,45,3.2,69.2,14.6,17,-155,-140,-8.7,9.3,30.4,429,26.9,297.4,27.2,0.44,0.24,Summer Regular
127,Jeskla,Excel Esports,ADC,13,31,34,40,48,2.1,58.2,20.2,15,-78,120,-1.7,8.7,29.6,457,28,273.2,25.2,0.53,0.19,Summer Regular
131,Kobbe,Splyce,ADC,18,67,89,31,85,5.6,67.7,13.7,33,119,34,0.6,10.6,33.8,503,27.2,360.2,29.3,0.33,0.39,Summer Regular
152,Patrik,Origen,ADC,18,39,59,38,76,3.6,64.6,16.2,11,-146,-193,-4.3,9.2,29.4,507,28.1,293.8,26.4,0.43,0.29,Summer Regular
153,Perkz,G2 Esports,ADC,17,82,89,32,100,5.9,59.6,17.1,24,85,160,5.3,9.8,33.8,535,24.5,349.1,26.6,0.38,0.25,Summer Regular
157,Rekkles,Fnatic,ADC,15,80,53,18,110,9.1,63.7,9.5,20,-220,-40,-3.4,9.9,32.1,480,23.9,328.3,25.1,0.53,0.38,Summer Regular
164,Upset,Schalke 04,ADC,18,61,104,30,89,6.4,70.2,15.4,22,163,24,2.9,10.5,35.2,583,31.3,350.1,29.5,0.4,0.38,Summer Regular
167,Woolite,Rogue,ADC,16,38,49,52,82,2.5,61.8,23.5,19,-430,-268,-13.3,8.4,31.1,434,26.8,277.1,26.1,0.44,0.29,Summer Regular
192,Perkz,G2 Esports,ADC,10,60,54,23,58,4.9,61.2,16.7,20,-94,68,-3.8,9.8,34.9,599,29.5,344,27.8,0.33,0.27,Summer Playoffs
193,Rekkles,Fnatic,ADC,13,54,50,30,62,3.7,60.2,14.6,31,125,-33,3.5,10.1,35.5,567,28.2,330.1,28,0.47,0.53,Summer Playoffs
195,Upset,Schalke 04,ADC,11,55,60,19,62,6.4,64.2,13.1,18,95,119,0.8,10,35.5,562,27.6,338.5,29.3,0.38,0.25,Summer Playoffs
208,Kobbe,Splyce,ADC,11,55,49,22,46,4.3,66.9,15.5,27,-66,-262,-1.5,9.6,31.7,436,24.5,333.3,27.4,0.29,0.25,Gauntlet
