"Marca temporal","¿Cual es su edad? (ej. 31)","Sexo","Aproximadamente cuantas horas de ejercicio/deporte hace semanalmente (ej. 3)","¿Qué tipo de proteína es de su preferencia diaria?","¿Consume algún tipo de suplemento proteico? (Proteína en polvo, barras de proteína, ensure, etc.)","Aproximadamente cuantos soles gasta a la semana en compras de víveres y comida (ej. 200)","¿Del 1 al 10, qué tan dispuesto estarías a consumir productos derivados de insectos? Siendo 1 nada dispuesto y 10 muy dispuesto. ","¿Aproximadamente qué precio le darías a 1 kg de insectos como grillos procesados y criados para consumo humano? (en soles ej. 10.00)","¿Cuántos productos de insectos o derivados de insectos has probado? (ej. 2)","¿Cuál producto derivado de insectos estarías más dispuesto a probar tomando en cuenta que todos son aptos para consumo?"
"2021/05/16 6:04:38 p. m. GMT-5","19","Hombre","3","Carne, pollo,chancho, pescado","No","300","8","13.00","1","Hamburguesas"
"2021/05/16 6:05:38 p. m. GMT-5","20","Hombre","15-18","Carne, pollo,chancho, pescado","Si","240","5","16","4","Piqueos varios"
"2021/05/16 6:09:16 p. m. GMT-5","17","Mujer","5","Carne, pollo,chancho, pescado","No","200","1","05.00","1",""
"2021/05/16 6:11:36 p. m. GMT-5","20","Hombre","4","Carne, pollo,chancho, pescado","No","150","5","5","0","Barras proteicas"
"2021/05/16 6:14:45 p. m. GMT-5","17","Hombre","2","Huevo, lácteos, derivados varios","No","100","7","20","0","Barras proteicas"
"2021/05/16 6:19:16 p. m. GMT-5","18","Hombre","6","Huevo, lácteos, derivados varios","Si","15","8","5","0","Harina de insecto"
"2021/05/16 6:22:43 p. m. GMT-5","20","Hombre","6","Carne, pollo,chancho, pescado","No","150","1","2","0","Barras proteicas"
"2021/05/16 6:24:32 p. m. GMT-5","16","Mujer","0","Carne, pollo,chancho, pescado","No","100","1","25","2","Harina de insecto"
"2021/05/16 6:26:11 p. m. GMT-5","18","Mujer","5","Carne, pollo,chancho, pescado","No","800","4","7.60","Ninguno ",""
"2021/05/16 6:27:36 p. m. GMT-5","18","Hombre","Nel","Carne, pollo,chancho, pescado","No","500","2","50","Nada","Barras proteicas"
"2021/05/16 6:30:05 p. m. GMT-5","20","Hombre","5 ","Carne, pollo,chancho, pescado","Si","400","1","8.00","0","Harina de insecto"
"2021/05/16 6:31:13 p. m. GMT-5","18","Mujer","5","Vegetales","No","150","5","12.00","0","Barras proteicas"
"2021/05/16 6:32:42 p. m. GMT-5","50","Hombre","2","Huevo, lácteos, derivados varios","No","350","8","20","1","Pastas o panes"
"2021/05/16 6:34:08 p. m. GMT-5","20","Hombre","10","Carne, pollo,chancho, pescado","No","400+","1","10","0","Pastas o panes"
"2021/05/16 6:39:20 p. m. GMT-5","19","Hombre","2","Carne, pollo,chancho, pescado","No","300","1","10","0","Harina de insecto"
"2021/05/16 6:42:36 p. m. GMT-5","52","Mujer","45","Huevo, lácteos, derivados varios","No","700","1","20","0","Ninguna "
"2021/05/16 6:43:23 p. m. GMT-5","19","Hombre","3","Carne, pollo,chancho, pescado","No","200","1","15","0","Barras proteicas"
"2021/05/16 6:47:12 p. m. GMT-5","52","Mujer","5","Carne, pollo,chancho, pescado","No","1000","1","5","1","Piqueos varios"
"2021/05/16 6:47:15 p. m. GMT-5","18","Hombre","8","Huevo, lácteos, derivados varios","No","100","10","15","0","Barras proteicas"
"2021/05/16 6:47:32 p. m. GMT-5","18","Hombre","7","Carne, pollo,chancho, pescado","No","200","8","5","0","Hamburguesas"
"2021/05/16 6:48:42 p. m. GMT-5","62","Hombre","1","Huevo, lácteos, derivados varios","No","400","1","0","O","Niniguno"
"2021/05/16 6:49:34 p. m. GMT-5","18","Mujer","3","Vegetales","Si","100","4","5","0","Pastas o panes"
"2021/05/16 6:50:26 p. m. GMT-5","77","Mujer","2.30 horas","Carne, pollo,chancho, pescado","No","300","5","15","Uno",""
"2021/05/16 6:56:26 p. m. GMT-5","53","Mujer","7 hs ","Vegetales","No","700","1","Ninguna ","Ninguno","Ninguno"
"2021/05/16 6:59:29 p. m. GMT-5","21","Mujer","4","Huevo, lácteos, derivados varios","No","210","7","6","0","Piqueos varios"
"2021/05/16 6:59:57 p. m. GMT-5","18","Mujer","2","Carne, pollo,chancho, pescado","No","250","6","6","0","Barras proteicas"
"2021/05/16 7:01:36 p. m. GMT-5","20","Hombre","9","Carne, pollo,chancho, pescado","Si","500","8","3","0","Barras proteicas"
"2021/05/16 7:02:48 p. m. GMT-5","49","Mujer","2 horas","Carne, pollo,chancho, pescado","No","800","9","5 soles","Nada","Nada"
"2021/05/16 7:03:01 p. m. GMT-5","52","Mujer","5","Huevo, lácteos, derivados varios","No","","1","","0",""
"2021/05/16 7:04:32 p. m. GMT-5","51","Mujer","Q","Carne, pollo,chancho, pescado","No","350","1","0","Ninguno","Ninguno"
"2021/05/16 7:08:20 p. m. GMT-5","20","Mujer","7","Huevo, lácteos, derivados varios","No","200","10","12","4","Piqueos varios"
"2021/05/16 7:08:47 p. m. GMT-5","49","Mujer","1","Carne, pollo,chancho, pescado","No","500","2","16","Ninguno ","Ninguno"
"2021/05/16 7:11:40 p. m. GMT-5","53","Mujer","O","Carne, pollo,chancho, pescado","No","300","1","15","1","Miel de abeja"
"2021/05/16 7:17:16 p. m. GMT-5","60","Mujer","Ninguna","Carne, pollo,chancho, pescado","No","500.00","1","5.00","Ninguno","Pastas o panes"
"2021/05/16 7:19:23 p. m. GMT-5","54","Mujer","4","Carne, pollo,chancho, pescado","No","800","5","50","3",""
