Pregunta,GeneranSatisfaccion,GeneranProblemas,ObsesionInformado,ObsesionConectado
Prefiero las amistades de las redes sociales que las presenciales.,0.697,0.000,0.000,0.000
"Por lo general, prefiero comunicarme con personas a través de las redes sociales.",0.673,0.000,0.000,0.000
Me expreso mejor con las personas de las redes sociales.,0.651,0.000,0.000,0.000
Prefiero la comunicación virtual en las redes sociales para salir.,0.638,0.000,0.000,0.000
Una vida sin redes sociales no tiene sentido para mí.,0.587,0.000,0.000,0.000
Aparento ser lo que yo quiero en las redes sociales.,0.572,0.000,0.000,0.000
Prefiero usar las redes sociales a pesar de estar acompañado.,0.539,0.000,0.000,0.000
Veo las redes sociales como escape del mundo real.,0.511,0.000,0.000,0.000
Hasta mi familia se enfada porque no puedo dejar de usar las redes sociales.,0.433,0.000,0.000,0.000
Tengo problemas físicos debido al uso de las redes sociales.,0.000,0.735,0.000,0.000
Noto que mi productividad ha disminuido debido a las redes sociales.,0.000,0.680,0.000,0.000
Utilizo las redes sociales con tanta frecuencia que me olvido de mi familia.,0.000,0.678,0.000,0.000
Ni siquiera noto que tengo hambre y sed cuando estoy en las redes sociales.,0.000,0.658,0.000,0.000
Omito mis tareas porque paso mucho tiempo en las redes sociales.,0.000,0.608,0.000,0.000
Me siento mal si estoy obligado a disminuir el tiempo que paso en las redes sociales.,0.000,0.565,0.000,0.000
Me siento infeliz cuando no estoy en las redes sociales.,0.000,0.563,0.000,0.000
Me gusta usar las redes sociales para mantenerme informado sobre lo que sucede.,0.000,0.000,0.740,0.000
"Mantenerme informado sobre las cosas relacionadas con mis cursos (ej. tarea, actividades) me hace estar siempre en las redes sociales.",0.000,0.000,0.732,0.000
Navego en las redes sociales para mantenerme informado sobre lo que comparten los grupos de medios sociales.,0.000,0.000,0.687,0.000
"Paso más tiempo en las redes sociales para ver algunos eventos/acontecimientos especiales (por ejemplo, cumpleaños).",0.000,0.000,0.657,0.000
Siempre estoy activo en las redes sociales para estar inmediatamente informado sobre qué comparten amigos y familia.,0.000,0.000,0.609,0.000
El mundo misterioso de las redes sociales siempre me cautiva.,0.000,0.000,0.497,0.000
Busco conectarme a Internet en todas partes para acceder a las redes sociales.,0.000,0.000,0.000,0.723
Estoy ansioso por ir a las redes sociales.,0.000,0.000,0.000,0.722
Lo primero que hago cuando me despierto es conectarme a las redes sociales.,0.000,0.000,0.000,0.574
Quiero pasar el tiempo en las redes sociales cuando estoy solo.,0.000,0.000,0.000,0.544
Me emociona estar en las redes sociales.,0.000,0.000,0.000,0.527
Las actividades de las redes sociales se afianzan en mi vida cotidiana.,0.000,0.000,0.000,0.436
