NCursos,Álgebra,Aritmética,Geometría,Trigonometría,Física,Química,Computación,Programación,PromMate,PromCiencias,PromComputación,PromProgramación,HorasSec,DificultadExamen,HorasUtec,CálculoP1,CálculoP2,CálculoP3,ProgramaciónP1,ProgramaciónP2,QuímicaP1,QuímicaP2,QuímicaP3,IntroMecánicaP1,IntroMecánicaP2,IntroMecánicaP3
5,1,1,,,1,1,1,,19,15,,,4,3,6,3,4,4,,3,4,3,3,2,3,2
2,,1,,,,1,,,15,15,,,10,4,24,2,3,1,,1,2,2,4,2,2,2
5,1,1,,,1,1,1,,16,15,13,,6,4,14,2,5,4,,3,4,4,5,4,4,4
5,,1,1,,1,1,1,,18,16,18,,2,5,4,1,2,1,,4,4,3,1,2,2,2
6,1,1,1,1,1,1,,,19,19,,,3,3,5,2,4,3,,1,4,3,3,4,3,3
7,1,1,1,1,1,1,1,,15,17,16,,5,4,24,2,3,2,,3,4,4,3,3,4,4
2,1,,,,,1,,,15,19,,,3,4,5,4,4,4,,2,4,4,2,1,1,1
5,1,1,1,1,,1,,,18,19,,,6,3,9,2,3,2,,3,5,4,4,2,1,1
5,1,1,1,1,1,,,,14,20,,,4,3,12,1,1,3,,4,4,3,3,1,1,1
3,,1,1,,1,,,,15,14,,,2,5,3,4,4,3,,5,3,3,4,3,4,3
6,1,1,1,1,1,1,,,15,14,,,4.5,4,8,1,4,3,,2,5,5,5,2,4,4
6,1,1,1,1,1,1,,,19,15,,,9,4,16,2,4,3,,4,3,3,3,2,4,3
7,1,1,1,1,1,1,1,,19,18,17,,20,4,20,3,5,4,,3,4,4,4,4,4,5
3,,1,,,1,1,,,11,15,,,4,5,4,1,2,2,,5,5,3,3,1,1,1
6,1,1,1,1,1,1,,,17,17,,,2.5,4,5,1,4,3,,3,4,4,4,3,4,4
7,1,1,1,1,1,1,1,,18,15,17,,10,3,25,4,5,3,,3,4,4,4,3,3,4
6,1,1,1,1,1,1,,,18,18,,,14,2,20,3,4,4,,4,4,4,5,3,3,2
7,1,1,1,1,1,1,1,,15,13,15,,4,4,8,4,4,3,,4,5,4,4,2,4,3
6,1,1,1,1,1,1,,,19,19,,,12,3,24,2,4,3,,4,4,3,4,3,3,3
5,1,1,1,1,,,1,,14,13,17,,2,4,8,4,4,4,1,3,2,2,2,2,2,2
7,1,1,1,1,1,1,1,,15,18,19,,5,3,15,2,5,3,,5,4,4,4,3,3,1
2,,,,,1,1,,,16,13,14,,2,4,2,2,3,3,,3,3,3,3,2,3,3
4,,1,1,1,,1,,,19,17,,,30,4,36,3,5,3,,2,4,3,4,3,3,3
3,,1,,,1,1,,,16,16,,,2,3,48,1,2,1,,1,2,2,2,2,2,2
7,1,1,1,1,1,1,1,,20,15,18,,7,4,10,3,3,3,,3,3,3,3,3,2,2
5,1,1,1,1,,1,,,13,16,,,7,3,9,3,4,3,,4,4,4,4,2,2,2
6,1,1,1,1,1,1,,,14,14,,,3.5,4,5.5,3,4,4,,3,3,3,3,3,4,3
4,1,1,1,,,,1,,19,14,20,,4,2,6,4,5,4,,4,3,3,4,3,3,3
5,1,1,1,,1,1,,,13,20,,,16,1,18,1,3,2,,1,4,4,4,3,2,3
7,1,1,1,1,1,1,1,,15,15,17,,2,4,2.5,1,3,3,,2,3,3,3,2,3,3
7,1,1,1,1,1,1,1,,15,15,19,,2,3,4,2,5,4,,4,5,2,3,3,3,4
6,1,1,1,1,1,1,,,20,14,,,21,3,42,2,5,4,,5,4,4,5,3,4,4
7,1,1,1,1,1,1,1,,11,14,20,,3.5,3,4.5,4,5,4,,4,4,3,1,2,3,3
3,,1,1,,1,,,,18,20,,,3,4,12,4,5,4,,3,3,3,4,4,4,4
3,,,,1,1,1,,,14,13,,,3,4,6,5,4,1,,3,4,1,4,4,3,1
7,1,1,1,1,1,1,1,,15,14,13,,9,4,10,3,4,3,,3,4,4,4,3,2,2
7,1,1,1,1,1,1,1,,19,20,14,,6,4,16,3,4,4,,2,4,4,5,5,5,5
7,1,1,1,1,1,1,1,,19,18,17,,2,4,5,1,3,3,,2,4,3,3,1,2,2
5,1,1,1,,1,1,,,20,20,,,8,4,10,3,4,2,,3,4,4,4,3,3,3
4,1,1,1,1,,,,,15,16,,,4,1,4,1,3,4,,4,5,3,4,3,3,3
6,1,1,1,1,1,1,,,15,16,,,1,3,4,1,5,3,,2,4,3,4,4,3,5
7,1,1,1,1,1,1,1,,19,18,20,,1,2,4,2,2,2,,4,2,2,2,1,3,3
6,1,1,1,1,1,,,,19,18,,,17,4,24,1,3,2,,4,5,4,4,3,4,4
6,1,1,1,1,1,1,,,15,20,,,3,3,6,2,5,4,,3,4,4,5,5,5,5
6,1,1,1,1,1,1,,1,16,11,7,4,5,3,20,4,4,3,,4,4,4,3,1,2,2
6,1,1,1,1,1,1,,,15,13,,,5,4,10,3,3,3,,3,4,3,3,3,3,3
7,1,1,1,1,1,1,1,,20,16,14,,24,4,48,4,5,4,,3,4,4,4,4,4,4
4,1,,,1,1,1,,,19,17,,,5,4,9,3,4,4,,3,5,4,3,3,3,3
6,,1,1,1,1,1,1,,15,17,20,,6,3,10,4,3,3,,4,5,5,4,1,2,2
7,1,1,1,1,1,1,1,,11,16,13,,2,4,2,4,4,3,,3,4,4,3,1,4,4
7,1,1,1,1,1,1,1,,14,15,,,2,4,9,4,5,4,,4,3,3,4,1,2,3
7,1,1,1,1,1,1,1,,17,19,19,,5,3,7,3,4,4,,3,3,3,4,3,3,4
6,1,1,1,1,1,1,,,18,13,,,2,4,5,3,4,4,,3,4,3,4,3,3,4
7,1,1,1,1,1,1,1,,17,20,15,,10,3,25,4,5,4,,2,4,3,5,4,4,4
3,,,1,1,,1,,,18,19,,,5,5,8,4,5,3,,2,4,4,4,3,4,4
7,1,1,1,1,1,1,1,,14,14,16,,2.5,3,4,1,3,3,,5,5,4,4,3,3,3
7,1,1,1,1,1,1,1,,15,17,,,5,3,12,3,4,3,,3,4,4,3,1,2,1
6,1,1,1,1,1,1,,,16,16,,,8,2,20,2,2,1,,1,2,1,4,1,4,3
6,1,1,1,1,1,1,,,18,16,,,12,3,24,5,5,3,,5,4,3,3,2,2,2
7,1,1,1,1,1,1,1,,14,14,18,,7,3,5,5,5,4,,3,4,4,4,5,4,4
5,1,1,1,1,,,1,,20,14,18,,2,3,4,1,3,5,,4,1,1,3,1,1,1
4,1,,1,1,,1,,,16,16,,,3,4,10,1,3,2,,4,4,3,3,3,3,2
3,,1,,,1,1,,,13,13,,,5,3,8,5,2,2,,3,4,3,3,3,3,2
