Marca temporal,1. ¿Sigues el género K-pop?,2. ¿Qué edad tienes?,3.¿Cuál es su género?,4. ¿Hace cuántos años sigue el K-pop? ,5. ¿Pertenece a algún fan club?,6. ¿Qué es lo que más le gusta del género K-pop?,7. ¿Cuál es su grupo favorito?,8. ¿Cuán importante considera el K-pop en su vida? Siendo 1 poco importante y 5 muy importante,9.  ¿De qué forma le llegó a gustar el K-pop?,10. ¿Cómo se siente al escuchar K-pop?,11. ¿Qué medios de comunicación sueles utilizar para mantenerte al tanto del K-pop?,12. ¿Cuánto dinero (S/) mensualmente invierte en compras de productos relacionados al K-pop?,13. ¿Cuánto dinero (S/) mensualmente invierte en servicios relacionados al K-Pop?,14. ¿Qué productos compras o comprarías relacionados al K-pop? Elija 1 de acuerdo a su preferencia,15. ¿A qué servicios recurre o recurriría con temática K-pop? Elija 1 de acuerdo a su preferencia,16. ¿Te has sentido juzgado o discriminado por ser K-poper?
18/05/2021 9:36:35,Si,19,Masculino,1,No,Ritmo,Black Pink,3,Influencia de un amiga (o),Alegre,Facebook,15,20,Discos,Restaurantes,Si
18/05/2021 10:11:00,Si,19,Femenino,4,Si,Ritmo,Seventeen ,2,Influencia de un amiga (o),Alegre,YouTube,100,0,Ropa,Academia de Baile,Si
18/05/2021 10:21:09,Si,21,Femenino,8,No,Coreografías,BTS,2,Escuché su música y me gustó,Alegre,Instagram,0,30,Álbumes,Restaurantes,Si
18/05/2021 11:11:48,Si,19,Femenino,5,Si,Idols,Enhypen ,5,Escuché su música y me gustó,Esperanzada (o),Twitter,400,100,Álbumes,Conciertos,Si
18/05/2021 11:39:42,Si,18,Femenino,2,No,Coreografías,BTS,3,Influencia de un amiga (o),Entusiasmada (o),YouTube,10,25,Ropa,Conciertos,Si
18/05/2021 12:06:14,Si,17,Masculino,17,Si,Coreografías,BTS,5,Influencia Redes Sociales,Alegre,YouTube,10,10,Llaveros,Academia de Baile,Si
18/05/2021 12:31:21,Si,17,Masculino,3,No,Ritmo,BTS,3,Influencia de un amiga (o),Relajada (o),Instagram,10,10,Sourvenir,Conciertos,No
18/05/2021 12:32:44,Si,18,Femenino,1,No,Letra de canciones,Twice,1,Escuché su música y me gustó,Relajada (o),YouTube,0,0,Álbumes,Conciertos,No
18/05/2021 12:37:38,No,,,,,,,,,,,,,,,
18/05/2021 12:40:23,Si,18,Femenino,3,No,Ritmo,Black Pink,2,Influencia de un amiga (o),Alegre,Facebook,0,0,Ropa,Academia de Baile,No
18/05/2021 12:56:31,Si,19,Femenino,2,Si,Letra de canciones,Black Pink,3,Escuché su música y me gustó,Entusiasmada (o),YouTube,80,30,Poster,Merchandising online,Si
18/05/2021 13:03:52,Si,19,Otros,4,Si,Todo,Twice,4,Escuché su música y me gustó,Entusiasmada (o),Facebook,60,0,Discos,Academia de Baile,No
18/05/2021 13:06:27,Si,21,Masculino,3,No,Letra de canciones,BTS,3,Influencia Redes Sociales,Alegre,Facebook,100,50,Libros,Conciertos,Si
18/05/2021 13:09:11,Si,18,Femenino,4,Si,Coreografías,BTS,3,Influencia de un amiga (o),Alegre,YouTube,0,0,Llaveros,Academia de Baile,Si
18/05/2021 13:09:35,Si,19,Femenino,5,Si,Coreografías,BTS,5,Escuché su música y me gustó,Entusiasmada (o),Twitter,5,12,Álbumes,Academia de Baile,Si
18/05/2021 13:16:48,Si,19,Femenino,5,Si,Letra de canciones,BTS,5,Escuché su música y me gustó,Fortalecida (o),Twitter,50,20,Álbumes,Lounge coffee,Si
18/05/2021 13:30:51,Si,23,Masculino,14,No,Letra de canciones,Black Pink,3,Influencia Redes Sociales,Alegre,Facebook,70,0,Ropa,Conciertos,No
18/05/2021 13:35:58,Si,17,Femenino,4,Si,Letra de canciones,EXO,2,Escuché su música y me gustó,Relajada (o),YouTube,25,50,Poster,Academia de Baile,No
18/05/2021 13:49:43,No,,,,,,,,,,,,,,,
18/05/2021 14:08:32,No,,,,,,,,,,,,,,,
18/05/2021 14:11:28,No,,,,,,,,,,,,,,,
18/05/2021 14:26:11,No,,,,,,,,,,,,,,,
18/05/2021 14:47:40,Si,18,Femenino,7,No,Letra de canciones,BTS,3,Escuché su música y me gustó,Entusiasmada (o),Instagram,0,25,Álbumes,Conciertos,No
18/05/2021 15:37:25,Si,18,Femenino,3,Si,Letra de canciones,BTS,5,Escuché su música y me gustó,Entusiasmada (o),Twitter,100,0,Álbumes,Conciertos,Si
18/05/2021 15:42:45,Si,20,Femenino,3,Si,Todo,BTS,4,Influencia de un amiga (o),Alegre,Twitter y YouTube ,0,30,Álbumes,Conciertos,No
18/05/2021 15:50:03,Si,20,Femenino,7,Si,Idols,EXO,3,Influencia de un amiga (o),Alegre,Twitter,20,20,Álbumes,Conciertos,No
18/05/2021 15:54:57,Si,15,Femenino,5,Si,Vestimenta,BTS,5,Escuché su música y me gustó,Alegre,YouTube,40,40,Discos,Academia de Baile,Si
