Marca temporal,Â¿CuÃ¡l es su peso? En kg,Â¿CuÃ¡l es su estatura? En cm,Â¿QuÃ© tipo de comida preferirÃ­a que contenga la carta?,Â¿CuÃ¡ntas veces al mes consume en un restaurante? Incluya las veces que pide comida por delivery por la situaciÃ³n actual,Â¿CuÃ¡nto gasta mensualmente al recurrir a restaurantes?,"Â¿El tipo de comida determina su preferencia en un restaurante? Por ejemplo comida vegetariana, dietÃ©tica, etc.",Â¿QuÃ© tipo de dieta alimenticia sigue?,Â¿CuÃ¡ntas kilocalorÃ­as procura consumir en un plato de comida?
1/07/2021 07:50,55,164,"Comida Peruana, solo con ambiente K-pop",7,125,No,Normal,550
1/07/2021 08:32,68.7,170,"Comida Peruana, solo con ambiente K-pop",3,165,No,Normal,620
1/07/2021 09:15,70,172,Comida China,10,110,No,Normal,650
1/07/2021 09:58,47,164,"Comida Peruana, solo con ambiente K-pop",2,55,Sí,Hipocalorica,400
1/07/2021 10:41,79,174,"Comida Peruana, solo con ambiente K-pop",3,11,No,Normal,650
1/07/2021 11:23,70.2,176,"Comida Peruana, solo con ambiente K-pop",4,44,Sí,Vegetariana,610
1/07/2021 12:06,78.5,177,"Comida Peruana, solo con ambiente K-pop",2,11,Sí,Vegetariana,700
1/07/2021 12:49,83.5,184,Comida China,5,55,Sí,Vegetariana,590
1/07/2021 13:32,59,162,"Comida Peruana, solo con ambiente K-pop",3,38.5,Sí,Vegetariana,650
1/07/2021 14:14,65,170,"Comida Peruana, solo con ambiente K-pop",15,187,No,Normal,620
1/07/2021 14:57,60,159,Comida China,2,22,No,Normal,570
1/07/2021 15:40,56,152,Comida China,4,110,No,Normal,560
1/07/2021 16:23,70,175,"Comida Peruana, solo con ambiente K-pop",4,110,No,Normal,560
1/07/2021 17:05,79,183,Comida China,1,11,Sí,Vegetariana,610
1/07/2021 17:48,67.5,185,"Comida Peruana, solo con ambiente K-pop",10,220,No,Normal,610
1/07/2021 18:31,83,168,Comida China,2,55,No,Normal,770
1/07/2021 19:14,62,175,"Comida Peruana, solo con ambiente K-pop",15,220,No,Normal,510
1/07/2021 19:56,65,175,"Comida Peruana, solo con ambiente K-pop",3,44,No,Normal,610
1/07/2021 20:39,79,173,"Comida Peruana, solo con ambiente K-pop",1,22,No,Normal,720
1/07/2021 21:22,63,157,Comida China,4,44,Sí,Hipocalorica,640
1/07/2021 22:05,56.2,160,"Comida Peruana, solo con ambiente K-pop",5,165,No,Normal,590
1/07/2021 22:47,58,155,"Comida Peruana, solo con ambiente K-pop",1,22,Sí,Vegetariana,520
1/07/2021 23:30,63,175,"Comida Peruana, solo con ambiente K-pop",15,220,No,Normal,620
2/07/2021 00:13,65.5,167,"Comida Peruana, solo con ambiente K-pop",4,330,Sí,Vegetariana,640
2/07/2021 00:56,58.5,161,"Comida Peruana, solo con ambiente K-pop",20,484,No,Normal,620
2/07/2021 01:38,50,162,"Comida Peruana, solo con ambiente K-pop",3,440,No,Normal,600
2/07/2021 02:21,52,163,Comida China,4,220,No,Normal,640
2/07/2021 03:04,60.3,172,Comida China,10,330,No,Normal,570
2/07/2021 03:47,50,152,"Comida Peruana, solo con ambiente K-pop",2,1.1,Sí,Vegetariana,600
2/07/2021 04:29,50,166,Comida China,3,110,No,Normal,510
2/07/2021 05:12,66,174,"Comida Peruana, solo con ambiente K-pop",10,110,No,Normal,600
2/07/2021 05:55,53,158,Comida China,4,66,Sí,Vegetariana,500
2/07/2021 06:38,80,175,"Comida Peruana, solo con ambiente K-pop",20,110,No,Normal,640
2/07/2021 07:20,70,170,Comida China,3,55,No,Normal,610
2/07/2021 08:03,65,166,"Comida Peruana, solo con ambiente K-pop",2,220,No,Normal,560
2/07/2021 08:46,58,160,"Comida Peruana, solo con ambiente K-pop",5,33,No,Normal,620
2/07/2021 09:29,80.3,172,"Comida Peruana, solo con ambiente K-pop",8,55,No,Normal,710
2/07/2021 10:11,62,158,Comida China,3,110,Sí,Vegetariana,640
2/07/2021 10:54,48.9,163,"Comida Peruana, solo con ambiente K-pop",3,33,No,Normal,510
2/07/2021 11:37,55,162,"Comida Peruana, solo con ambiente K-pop",3,132,No,Normal,640
2/07/2021 12:20,54,161,Comida China,1,6.6,No,Normal,570
2/07/2021 13:02,57,161,"Comida Peruana, solo con ambiente K-pop",8,220,Sí,Hipocalorica,640
2/07/2021 13:45,85,176,"Comida Peruana, solo con ambiente K-pop",1,77,Sí,Vegetariana,680
2/07/2021 14:28,74.5,178,"Comida Peruana, solo con ambiente K-pop",15,143,No,Normal,590
2/07/2021 15:11,82,179,Comida China,12,165,No,Normal,660
2/07/2021 15:53,78,188,"Comida Peruana, solo con ambiente K-pop",20,330,No,Normal,570
