Periodo de ingreso ,Sexo ,Edad ,Carrera,Horas de sueño diarias ,Deporte,Videojuegos,Servicios de streaming,Actividades artísticas,¿Cuántos cursos llevas normalmente?,¿Beca o crédito educativo?,Horas de estudio fuera de la clase,Redes sociales ,Horas académicas semanales
2020.1,Masculino,18,Ciencia de la Computación,8,4,8,4,0,5,Sin beca o crédito,4,3,21
2019.2,Masculino,21,Ciencia de la Computación,7,1,4,4,2,7,Beca,5,5,31
2021-1,Masculino,27,Ing. Industrial,9,3,1,7,1,5,Sin beca o crédito,5,3,25
2020.1,Masculino,18,Ing. Mecatrónica,8,1,5,3,1,7,Sin beca o crédito,4,2,24
2019.2,Masculino,19,Ing. Química,7,0,2,2,0,6,Beca,5,3,34
2020.1,Masculino,18,Ing. Mecánica,4,2,0,4,1,6,Sin beca o crédito,3,4,19
2020.1,Masculino,18,Bioingenieria,7,2,1,4,0,8,Crédito educativo,6,6,28
2020.1,Femenino,18,Ing. Mecatrónica,7,1,0,3,1,7,Sin beca o crédito,7,3,23
2019.2,Masculino,19,Ciencia de la Computación,4,1,1,0,5,7,Beca,6,2,28
2019.2,Masculino,20,Ing. Mecatrónica,7,10,0,0,10,7,Sin beca o crédito,6,10,27
2020.1,Masculino,18,Ciencia de la Computación,8,0,3,2,0,4,Sin beca o crédito,3,3,20
2020.1,Masculino,18,Ing. Mecatrónica,7 horas,5,2,1,0,7,Sin beca o crédito,2,5,21
2021-1,Masculino,18,Ing. Electrónica,5,0,2,1,0,7,Sin beca o crédito,5,3,24
2020.1,Masculino,17 años,Ing. Civil,7,0,0,0,0,6,Beca,4,1,23
2019-1,Masculino,19,Ing. Mecatrónica,7,0,0,0,1,6,Sin beca o crédito,5,3,20
2019.1,Masculino,19,Bioingenieria,7,2,0,2,1,4,Sin beca o crédito,3,2,28
2020.1,Masculino,18,Ing. Mecánica,7,0,2,5,0,7,Sin beca o crédito,4,6,20
2020.1,Masculino,18,Ing. Ambiental,7,3,0,2,1,5,Beca,4,4,24
2019.2,Masculino,20,Ing. Industrial,6,2,0,0,1,8,Beca,7,2,20
2019.1,Femenino,19,Ing. Ambiental,6,1,0,4,0,6,Sin beca o crédito,4,7,18
2019.1,Femenino,20,Ing. Industrial,7,1,1,2,0,5,Sin beca o crédito,6,7,22
2020.1,Femenino,18,Ing. Civil,7,4,2,7,3,7,Beca,4,5,25
2020.1,Masculino,18,Ing. Electrónica,7,0,1,0,0,7,Sin beca o crédito,4,3,21
2019.1,Masculino,19,Ing. Civil,8,1,10,3,1,7,Beca,2,3,20
2019.2,Masculino,19,Ing. Civil,8,7,5,7,5,8,Beca,6,6,29
2020.1,Femenino,18,Ing. Mecatrónica,7,5,0,3,1,7,Beca,5,9,19
2019.1,Masculino,26,Ing. Electrónica,6,0,0,0,0,5,Sin beca o crédito,6,4,20
2020.1,Masculino,19,Bioingenieria,7 horas,3,8,6,0,7,Beca,2,10,23
2019.1,Femenino,19,Bioingenieria,5-6,0,0,3,2,7,Sin beca o crédito,4,4,23
2018.1,Masculino,20,Ing. Mecánica,8,0,10,4,4,5,Sin beca o crédito,9,6,14
2020.1,Masculino,18,Bioingenieria,5,4,4,3,1,7,Sin beca o crédito,6,1,29
2020.1,Masculino,17,Ing. Mecatrónica,8,0,3,0,2,5,Sin beca o crédito,2,5,21
2019.1,Masculino,19,Bioingenieria,7,0,6,0,0,6,Sin beca o crédito,3,6,22
2019.1,Masculino,19,Ing. De la Energía,6 horas,2,4,2,0,4,Crédito educativo,2,8,14
2019.1,Masculino,20,Bioingenieria,8,3,6,3,3,5,Sin beca o crédito,3,4,17
2020.1,Masculino,18,Bioingenieria,6,2,7,4,3,6,Beca,3,6,19
2020.1,Masculino,18,Ing. Mecánica,5,4,5,4,0,7,Sin beca o crédito,9,2,20
2019.2,Masculino,19,Ing. Industrial,7,7,3,0,2,7,Beca,4,3,29
