Ametralladoras Ligeras,Rango de Daño Máximo (m),Daño extremidades,Daño Torso inferior,Daño torso superior,Balas por minuto,Daño por segundo,Daño a la cabeza,Retroceso
FiNN Adverse,23,22,22,28,1000,467,28,4
MG 34,33,31,31,34,857,486,46,7
Stoner 63,40,34,34,37,722,445,51,4
PKM,39,31,31,34,750,425,46,1
FiNN,30,28,28,36,632,379,36,1
SA87,48,34,37,40,594,396,51,5
M91,29,32,32,35,667,389,48,6
MK9 Bruen,26,31,31,31,750,388,46,3
RPD,40,32,32,35,652,380,48,2
Holger-26,48,28,28,28,714,333,42,5
M60,42,36,36,39,517,336,54,7
