Armas Cuerpo a Cuerpo,Rango de Daño Máximo (m),Daño extremidades,Daño Torso inferior,Daño torso superior,Balas por minuto,Daño por segundo,Daño a la cabeza,Retroceso
Escudo balistico,1,60,60,60,1,1,60,0
Kodachi duales,2,135,135,135,1,2,135,0
Palos kali,3,90,90,90,3,5,90,0
Cuchillo MW,1,135,135,135,1,2,135,0
Cuchillo CW,1,135,135,135,1,2,135,0
Mazo,1,135,135,135,1,2,135,0
Kodachi,1,135,135,135,1,2,135,0
Multiherramienta,1,135,135,135,1,2,135,0
Machete,1,135,135,135,2,5,135,0
Cuchillo Balistico,1,135,135,135,1,2,135,0
Cuchillo Mariposa,1,135,135,135,1,2,135,0
Puños,1,30,30,30,1,1,30,0
