Escopetas,Rango de Daño Máximo (m),Daño extremidades,Daño Torso inferior,Daño torso superior,Balas por minuto,Daño por segundo,Daño a la cabeza,Retroceso
Model 680,3,208,208,208,70,243,300,8
Model 680 - Fuego,2,208,208,208,70,243,300,8
Model 680 - Posta,3,208,208,208,70,243,300,5
R9-0,3,166,166,166,290,802,206,7
R9-0 - Fuego,2,188,188,188,290,909,206,7
725,3,166,166,166,154,426,206,7
725 - Posta,80,166,166,166,154,426,206,4
Origin 12,4,166,166,166,230,636,206,2
VLK Rogue,3,208,208,208,131,454,300,2
VLK Rogue - Fuego,2,220,220,220,131,480,300,2
Jack-12,4,122,122,122,295,600,122,2
Jack-12 - Fuego,26,90,90,108,295,531,122,2
Jack-12 - Posta,26,90,90,108,295,531,122,2
Jack-12 - Explosiva,26,90,90,108,295,531,122,2
Gallo-12,26,90,90,108,4,7,175,2
Streetswepper,26,90,90,108,4,7,175,2
Haur,26,90,90,108,90,162,175,2
