Subfusiles,Rango de Daño Máximo (m),Daño extremidades,Daño Torso inferior,Daño torso superior,Balas por minuto,Daño por segundo,Daño a la cabeza,Retroceso
Fennec HP,22,32,40,44,1000,440,64,7
Striker 45 HP,15,43,48,50,513,350,77,7
Fennec,12.5,22,25,25,1111,463,40,6
MP5 (CW),9,29,33,33,856,471,47,6
MP5 (MW),9.5,30,34,34,800,453,49,4
MP5 (10mm),12.5,30,34,34,800,453,49,5
Mac-10,15.5,21,24,24,1111,444,29,5
AUG (MW 556),12.5,38,38,41,667,456,49,6
Bullfrog,15,28,32,32,757,404,51,3
AUG (MW 9mm),12.5,30,34,34,741,420,55,3
MP7,10.5,22,25,25,952,397,40,2
P90,13,22,25,25,909,379,40,4
PPSH,16,24,27,27,909,409,35,3
Uzi .41AE,17.5,34,34,40,600,400,55,3
ISO,18,22,25,25,900,375,36,4
LC10,20,27,30,30,800,400,48,2
AK-74u,18,35,35,35,697,407,56,3
PP19 Bizon,13,30,34,34,652,369,55,6
KSP 45,13,36,40,40,720,480,64,5
Uzi,15,30,34,34,594,337,55,2
Striker 45,22,30,34,34,594,337,55,6
Milano 821,16,30,34,34,576,326,55,1
AUG (MW 556) - Rafaga,12.5,38,38,41,667,456,49,7
AUG (MW 9mm) - Rafaga,12.5,30,34,34,741,420,55,4
