"","Sexo","Edad","CicloActual","HaciaActividadBool","NumActividadesRealizadas","TipoActividadRealizada","ActividadFavorita","TiempoDedicadoAE","EscalaSentimiento","EscalaAbrumado","CantidadCursos","Promedio","AbrumadoPorCursosBool","RetiroBool","TiempoDedicadoCursos"
"1","Mujer",17,1,"Sí",4,"Actividades Deportivas/Físicas, Actividades Académicas, Emprendimiento/Trabajo","Actividades Académicas",7.1,5,2,9,17.87,"Sí","No",5
"2","Hombre",18,1,"Sí",2,"Actividades Deportivas/Físicas, Actividades Académicas","Emprendimiento/Trabajo",2.91,4,2,2,11.98,"Sí","No",5
"3","Mujer",19,1,"Sí",3,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas","Actividades Deportivas/Físicas",4.02,5,1,2,17.64,"No","No",6
"4","Hombre",20,1,"Sí",3,"Actividades Deportivas/Físicas, Actividades de Ocio, Emprendimiento/Trabajo","Actividades Académicas",4.22,5,1,6,16.44,"No","Sí",5
"5","Mujer",18,2,"Sí",1,"Actividades Académicas","Actividades Académicas",3.55,3,2,5,13.49,"No","No",4
"6","Hombre",19,2,"Sí",1,"Actividades Académicas","Actividades Académicas",4.49,3,1,6,13.68,"No","No",4
"7","Mujer",20,2,"Sí",1,"Actividades de Ocio","Actividades de Ocio",4.05,5,1,2,16.6,"No","No",2
"8","Hombre",22,2,"Sí",2,"Actividades Deportivas/Físicas, Actividades de Ocio, Emprendimiento/Trabajo","Emprendimiento/Trabajo",9.36,4,2,3,10.5,"Sí","Sí",5
"9","Hombre",17,3,"Sí",1,"Actividades de Ocio","Actividades de Ocio",4.13,5,1,8,12.25,"Sí","Sí",3
"10","Mujer",17,3,"Sí",2,"Actividades de Ocio, Actividades Académicas","Actividades Académicas",2.73,2,5,7,16.75,"Sí","No",6
"11","Hombre",18,3,"Sí",2,"Actividades de Ocio, Actividades Académicas","Actividades de Ocio",4.91,4,1,8,15.3,"Sí","No",5
"12","Hombre",18,3,"Sí",2,"Actividades de Ocio, Actividades Académicas","Actividades de Ocio",3.62,4,3,8,17.95,"No","No",4
"13","Hombre",18,3,"Sí",2,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades de Ocio",2.65,4,3,7,16.38,"Sí","No",6
"14","Hombre",18,3,"Sí",1,"Actividades Académicas","Actividades Académicas",3.89,4,3,7,16.11,"No","No",4
"15","Mujer",18,3,"Sí",2,"Actividades Académicas","Actividades Académicas",8.54,3,3,7,16.48,"Sí","No",3
"16","Hombre",18,3,"Sí",2,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades Deportivas/Físicas",4.55,4,1,8,15.44,"No","No",3
"17","Hombre",18,3,"Sí",1,"Actividades Académicas","Actividades Académicas",2.74,3,3,7,16.36,"Sí","No",2
