Producto,VolAyer,VolHoy,VolPromSem,VolProm4Sem,Unidad,Equiv.Kg,PrePromAyer,PrePromHoy,PrePromSem
Aguaje,5,5,4,4,Bandeja,10.00,35.25,35.25,35.36
Aguaymanto,2,1,,2,Kilogramo,1.00,4.70,4.65,4.40
Albaricoque,5,4,3,4,Kilogramo,1.00,3.73,3.68,3.60
Anona,6,4,4,4,Cajon,10.00,27.50,26.75,26.04
Arándano,1,1,1,2,Kilogramo,1.00,16.50,17.75,13.25
Camu Camu,1,1,,1,Bolsa,1.00,5.50,5.50,6.11
Carambola,13,9,8,10,Cajon,10.00,16.75,16.75,15.32
Chirimoya Criolla O Huayco,3,2,3,4,Kilogramo,1.00,3.00,2.98,3.03
Chirimoya Cumbe,18,15,12,14,Kilogramo,1.00,3.08,3.00,3.09
Ciruela Nectarina (Importada),8,8,,6,Cajon,10.00,57.50,56.50,57.86
Ciruela Roja/Criolla,22,23,15,16,Bandeja,15.00,23.75,23.75,23.18
Coco,10,6,9,8,Unidad,1.50,1.58,1.58,1.63
Cocona,18,10,11,14,Bandeja,15.00,25.75,25.75,25.46
Fresa San Andreas,31,34,24,24,Kilogramo,1.00,4.38,4.38,4.47
Granada,18,17,19,30,Caja Madera,12.00,15.75,16.25,15.54
Granadilla (Costa),9,6,6,7,Ciento,8.00,18.25,18.25,18.73
Granadilla (Selva),51,34,36,37,Cajon,13.00,24.50,23.75,25.46
Guanabana (Costa),10,4,,5,Kilogramo,1.00,4.38,4.38,4.35
Guanabana (Selva),5,4,4,5,Kilogramo,1.00,4.68,4.68,4.62
Guayaba,7,4,5,4,Cajon,10.00,32.50,32.50,32.64
Higo Maduro,7,9,5,5,Cajon,7.00,35.75,35.75,35.32
Kake/Kaki,5,4,,3,Cajon,10.00,61.50,60.75,65.39
Kiwi Importado Chileno,7,8,,5,Caja,12.00,85.75,84.75,87.36
Lima Dulce,6,4,,5,Kilogramo,1.00,2.48,2.53,2.59
Limon Dulce - Selva,13,11,8,10,Jaba,20.00,25.50,25.50,24.82
