Producto,VolAyer,VolHoy,VolPromSem,VolProm4Sem,Unidad,Equiv.Kg,PrePromAyer,PrePromHoy,PrePromSem
Aguaje,5,3,5,4,Bandeja,10,35.75,37.5,35.32,Abril,MMF2,23
Aguaymanto,2,3,2,1,Kilogramo,1,4.28,4.33,4.52,Abril,MMF2
Albaricoque,4,5,,,Kilogramo,1,3.85,3.75,3.9,Abril,MMF2
Anona,4,5,5,5,Cajon,10,27.75,27.25,28.54,Abril,MMF2
Arándano,3,2,3,3,Kilogramo,1,23.75,24.25,22.61,Abril,MMF2
Camu Camu,1,1,1,1,Bolsa,1,5.75,5.63,5.61,Abril,MMF2
Carambola,17,18,13,10,Cajon,10,17.5,16.75,18.21,Abril,MMF2
Chirimoya Criolla O Huayco,4,3,4,3,Kilogramo,1,4.08,4.13,4.29,Abril,MMF2
Chirimoya Cumbe,15,16,15,15,Kilogramo,1,4.33,4.25,4.36,Abril,MMF2
Ciruela Nectarina (Importada),10,7,9,8,Cajon,10,61.5,61.5,62.21,Abril,MMF2
Ciruela Roja/Criolla,12,15,15,13,Bandeja,15,38.75,41.75,38.96,Abril,MMF2
Coco,12,9,12,11,Unidad,1.5,1.65,1.63,1.63,Abril,MMF2
Cocona,17,20,15,10,Bandeja,15,22.25,21.25,24.14,Abril,MMF2
Fresa Sabrina,8,13,7,6,Kilogramo,1,5.85,5.75,5.89,Abril,MMF2
Fresa San Andreas,23,30,25,26,Kilogramo,1,5.8,5.8,5.8,Abril,MMF2
Granada,35,20,35,33,Jaba,16,18.75,18.75,18.79,Abril,MMF2
Granadilla (Costa),6,12,9,8,Ciento,8,18.75,18.75,19.18,Abril,MMF2
Granadilla (Selva),37,35,45,42,Cajon,13,31.75,31.5,31.68,Abril,MMF2
Guanabana (Costa),8,5,6,8,Kilogramo,1,3.18,3.08,3.27,Abril,MMF2
Guanabana (Selva),5,7,5,5,Kilogramo,1,3.28,3.25,3.33,Abril,MMF2
Guayaba,4,5,4,,Cajon,10,33.75,33.5,35.11,Abril,MMF2
Higo Maduro,6,6,7,7,Cajon,7,45.75,46.75,45.39,Abril,MMF2
Kake/Kaki,4,5,4,,Cajon,10,69.25,66.5,70.25,Abril,MMF2
Kiwi Importado Chileno,7,7,8,9,Caja,12,112.5,113.75,107.89,Abril,MMF2
Lima Dulce,3,6,4,4,Kilogramo,1,3.13,3,3.12,Abril,MMF2
Limon Dulce - Selva,14,11,10,8,Jaba,20,25.5,24.25,26.36,Abril,MMF2
Lucuma Beltran,6,4,5,5,Kilogramo,1,3.88,3.93,3.75,Abril,MMF2
Lucuma De Seda,2,3,3,4,Kilogramo,1,4.08,4.08,3.92,Abril,MMF2
Lulo,5,4,4,4,Cajon,10,27.75,28.75,27.18,Abril,MMF2
Mamey,4,5,4,,Kilogramo,1,2.75,2.88,2.76,Abril,MMF2
Mandarina Clementina,23,18,,,Kilogramo,1,1.88,1.68,1.88,Abril,MMF2
Mandarina Primosole,55,62,42,,Kilogramo,1,1.08,1.08,1.27,Abril,MMF2
Mandarina Satsuma,74,82,85,94,Kilogramo,1,1.33,1.25,1.4,Abril,MMF2
Mandarina Tangerina,27,13,17,15,Jaba,16,13.75,13.5,15.14,Abril,MMF2
Mango Criollo,5,10,11,28,Kilogramo,1,3.13,3.08,2.97,Abril,MMF2
Mango Edward,19,23,,12,Kilogramo,1,5.18,5.18,5.05,Abril,MMF2
Mango Haden /Hayde,14,14,8,5,Kilogramo,1,4.08,4.13,3.92,Abril,MMF2
Mango Kafro,21,24,16,10,Kilogramo,1,2.38,2.38,2.37,Abril,MMF2
Mango Kent,47,53,39,45,Kilogramo,1,3.08,3.15,2.97,Abril,MMF2
Manzana Cte/Para Agua,27,25,31,21,Cajon,24,22.5,21.75,22.36,Abril,MMF2
Manzana Delicia,95,96,83,79,Cajon,24,58.75,58.5,58.61,Abril,MMF2
Manzana Golden,17,14,10,8,Kilogramo,1,1.85,1.85,1.87,Abril,MMF2
Manzana Importada,15,16,14,14,Caja,20,87.5,87.5,86.93,Abril,MMF2
Manzana Israel,24,26,30,34,Kilogramo,1,1.8,1.68,1.71,Abril,MMF2
Manzana Winter,10,12,12,11,Cajon,24,46,45.75,46.43,Abril,MMF2
Maracuya,16,16,15,14,Kilogramo,1,1.08,1.18,1.12,Abril,MMF2
Melocoton Blanquillo,20,18,23,18,Cajon,12,35.5,35.5,33.79,Abril,MMF2
Melocoton Durazno Huayco,31,33,37,34,Cajon,12,34.75,35.75,34.75,Abril,MMF2
Melon Coquito,53,61,50,46,Bandeja,12,14.75,13.75,15,Abril,MMF2
Membrillo Criollo,11,8,13,10,Kilogramo,1,2.53,2.53,2.38,Abril,MMF2
Membrillo Serrano,14,20,19,17,Cajon,24,59.25,59.25,57.11,Abril,MMF2
Naranja Primavera,17,10,17,13,Kilogramo,1,1.68,1.68,1.67,Abril,MMF2
Naranja Tangelo Selva,66,77,62,62,Jaba,22,35.5,35.5,36.57,Abril,MMF2
Naranja Valencia,166,161,153,134,Jaba,24,24.5,24.75,24,Abril,MMF2
Naranja Washington Naval,27,9,17,13,Kilogramo,1,3.58,3.53,3.75,Abril,MMF2
Noni,9,12,8,6,Kilogramo,1,1.38,1.43,1.47,Abril,MMF2
Pacae Criollo,4,7,6,6,Kilogramo,1,3.93,3.93,3.91,Abril,MMF2
Pacae De Seda,3,7,5,5,Kilogramo,1,3.58,3.53,3.71,Abril,MMF2
Palta Antillana,6,8,7,7,Cajon,12,24.25,24.25,23.61,Abril,MMF2
Palta Choquete,6,9,7,8,Cajon,12,22.25,22.5,22.14,Abril,MMF2
Palta Criolla,19,18,15,14,Cajon,12,21.5,21.75,21.57,Abril,MMF2
Palta Dedo,2,3,3,3,Kilogramo,1,4.13,4.15,4.32,Abril,MMF2
Palta Fuerte,47,29,53,50,Kilogramo,1,4.18,4.13,4.46,Abril,MMF2
Palta Hall,13,18,15,15,Cajon,12,23.75,23.5,23.21,Abril,MMF2
Palta Hass,14,6,14,10,Kilogramo,1,4.15,4.13,4.2,Abril,MMF2
Palta Linda,10,9,9,9,Cajon,12,33.75,33.75,33.82,Abril,MMF2
Papaya (Costa),11,12,11,10,Cajon,12,18.75,18.25,18.25,Abril,MMF2
Papaya (Selva),226,212,201,165,Cajon,12,19.75,18.75,19.18,Abril,MMF2
Pepino Rayado O Melon,20,19,12,17,Kilogramo,1,3.43,3.45,3.43,Abril,MMF2
Pera Agua Packam Importado,17,13,15,14,Caja,20,91.25,91.5,91.39,Abril,MMF2
Pina Criolla (Selva),52,49,48,40,Cajon,12,14.25,14.5,14.21,Abril,MMF2
Pina Golden,70,67,67,67,Bandeja,12,22.75,22.75,23.18,Abril,MMF2
Pina Hawaiana,50,52,50,44,Kilogramo,1,1.05,1.05,1.03,Abril,MMF2
Pitahaya,6,8,6,,Kilogramo,1,8.75,9.75,8.71,Abril,MMF2
Platano Bellaco,97,93,96,73,Ciento,35,62.25,62.25,62.89,Abril,MMF2
Platano Bizcocho,80,117,84,75,Bandeja,14,16.75,16.25,16,Abril,MMF2
Platano Isla,96,108,99,89,Ciento,25,52.25,53.75,51.96,Abril,MMF2
Platano Manzano,19,28,22,20,Jaba,16,18.75,18.25,19.5,Abril,MMF2
Platano Morado,11,16,13,11,Cajon,12,36.25,36.25,35.36,Abril,MMF2
Platano Palillo,78,47,70,59,Ciento,35,63.75,63.25,62.96,Abril,MMF2
