Producto,VolAyer,VolHoy,VolPromSem,VolProm4Sem,Unidad,Equiv.Kg,PrePromAyer,PrePromHoy,PrePromSem
Aguaje,4,4,5,4,Bandeja,10.00,30.75,31.50,31.82
Aguaymanto,3,1,2,3,Kilogramo,1.00,3.58,3.63,3.65
Albaricoque,8,11,6,7,Kilogramo,1.00,2.98,3.03,3.03
Arándano,2,4,3,2,Kilogramo,1.00,5.50,5.38,5.71
Caimito (Selva),3,4,4,,Cajon,10.00,31.25,31.25,31.21
Camu Camu,1,1,1,1,Bolsa,1.00,5.25,5.38,4.78
Carambola,16,11,11,11,Cajon,10.00,15.25,15.50,14.64
Chirimoya Criolla O Huayco,2,3,4,4,Kilogramo,1.00,3.40,3.38,3.26
Chirimoya Cumbe,16,18,15,16,Kilogramo,1.00,3.53,3.50,3.42
Ciruela Nectarina (Importada),4,10,7,7,Cajon,10.00,56.50,56.25,57.18
Ciruela Santa Rosa/Nacional,3,7,6,8,Cajon,10.00,31.25,30.75,29.86
Coco,20,22,9,10,Unidad,1.50,1.55,1.50,1.50
Cocona,15,9,12,12,Bandeja,15.00,24.25,23.75,24.39
Fresa Cama Rosa,14,16,12,,Kilogramo,1.00,3.83,3.83,3.83
Fresa Sabrina,22,18,19,,Kilogramo,1.00,3.85,3.88,3.90
Fresa San Andreas,33,43,30,41,Kilogramo,1.00,3.53,3.53,3.49
Granadilla (Costa),12,6,8,9,Ciento,8.00,21.75,22.25,22.43
Granadilla (Selva),32,47,43,48,Cajon,13.00,34.25,34.25,35.11
Guanabana (Costa),4,4,4,5,Kilogramo,1.00,3.73,3.73,3.56
Guanabana (Selva),5,4,4,5,Kilogramo,1.00,4.08,4.13,3.91
Higo Maduro,5,3,,,Cajon,7.00,49.25,48.75,49.25
Kake/Kaki,1,2,,3,Cajon,10.00,65.50,66.25,64.21
Kiwi Importado Chileno,5,8,7,7,Caja,12.00,87.50,87.50,88.46
Lima Dulce,4,6,5,6,Kilogramo,1.00,2.35,2.38,2.38
Limon Dulce - Selva,7,6,9,13,Jaba,20.00,22.75,23.25,23.71
Lucuma Beltran,3,4,4,4,Kilogramo,1.00,4.53,4.53,4.39
Lucuma De Seda,3,2,3,4,Kilogramo,1.00,4.43,4.48,4.36
Mandarina Clementina,4,8,11,26,Kilogramo,1.00,1.53,1.55,1.51
Mandarina Dancy,28,6,18,25,Kilogramo,1.00,1.38,1.43,1.41
Mandarina Invicta,8,9,13,,Kilogramo,1.00,1.48,1.48,1.45
Mandarina Malvacea,67,50,38,42,Kilogramo,1.00,1.48,1.53,1.49
Mandarina Murcott,44,43,42,40,Kilogramo,1.00,1.43,1.38,1.42
Mandarina Nova,53,47,28,28,Kilogramo,1.00,1.43,1.35,1.42
Mandarina Pixie,6,6,,,Kilogramo,1.00,1.45,1.45,1.45
Mandarina Rio De Oro,12,9,22,,Kilogramo,1.00,2.08,2.08,2.11
Mandarina Satsuma,11,12,29,23,Kilogramo,1.00,1.53,1.55,1.44
Mandarina Tangerina,24,26,16,14,Jaba,16.00,9.75,9.75,10.79
Mango Criollo,30,29,21,23,Kilogramo,1.00,3.58,3.58,3.68
Mango Edward,28,27,13,10,Kilogramo,1.00,5.45,5.48,5.62
Mango Haden /Hayde,5,17,9,9,Kilogramo,1.00,5.48,5.48,5.48
Mango Kafro,11,9,7,6,Kilogramo,1.00,6.23,6.18,6.10
Mango Kent,22,10,10,6,Kilogramo,1.00,6.13,6.08,6.10
Mango Tommy Aki,3,9,5,7,Kilogramo,1.00,6.25,6.20,6.21
Manzana Cte/Para Agua,30,18,29,23,Cajon,24.00,33.25,33.75,33.96
Manzana Delicia,59,110,76,90,Cajon,24.00,41.50,41.75,41.57
Manzana Golden,8,15,10,8,Kilogramo,1.00,2.33,2.33,2.39
Manzana Importada,9,18,14,16,Caja,20.00,87.50,87.50,86.79
Manzana Israel,24,56,25,25,Kilogramo,1.00,3.08,3.08,3.13
Manzana Winter,11,15,11,11,Cajon,24.00,43.75,44.25,44.29
Maracuya,14,15,8,9,Kilogramo,1.00,1.53,1.45,1.50
Melocoton Blanquillo,17,11,17,21,Cajon,12.00,36.25,37.25,35.68
Melocoton Durazno Huayco,23,44,28,41,Cajon,12.00,38.75,38.00,37.32
Melon Coquito,14,14,27,47,Bandeja,12.00,16.25,16.50,16.07
Melon Esmeralda,6,6,7,,Cajon,10.00,17.75,17.75,17.46
Membrillo Criollo,6,20,12,14,Kilogramo,1.00,1.85,1.85,1.90
Membrillo Serrano,18,20,19,19,Cajon,24.00,48.75,49.25,49.14
Naranja Miniola,28,38,52,66,Kilogramo,1.00,1.23,1.28,1.21
Naranja Primavera,15,17,10,13,Kilogramo,1.00,1.53,1.53,1.51
Naranja Tangelo Costa,32,50,48,52,Kilogramo,1.00,1.35,1.35,1.39
Naranja Tangelo Selva,69,113,65,66,Jaba,22.00,24.75,25.75,24.68
Naranja Valencia,136,164,150,165,Jaba,24.00,17.00,16.50,17.11
Naranja Washington Naval,7,9,22,25,Kilogramo,1.00,2.13,2.18,2.16
Naranjita China Kin Kan,1,3,2,,Kilogramo,1.00,4.63,4.58,4.60
Nispero De Agua,6,9,19,20,Cajon,24.00,52.75,52.75,53.04
Noni,3,4,,,Kilogramo,1.00,1.68,1.68,1.63
Pacae Criollo,4,3,3,6,Kilogramo,1.00,4.78,4.78,4.74
Pacae De Seda,9,8,4,,Kilogramo,1.00,3.83,3.83,3.86
Palta Choquete,4,9,6,9,Cajon,12.00,22.50,22.25,22.68
Palta Criolla,5,7,10,14,Cajon,12.00,22.25,22.25,22.50
Palta Dedo,1,2,,3,Kilogramo,1.00,3.75,3.93,3.81
Palta Fuerte,54,61,31,45,Kilogramo,1.00,4.93,5.20,4.88
Palta Hall,5,10,11,14,Cajon,12.00,23.25,23.25,22.96
Palta Hass,21,16,10,13,Kilogramo,1.00,3.13,3.13,3.25
Palta Linda,9,6,9,10,Cajon,12.00,26.25,26.25,26.54
Palta Naval,30,23,14,13,Kilogramo,1.00,2.93,2.93,2.76
Palta Queen,6,9,8,10,Kilogramo,1.00,2.73,2.73,2.63
Palta Villa Campa,7,11,8,8,Kilogramo,1.00,2.93,2.90,2.92
Papaya (Costa),10,12,12,15,Cajon,12.00,15.75,17.75,15.32
Papaya (Selva),167,124,182,191,Cajon,12.00,17.75,19.50,16.29
Pepino Rayado O Melon,18,29,22,27,Kilogramo,1.00,2.25,2.18,2.26
Pera Agua Packam Importado,8,18,13,15,Caja,20.00,87.50,87.50,87.54
Piña Criolla (Selva),49,50,49,52,Cajon,12.00,11.50,10.75,10.82
Piña Golden,65,59,56,64,Bandeja,12.00,22.25,22.50,20.64
Piña Hawaiana,49,56,50,55,Kilogramo,1.00,0.95,0.98,0.88
Pitahaya,,4,,6,Kilogramo,1.00,14.25,14.50,13.79
Platano Bellaco,62,73,83,89,Ciento,35.00,53.00,53.00,52.61
Platano Bizcocho,61,94,89,101,Bandeja,14.00,15.50,15.50,14.96
Platano Isla,100,130,98,124,Ciento,25.00,42.75,42.75,42.75
Platano Manzano,11,20,22,32,Jaba,16.00,16.50,17.50,16.18
Platano Morado,7,10,14,16,Cajon,12.00,27.25,26.75,26.93
Platano Palillo,16,37,60,71,Ciento,35.00,56.50,55.25,55.68
Platano Seda Congo,77,131,66,86,Ciento,20.00,31.75,31.75,31.43
Platano Seda (Selva),35,26,24,30,Ciento,25.00,30.75,29.75,30.82
Sandia,54,63,42,47,Kilogramo,1.00,1.43,1.43,1.41
Tamarindo (Con Cascara),1,1,,,Kilogramo,1.00,4.85,4.85,4.78
Tamarindo (Sin Cascara),,,,,Kilogramo,1.00,5.75,5.85,5.75
Toronja Costa,16,19,,15,Jaba,22.00,26.50,26.25,26.07
Toronja Selva,12,13,14,13,Cajon,12.00,16.75,16.75,17.11
Tumbo,3,4,3,4,Kilogramo,1.00,2.33,2.38,2.33
Tuna Amarilla,12,9,7,10,Kilogramo,1.00,3.18,3.20,3.12
Tuna Blanca,6,10,6,7,Kilogramo,1.00,3.28,3.33,3.17
Tuna Morada/Rosada,7,9,6,10,Kilogramo,1.00,3.18,3.23,3.13
Uva Alfonso Lavalett,28,18,14,17,Jaba,12.00,22.75,23.25,23.11
Uva Borgoña,5,18,5,6,Jaba,12.00,25.25,24.75,26.54
Uva Italia,6,9,9,9,Jaba,12.00,30.75,31.50,31.21
Uva Palestina,9,9,8,8,Jaba,12.00,37.25,36.75,36.82
Uva Pirovano,5,10,6,,Jaba,12.00,32.75,33.75,32.46
Uva Red Globe,39,42,26,25,Jaba,12.00,28.00,28.25,27.75
Uva Rosada,3,4,7,7,Jaba,12.00,32.75,33.75,32.43
Uva Superior,3,5,5,7,Jaba,12.00,43.25,43.75,43.07
Yacon (Llacon),2,2,3,3,Kilogramo,1.00,1.85,1.88,1.86
