Producto,VolAyer,VolHoy,VolPromSem,VolProm4Sem,Unidad,Equiv.Kg,PrePromAyer,PrePromHoy,PrePromSem
Aguaje,7,4,5,6,Bandeja,10.00,19.67,18.75,18.74
Aguaymanto,1,2,2,2,Kilogramo,1.00,4.15,4.23,4.21
Albaricoque,7,4,5,6,Kilogramo,1.00,3.20,3.23,3.17
Arándano,3,5,,4,Kilogramo,1.00,5.63,5.25,5.84
Caimito (Selva),4,3,,,Cajon,10.00,47.00,46.50,47.48
Camu Camu,1,1,1,1,Bolsa,1.00,7.00,6.75,6.77
Carambola,12,5,9,8,Cajon,10.00,20.00,19.50,19.93
Chirimoya Criolla O Huayco,2,2,,4,Kilogramo,1.00,5.10,5.08,5.23
Chirimoya Cumbe,15,15,14,15,Kilogramo,1.00,5.23,5.13,5.30
Ciruela Nectarina (Importada),5,7,6,7,Cajon,10.00,59.00,58.50,58.14
Ciruela Roja/Criolla,18,10,12,18,Bandeja,15.00,34.00,33.75,33.39
Ciruela Santa Rosa/Nacional,6,6,6,7,Cajon,10.00,33.33,32.75,32.98
Coco,12,5,,14,Unidad,1.50,1.75,1.65,1.73
Cocona,19,7,11,11,Bandeja,15.00,26.50,26.25,25.86
Fresa Sabrina,16,40,28,35,Kilogramo,1.00,3.30,3.08,3.40
Fresa San Andreas,48,66,41,36,Kilogramo,1.00,3.25,3.03,3.34
Granada,13,4,,8,Jaba,16.00,71.00,69.25,71.75
Granadilla (Costa),5,6,,6,Ciento,8.00,26.50,26.25,26.75
Granadilla (Selva),52,35,41,50,Cajon,13.00,42.25,42.50,41.86
Guanabana (Costa),5,5,5,6,Kilogramo,1.00,5.50,5.43,5.51
Guanabana (Selva),4,3,4,5,Kilogramo,1.00,5.50,5.48,5.56
Higo Maduro,6,5,5,4,Cajon,7.00,46.00,45.75,47.43
Kiwi Importado Chileno,4,4,5,6,Caja,12.00,137.50,138.25,136.25
Lima Dulce,3,4,,4,Kilogramo,1.00,3.40,3.35,3.40
Limon Dulce - Selva,8,2,10,10,Jaba,20.00,35.00,34.75,35.19
Lucuma Beltran,5,3,4,4,Kilogramo,1.00,4.40,4.38,4.49
Lucuma De Seda,4,3,4,3,Kilogramo,1.00,4.30,4.33,4.38
Mamey,6,6,5,6,Kilogramo,1.00,2.70,2.73,2.75
Mandarina Kara,10,,9,12,Kilogramo,1.00,2.15,,2.13
Mandarina Kori,12,,9,10,Kilogramo,1.00,2.20,,2.14
Mandarina Malvacea,12,15,19,19,Kilogramo,1.00,3.10,3.18,3.10
Mandarina Murcott,7,11,10,13,Kilogramo,1.00,3.10,3.08,3.10
Mandarina Satsuma,47,32,38,32,Kilogramo,1.00,2.28,2.25,2.29
Mandarina Tangerina,16,17,16,13,Jaba,16.00,21.00,21.50,20.71
Mango Criollo,33,16,25,22,Kilogramo,1.00,3.10,3.18,3.15
Mango Edward,97,116,58,71,Kilogramo,1.00,1.70,1.65,1.62
Mango Haden /Hayde,45,41,29,42,Kilogramo,1.00,2.30,2.18,2.31
Mango Kafro,14,72,,13,Kilogramo,1.00,3.20,3.08,3.22
Mango Kent,23,15,16,19,Kilogramo,1.00,3.10,3.00,3.12
Mango Pico De Loro,,11,,22,Kilogramo,1.00,2.20,2.25,2.17
Manzana Cte/Para Agua,33,45,26,23,Cajon,24.00,23.75,24.50,23.21
Manzana Delicia,79,62,79,83,Cajon,24.00,53.50,52.75,53.89
Manzana Golden,6,5,8,10,Kilogramo,1.00,2.20,2.15,2.24
Manzana Importada,12,10,12,14,Caja,20.00,94.00,92.00,94.89
Manzana Israel,58,78,41,46,Kilogramo,1.00,0.83,0.83,0.82
Manzana Winter,9,6,11,9,Cajon,24.00,45.00,44.50,44.00
Maracuya,13,8,11,13,Kilogramo,1.00,2.70,2.73,2.63
Melocoton Blanquillo,28,9,20,19,Cajon,12.00,35.00,35.25,35.43
Melocoton Durazno Huayco,27,24,35,29,Cajon,12.00,36.50,36.25,36.36
Melon Coquito,31,25,31,25,Bandeja,12.00,13.25,12.25,12.36
Melon Esmeralda,4,5,6,6,Cajon,10.00,17.00,16.75,16.94
Membrillo Criollo,12,17,13,13,Kilogramo,1.00,3.15,3.08,3.17
Membrillo Serrano,19,29,19,21,Cajon,24.00,63.00,62.75,63.96
Naranja Primavera,22,30,26,29,Kilogramo,1.00,1.30,1.28,1.26
Naranja Tangelo Selva,54,24,44,42,Jaba,22.00,49.25,49.25,48.86
Naranja Valencia,164,154,131,139,Jaba,24.00,21.75,21.75,21.54
Naranja Washington Naval,40,62,18,13,Kilogramo,1.00,5.13,5.00,5.17
Noni,,3,,,Kilogramo,1.00,1.80,1.78,1.79
Pacae Criollo,5,3,5,,Kilogramo,1.00,4.80,4.83,4.85
Pacae De Seda,4,2,4,3,Kilogramo,1.00,4.35,4.33,4.35
Palta Choquete,9,4,8,8,Cajon,12.00,25.00,24.75,25.46
Palta Collin Red,6,5,7,7,Cajon,12.00,26.33,26.25,27.01
Palta Criolla,13,20,12,8,Cajon,12.00,23.25,22.75,22.96
Palta Dedo,2,2,2,2,Kilogramo,1.00,5.50,5.48,5.43
Palta Fuerte,40,36,42,38,Kilogramo,1.00,7.03,6.88,7.05
Palta Hall,11,21,12,10,Cajon,12.00,23.33,23.25,23.87
Palta Hass,19,12,12,8,Kilogramo,1.00,5.20,5.23,5.15
Palta Linda,7,8,7,8,Cajon,12.00,33.50,33.50,33.93
Palta Naval,6,9,,9,Kilogramo,1.00,5.85,5.85,5.81
Papaya (Costa),,12,,11,Cajon,12.00,17.00,17.25,16.99
Papaya (Selva),187,202,160,178,Cajon,12.00,17.75,18.50,17.57
Pepino Rayado O Melon,55,53,25,26,Kilogramo,1.00,2.08,2.08,2.16
Pera Agua Criolla,6,5,7,8,Jaba,16.00,31.00,31.50,31.54
Pera Agua Italiana,7,5,7,8,Jaba,16.00,32.00,32.50,32.82
Pera Agua Packam Importado,12,10,13,15,Caja,20.00,92.50,93.25,93.71
Piña Criolla (Selva),48,40,44,48,Cajon,12.00,13.75,14.25,13.54
