Producto,VolAyer,VolHoy,VolPromSem,VolProm4Sem,Unidad,Equiv.Kg,PrePromAyer,PrePromHoy,PrePromSem
Aguaje,5,6,5,5,Bandeja,10.00,19.75,19.75,21.64
Aguaymanto,2,1,2,2,Kilogramo,1.00,4.38,4.38,4.23
Albaricoque,5,4,6,6,Kilogramo,1.00,3.28,3.28,3.32
Arándano,3,4,4,4,Kilogramo,1.00,7.25,7.25,7.84
Caimito (Selva),4,5,,5,Cajon,10.00,45.25,44.75,44.14
Camu Camu,1,1,1,1,Bolsa,1.00,10.75,10.75,10.75
Carambola,6,12,8,10,Cajon,10.00,18.75,18.75,18.89
Chirimoya Criolla O Huayco,2,3,3,3,Kilogramo,1.00,4.78,4.78,4.82
Chirimoya Cumbe,16,18,15,16,Kilogramo,1.00,4.88,4.78,4.88
Ciruela Nectarina (Importada),8,11,8,8,Cajon,10.00,57.50,56.50,58.21
Ciruela Roja/Criolla,22,20,23,19,Bandeja,15.00,31.50,31.50,29.54
Ciruela Santa Rosa/Nacional,3,5,4,6,Cajon,10.00,34.50,34.50,35.00
Coco,11,13,10,12,Unidad,1.50,1.38,1.38,1.51
Cocona,16,19,13,11,Bandeja,15.00,31.25,30.75,32.29
Fresa Sabrina,12,14,11,31,Kilogramo,1.00,3.33,3.38,3.29
Fresa San Andreas,51,47,47,55,Kilogramo,1.00,3.28,3.35,3.15
Granada,10,16,16,12,Jaba,16.00,46.50,46.50,49.18
Granadilla (Costa),4,6,6,5,Ciento,8.00,26.75,26.75,26.25
Granadilla (Selva),37,38,41,42,Cajon,13.00,48.50,48.75,47.71
Guanabana (Costa),3,4,5,5,Kilogramo,1.00,6.08,6.08,5.86
Guanabana (Selva),5,4,4,4,Kilogramo,1.00,5.88,5.88,5.91
Higo Maduro,5,6,5,5,Cajon,7.00,45.75,45.75,47.43
Kiwi Importado Chileno,7,5,6,5,Caja,12.00,138.75,138.75,138.21
Lima Dulce,6,4,,4,Kilogramo,1.00,3.58,3.58,3.52
Limon Dulce - Selva,7,12,9,8,Jaba,20.00,35.25,34.75,34.82
Lucuma Beltran,5,4,4,4,Kilogramo,1.00,4.08,4.08,4.13
Lucuma De Seda,4,4,4,4,Kilogramo,1.00,3.93,3.88,4.06
Mamey,7,8,7,6,Kilogramo,1.00,2.45,2.45,2.51
Mandarina Malvacea,,,,18,Kilogramo,1.00,3.33,,3.31
Mandarina Satsuma,60,47,64,59,Kilogramo,1.00,2.15,2.18,2.16
Mandarina Tangerina,21,19,20,20,Jaba,16.00,22.25,22.25,21.96
Mango Criollo,17,23,17,17,Kilogramo,1.00,3.08,3.08,3.14
Mango Edward,71,86,74,63,Kilogramo,1.00,1.48,1.53,1.48
Mango Haden /Hayde,47,40,40,26,Kilogramo,1.00,1.68,1.73,1.72
Mango Kafro,21,34,27,21,Kilogramo,1.00,2.68,2.58,2.76
Mango Kent,21,44,32,23,Kilogramo,1.00,2.53,2.43,2.56
Manzana Cte/Para Agua,34,18,26,35,Cajon,24.00,22.50,22.50,22.79
Manzana Delicia,83,85,95,91,Cajon,24.00,49.75,50.75,48.39
Manzana Golden,4,6,12,10,Kilogramo,1.00,2.33,2.18,2.32
Manzana Importada,14,11,14,14,Caja,20.00,97.50,96.50,97.50
Manzana Israel,49,58,56,52,Kilogramo,1.00,0.80,0.80,0.80
Manzana Winter,10,10,10,9,Cajon,24.00,44.33,44.25,44.94
Maracuya,17,14,13,11,Kilogramo,1.00,2.08,1.98,2.19
Melocoton Blanquillo,22,19,16,21,Cajon,12.00,32.75,32.75,31.71
Melocoton Durazno Huayco,41,40,35,37,Cajon,12.00,34.75,34.75,33.00
Melon Coquito,37,44,41,41,Bandeja,12.00,11.25,11.75,12.86
Membrillo Criollo,11,14,14,14,Kilogramo,1.00,3.23,3.18,3.22
Membrillo Serrano,18,20,20,23,Cajon,24.00,61.25,61.50,61.64
Naranja Primavera,24,38,21,26,Kilogramo,1.00,1.45,1.48,1.48
Naranja Tangelo Selva,37,47,44,43,Jaba,22.00,48.75,48.50,48.36
Naranja Valencia,139,142,151,168,Jaba,24.00,21.75,21.50,22.57
Naranja Washington Naval,13,22,17,22,Kilogramo,1.00,4.23,4.13,4.36
Noni,7,5,5,5,Kilogramo,1.00,1.45,1.43,1.59
Pacae Criollo,5,4,4,4,Kilogramo,1.00,4.88,4.88,4.80
Pacae De Seda,3,5,3,4,Kilogramo,1.00,4.48,4.38,4.51
Palta Choquete,8,9,7,8,Cajon,12.00,23.75,24.50,24.46
Palta Collin Red,13,7,7,6,Cajon,12.00,24.50,25.25,25.50
Palta Criolla,11,9,12,18,Cajon,12.00,22.25,22.25,22.54
Palta Dedo,3,1,,3,Kilogramo,1.00,5.58,5.38,5.65
Palta Fuerte,39,35,37,47,Kilogramo,1.00,6.73,6.65,6.97
Palta Hall,13,8,13,17,Cajon,12.00,23.25,23.25,23.50
Palta Hass,5,11,7,10,Kilogramo,1.00,5.23,5.08,5.32
Palta Linda,7,8,6,7,Cajon,12.00,34.25,33.25,34.68
Papaya (Costa),12,13,,10,Cajon,12.00,16.75,16.75,17.86
Papaya (Selva),200,230,188,212,Cajon,12.00,18.25,18.00,19.14
Pepino Rayado O Melon,28,31,31,39,Kilogramo,1.00,2.08,2.08,2.07
Pera Agua Criolla,10,11,9,10,Jaba,16.00,31.25,28.50,31.04
Pera Agua Italiana,8,12,9,8,Jaba,16.00,32.50,31.25,32.39
Pera Agua Packam Importado,16,12,14,14,Caja,20.00,96.75,96.50,96.93
Piña Criolla (Selva),49,45,50,50,Cajon,12.00,15.25,15.50,15.18
Piña Golden,59,63,61,63,Bandeja,12.00,34.75,33.75,35.21
Piña Hawaiana,52,56,49,50,Kilogramo,1.00,1.40,1.35,1.47
Pitahaya,6,5,7,6,Kilogramo,1.00,10.75,9.25,12.39
Platano Bellaco,71,95,86,99,Ciento,35.00,51.00,51.00,51.64
Platano Bizcocho,65,90,85,95,Bandeja,14.00,17.75,17.75,17.50
Platano Isla,96,104,103,113,Ciento,25.00,42.00,42.00,41.86
Platano Manzano,17,30,21,21,Jaba,16.00,18.75,18.50,19.29
Platano Morado,11,22,11,14,Cajon,12.00,28.75,28.75,28.36
Platano Palillo,46,83,60,78,Ciento,35.00,52.25,52.25,52.14
Platano Seda Congo,63,98,70,66,Ciento,20.00,37.50,37.50,36.71
Platano Seda (Selva),26,26,24,26,Ciento,25.00,36.50,36.75,35.71
Sandia,105,83,92,95,Kilogramo,1.00,0.78,0.78,0.79
Sanki,5,3,,5,Kilogramo,1.00,5.75,5.75,5.75
Tamarindo (Con Cascara),1,1,,1,Kilogramo,1.00,4.90,4.90,4.73
Tamarindo (Sin Cascara),,,,,Kilogramo,1.00,5.65,5.75,5.74
Toronja Costa,16,14,16,15,Jaba,22.00,43.25,42.25,42.93
Toronja Selva,10,11,14,12,Cajon,12.00,24.00,23.75,24.11
