Producto,VolAyer,VolHoy,VolPromSem,VolProm4Sem,Unidad,Equiv.Kg,PrePromAyer,PrePromHoy,PrePromSem
Aguaje,4,7,7,7,Bandeja,10.00,18.75,19.25,18.71
Aguaymanto,1,3,2,2,Kilogramo,1.00,3.63,3.58,3.73
Albaricoque,3,2,3,4,Kilogramo,1.00,3.88,3.93,3.83
Arándano,3,2,4,4,Kilogramo,1.00,8.25,7.50,8.68
Caimito (Selva),3,4,5,4,Cajon,10.00,41.75,41.75,42.57
Camu Camu,1,1,1,1,Bolsa,1.00,8.25,7.75,8.89
Carambola,8,9,12,10,Cajon,10.00,15.25,15.25,15.25
Chirimoya Criolla O Huayco,3,4,3,4,Kilogramo,1.00,4.25,4.28,4.20
Chirimoya Cumbe,14,13,14,14,Kilogramo,1.00,4.48,4.45,4.38
Ciruela Nectarina (Importada),9,9,8,9,Cajon,10.00,58.75,57.75,58.64
Ciruela Roja/Criolla,20,15,19,18,Bandeja,15.00,31.50,30.75,31.39
Ciruela Santa Rosa/Nacional,2,2,3,4,Cajon,10.00,40.50,41.25,40.08
Coco,8,12,11,13,Unidad,1.50,1.43,1.43,1.43
Cocona,10,12,15,14,Bandeja,15.00,27.25,27.25,28.11
Fresa Sabrina,7,9,12,10,Kilogramo,1.00,4.25,4.28,4.23
Fresa San Andreas,38,23,39,44,Kilogramo,1.00,4.23,4.23,4.21
Granada,36,36,23,24,Jaba,16.00,38.50,37.75,39.00
Granadilla (Costa),6,7,8,7,Ciento,8.00,23.50,22.75,23.61
Granadilla (Selva),42,39,48,46,Cajon,13.00,35.25,35.50,36.11
Guanabana (Costa),4,6,5,4,Kilogramo,1.00,4.93,4.88,5.17
Guanabana (Selva),3,,6,5,Kilogramo,1.00,4.73,4.73,4.93
Higo Maduro,6,7,6,6,Cajon,7.00,40.25,40.25,40.39
Kiwi Importado Chileno,4,8,8,8,Caja,12.00,137.25,137.00,133.96
Lima Dulce,,5,,5,Kilogramo,1.00,3.43,3.28,3.50
Limon Dulce - Selva,7,6,9,8,Jaba,20.00,34.50,34.75,34.29
Lucuma Beltran,3,5,4,3,Kilogramo,1.00,3.75,3.58,3.83
Lucuma De Seda,3,4,4,3,Kilogramo,1.00,3.43,3.43,3.53
Lulo,2,4,4,,Cajon,10.00,34.50,34.50,35.21
Mamey,8,7,7,7,Kilogramo,1.00,2.65,2.58,2.64
Mandarina Satsuma,63,36,60,68,Kilogramo,1.00,2.53,2.53,2.56
Mandarina Tangerina,17,24,19,16,Jaba,16.00,24.50,24.50,24.82
Mango Chato,10,12,14,13,Kilogramo,1.00,1.88,1.88,1.95
Mango Criollo,20,36,32,26,Kilogramo,1.00,2.08,2.08,2.13
Mango Edward,14,19,22,42,Kilogramo,1.00,2.33,2.35,2.26
Mango Haden /Hayde,18,12,23,36,Kilogramo,1.00,1.73,1.73,1.71
Mango Kafro,14,22,21,22,Kilogramo,1.00,1.88,1.93,1.91
Mango Kent,27,45,40,40,Kilogramo,1.00,1.85,1.88,1.86
Mango Rosado,16,13,20,19,Kilogramo,1.00,2.15,2.15,2.18
Manzana Cte/Para Agua,35,15,30,30,Cajon,24.00,21.50,21.75,21.64
Manzana Delicia,77,64,95,81,Cajon,24.00,56.50,56.75,57.32
Manzana Golden,5,10,13,11,Kilogramo,1.00,1.63,1.58,1.64
Manzana Importada,17,15,16,16,Caja,20.00,97.25,97.50,96.73
Manzana Israel,19,19,27,37,Kilogramo,1.00,1.23,1.20,1.21
Manzana Winter,10,10,11,11,Cajon,24.00,43.50,43.50,42.89
Maracuya,15,13,15,12,Kilogramo,1.00,1.53,1.50,1.51
Melocoton Blanquillo,21,22,24,21,Cajon,12.00,31.25,30.75,31.18
Melocoton Durazno Huayco,35,35,36,38,Cajon,12.00,31.50,31.75,31.25
Melon Coquito,46,36,50,42,Bandeja,12.00,12.25,12.00,11.93
Membrillo Criollo,14,11,14,14,Kilogramo,1.00,2.55,2.55,2.53
Membrillo Serrano,17,21,18,20,Cajon,24.00,58.50,57.75,58.57
Naranja Primavera,22,22,25,24,Kilogramo,1.00,1.35,1.38,1.36
Naranja Tangelo Selva,46,54,48,50,Jaba,22.00,49.25,48.50,49.32
Naranja Valencia,140,166,151,146,Jaba,24.00,20.75,20.75,21.68
Naranja Washington Naval,21,15,18,19,Kilogramo,1.00,3.40,3.38,3.52
Noni,5,4,6,5,Kilogramo,1.00,1.55,1.58,1.52
Pacae Criollo,3,2,4,3,Kilogramo,1.00,4.83,4.78,4.70
Pacae De Seda,4,2,4,3,Kilogramo,1.00,4.78,4.78,4.77
Palta Antillana,7,9,7,,Cajon,12.00,24.25,24.25,24.82
Palta Choquete,10,8,8,6,Cajon,12.00,23.50,23.25,23.79
Palta Collin Red,9,8,8,7,Cajon,12.00,24.75,25.50,24.36
Palta Criolla,12,15,11,9,Cajon,12.00,21.75,22.25,21.86
Palta Dedo,3,2,3,3,Kilogramo,1.00,5.35,5.33,5.29
Palta Fuerte,36,25,51,51,Kilogramo,1.00,4.93,4.85,5.03
Palta Hall,10,14,12,11,Cajon,12.00,23.75,23.50,23.89
Palta Hass,9,5,12,9,Kilogramo,1.00,4.13,4.13,4.14
Palta Linda,9,7,10,8,Cajon,12.00,31.25,31.50,31.43
Papaya (Costa),9,12,12,12,Cajon,12.00,17.50,17.75,17.40
Papaya (Selva),164,245,199,198,Cajon,12.00,18.75,18.25,18.79
Pepino Rayado O Melon,31,24,27,24,Kilogramo,1.00,2.28,2.28,2.24
Pera Agua Criolla,7,11,8,12,Jaba,16.00,30.25,30.25,29.04
Pera Agua Italiana,8,13,9,13,Jaba,16.00,33.50,35.00,32.68
Pera Agua Packam Importado,14,14,15,14,Caja,20.00,97.25,96.50,96.89
Piña Criolla (Selva),50,46,47,44,Cajon,12.00,15.25,14.75,16.43
Piña Golden,56,61,62,61,Bandeja,12.00,31.75,32.25,32.89
Piña Hawaiana,49,47,50,48,Kilogramo,1.00,1.23,1.25,1.20
Pitahaya,4,7,7,7,Kilogramo,1.00,7.25,6.75,6.66
Platano Bellaco,58,108,83,75,Ciento,35.00,57.50,57.50,57.57
Platano Bizcocho,88,77,79,71,Bandeja,14.00,16.50,16.50,17.14
Platano Isla,80,84,86,92,Ciento,25.00,48.50,48.25,48.04
Platano Manzano,16,31,21,21,Jaba,16.00,19.25,18.75,19.36
Platano Morado,10,19,14,13,Cajon,12.00,31.50,31.50,31.50
Platano Palillo,49,85,59,52,Ciento,35.00,58.50,57.75,58.14
Platano Seda Congo,80,97,80,78,Ciento,20.00,35.75,36.25,35.86
Platano Seda (Selva),31,16,20,24,Ciento,25.00,35.25,35.00,35.00
Sandia,53,93,92,97,Kilogramo,1.00,0.83,0.85,0.82
Sanki,4,9,,6,Kilogramo,1.00,4.65,4.63,4.57
Tamarindo (Con Cascara),1,1,,1,Kilogramo,1.00,4.65,4.65,4.58
Tamarindo (Sin Cascara),,,,,Kilogramo,1.00,5.53,5.40,5.39
Toronja Costa,29,14,20,17,Kilogramo,1.00,2.23,2.18,2.22
Toronja Selva,15,13,12,11,Cajon,12.00,21.25,20.75,21.71
Tumbo,2,3,3,4,Kilogramo,1.00,2.38,2.35,2.40
Tuna Amarilla,18,4,14,13,Kilogramo,1.00,1.78,1.78,1.81
Tuna Blanca,9,15,12,15,Kilogramo,1.00,1.88,1.88,1.87
Tuna Morada/Rosada,19,15,14,13,Kilogramo,1.00,1.78,1.83,1.80
Uva Alfonso Lavalett,10,10,10,12,Jaba,12.00,23.75,23.50,24.00
Uva Arra,9,10,,8,Jaba,12.00,28.75,28.50,28.89
Uva Borgoña,8,4,5,4,Jaba,12.00,24.50,24.25,23.96
Uva Flame,6,7,7,9,Jaba,12.00,18.50,17.75,18.18
Uva Italia,14,10,14,12,Jaba,12.00,17.50,17.25,18.79
Uva Magenta,12,10,9,,Jaba,12.00,21.75,22.25,21.57
Uva Palestina,6,13,,10,Jaba,12.00,25.50,25.25,25.46
Uva Pirovano,8,16,,7,Jaba,12.00,25.50,25.25,25.46
Uva Quebranta/Moscatel,3,4,3,6,Jaba,12.00,22.75,23.25,22.89
Uva Red Globe,47,28,40,37,Jaba,12.00,16.00,15.75,16.18
Uva Rosada,9,6,8,8,Jaba,12.00,25.75,26.25,25.89
Uva Sultanina,10,6,6,5,Cajon,12.00,25.50,25.75,25.43
Uva Superior,16,15,17,8,Jaba,12.00,42.75,43.25,43.00
Uva Zafiro,7,6,11,7,Jaba,12.00,25.25,25.25,24.25
Yacon (Llacon),3,4,3,3,Kilogramo,1.00,3.33,3.33,3.35
Zapote,4,5,6,6,Cajon,10.00,25.25,25.25,25.14
