Producto,VolAyer,VolHoy,VolPromSem,VolProm4Sem,Unidad,Equiv.Kg,PrePromAyer,PrePromHoy,PrePromSem
Aguaymanto,2,2,2,2,Kilogramo,1.00,4.13,4.20,4.13
Albaricoque,4,8,6,7,Kilogramo,1.00,2.43,2.38,2.35
Arándano,2,3,2,2,Kilogramo,1.00,10.00,8.75,10.43
Camu Camu,1,1,1,1,Bolsa,1.00,5.50,5.38,5.79
Carambola,8,14,6,9,Cajon,10.00,11.25,11.75,11.61
Chirimoya Criolla O Huayco,3,,3,4,Kilogramo,1.00,3.23,3.18,3.23
Chirimoya Cumbe,13,12,15,15,Kilogramo,1.00,3.33,3.25,3.29
Ciruela Nectarina (Importada),4,7,6,8,Cajon,10.00,56.50,56.50,56.50
Ciruela Santa Rosa/Nacional,5,9,7,9,Cajon,10.00,30.50,29.25,30.86
Coco,12,15,10,12,Unidad,1.50,1.55,1.53,1.60
Cocona,4,17,8,17,Bandeja,15.00,21.50,22.75,20.86
Datil Melado,5,4,4,4,Cajon,10.00,49.25,50.75,49.25
Fresa San Andreas,35,22,35,28,Kilogramo,1.00,6.88,6.78,6.93
Granada,3,18,5,16,Caja Madera,12.00,42.50,43.75,42.18
Granadilla (Costa),3,5,4,5,Ciento,8.00,23.75,23.50,23.93
Granadilla (Selva),39,35,44,41,Cajon,13.00,35.25,35.25,35.29
Guanabana (Costa),3,7,7,7,Kilogramo,1.00,2.75,2.65,2.84
Guanabana (Selva),6,5,7,5,Kilogramo,1.00,3.05,3.08,3.06
Guayaba,3,6,5,6,Cajon,10.00,24.50,24.75,24.29
Higo Maduro,5,3,4,3,Cajon,7.00,32.00,33.75,32.36
Kake/Kaki,2,,3,5,Cajon,10.00,53.50,53.75,52.79
Kiwi Importado Chileno,6,7,7,,Caja,12.00,77.25,75.75,76.79
Lima Dulce,6,8,6,5,Kilogramo,1.00,2.77,2.63,2.82
Limon Dulce - Selva,10,11,10,10,Jaba,20.00,23.75,23.50,24.18
Lucuma Beltran,4,5,5,5,Kilogramo,1.00,4.15,4.08,4.22
Lucuma De Seda,3,3,3,4,Kilogramo,1.00,3.93,3.85,3.99
Mamey,5,7,5,6,Kilogramo,1.00,1.45,1.53,2.85
Mandarina Clementina,50,13,54,67,Kilogramo,1.00,1.45,1.48,1.44
Mandarina Malvacea,31,40,33,,Kilogramo,1.00,1.53,1.48,1.49
Mandarina Murcott,45,20,41,,Kilogramo,1.00,1.43,1.43,1.48
Mandarina Nova,14,17,,,Kilogramo,1.00,1.55,1.55,1.55
Mandarina Satsuma,72,46,73,102,Kilogramo,1.00,1.43,1.48,1.42
Mandarina Tangerina,10,22,12,20,Jaba,16.00,13.00,12.75,13.11
Mango Criollo,20,27,18,21,Kilogramo,1.00,4.33,4.25,4.36
Mango Edward,10,12,9,,Kilogramo,1.00,7.50,7.25,7.50
Mango Kafro,10,11,8,,Kilogramo,1.00,7.50,7.25,7.25
Mango Kent,15,14,14,16,Kilogramo,1.00,5.43,5.75,5.17
Mango Tommy Aki,6,10,7,,Kilogramo,1.00,6.25,6.00,6.36
Manzana Cte/Para Agua,22,45,31,28,Cajon,24.00,32.00,32.75,31.50
Manzana Delicia,62,122,83,92,Cajon,24.00,51.25,51.25,52.11
Manzana Golden,8,16,9,12,Kilogramo,1.00,2.43,2.38,2.41
Manzana Importada,10,15,14,15,Caja,20.00,82.50,81.50,81.96
Manzana Israel,20,38,27,37,Kilogramo,1.00,2.38,2.28,2.44
Manzana Winter,7,10,8,11,Cajon,24.00,42.25,42.25,42.61
Maracuya,3,9,8,11,Kilogramo,1.00,1.63,1.55,1.61
Melocoton Blanquillo,8,24,17,24,Cajon,12.00,41.25,40.75,41.57
Melocoton Durazno Huayco,24,25,33,38,Cajon,12.00,43.25,42.25,44.43
Melon Coquito,26,29,42,57,Bandeja,12.00,17.25,15.25,16.96
Melon Honey Dew,9,13,9,,Bandeja,12.00,18.25,17.50,18.36
Membrillo Criollo,10,16,15,15,Kilogramo,1.00,1.73,1.68,1.64
Membrillo Serrano,21,25,23,23,Cajon,24.00,45.75,46.50,46.07
Naranja Miniola,15,35,24,,Kilogramo,1.00,1.45,1.38,1.48
Naranja Primavera,13,23,20,20,Kilogramo,1.00,1.45,1.43,1.47
Naranja Tangelo Selva,54,66,58,63,Jaba,22.00,28.75,27.25,28.82
Naranja Valencia,141,185,154,165,Jaba,24.00,17.75,17.50,18.82
Naranja Washington Naval,15,20,25,25,Kilogramo,1.00,2.38,2.38,2.39
Naranjita China Kin Kan,4,,5,,Kilogramo,1.00,5.15,5.08,5.20
Noni,2,8,4,5,Kilogramo,1.00,1.65,1.55,1.65
Pacae Criollo,4,6,6,7,Kilogramo,1.00,3.73,3.88,3.65
Pacae De Seda,3,3,4,5,Kilogramo,1.00,3.65,3.73,3.63
Palta Antillana,3,,4,,Cajon,12.00,21.50,,21.07
Palta Choquete,5,11,6,10,Cajon,12.00,19.50,19.75,19.00
Palta Criolla,11,12,12,17,Cajon,12.00,21.25,21.75,21.64
Palta Dedo,2,2,2,3,Kilogramo,1.00,3.45,3.43,3.51
Palta Fuerte,26,49,46,56,Kilogramo,1.00,3.58,3.65,3.60
Palta Hall,10,11,11,17,Cajon,12.00,21.75,22.25,21.43
Palta Hass,6,6,7,13,Kilogramo,1.00,2.85,2.78,2.82
Palta Linda,4,12,5,8,Cajon,12.00,27.75,28.75,27.82
Palta Naval,9,15,8,,Kilogramo,1.00,3.08,2.85,3.12
Palta Villa Campa,10,10,,,Kilogramo,1.00,2.68,2.73,2.68
Papaya (Costa),10,16,11,13,Cajon,12.00,17.50,16.50,18.14
Papaya (Selva),154,195,172,190,Cajon,12.00,18.75,17.75,19.46
Pepino Rayado O Melon,21,16,22,30,Kilogramo,1.00,2.38,2.23,2.39
Pera Agua Packam Importado,10,16,13,14,Caja,20.00,82.25,82.25,81.82
Piña Criolla (Selva),42,52,51,54,Cajon,12.00,14.75,14.25,15.04
Piña Golden,47,70,58,65,Bandeja,12.00,28.75,28.75,28.93
Piña Hawaiana,51,49,53,53,Kilogramo,1.00,1.00,1.03,1.01
Pitahaya,3,6,6,6,Kilogramo,1.00,12.50,11.25,13.50
Platano Bellaco,79,122,94,111,Ciento,35.00,47.50,51.75,47.46
Platano Bizcocho,83,121,86,103,Bandeja,14.00,16.75,16.75,17.00
Platano Isla,83,97,89,120,Ciento,25.00,42.75,43.50,42.54
Platano Manzano,18,17,23,24,Jaba,16.00,18.50,18.25,18.64
Platano Morado,9,13,11,13,Cajon,12.00,27.25,26.75,27.64
Platano Palillo,72,81,68,60,Ciento,35.00,52.75,53.25,55.00
Platano Seda Congo,72,104,87,92,Ciento,20.00,35.75,35.75,35.89
Platano Seda (Selva),27,33,28,32,Ciento,25.00,34.75,35.25,34.93
Sandia,31,85,70,98,Kilogramo,1.00,1.15,1.15,1.12
Tamarindo (Con Cascara),1,,1,,Kilogramo,1.00,4.43,4.25,4.34
Tamarindo (Sin Cascara),,,,,Kilogramo,1.00,5.43,5.25,5.34
Toronja Costa,8,19,15,20,Jaba,22.00,25.75,25.75,25.89
Toronja Selva,4,10,8,11,Cajon,12.00,20.50,19.25,20.75
Tumbo,2,3,4,4,Kilogramo,1.00,2.40,2.58,2.36
Tuna Amarilla,7,9,7,9,Kilogramo,1.00,3.20,3.08,3.22
Tuna Blanca,6,9,7,10,Kilogramo,1.00,3.20,3.23,3.11
Tuna Morada/Rosada,7,5,7,7,Kilogramo,1.00,3.13,3.13,3.10
Uva Alfonso Lavalett,21,12,20,20,Jaba,12.00,18.50,18.25,18.61
Uva Borgoña,5,8,6,,Jaba,12.00,26.25,25.50,26.32
Uva Fley,6,9,8,12,Jaba,12.00,28.75,28.75,28.75
Uva Italia,12,13,15,15,Jaba,12.00,33.25,32.50,32.43
Uva Palestina,6,16,7,11,Jaba,12.00,37.50,36.75,37.93
Uva Pirovano,6,,6,,Jaba,12.00,31.50,31.25,31.32
Uva Red Globe,11,34,18,31,Jaba,12.00,25.25,25.75,25.86
Uva Rosada,12,17,12,11,Jaba,12.00,34.50,33.75,35.86
Uva Superior,6,14,7,10,Jaba,12.00,42.50,42.25,42.32
Yacon (Llacon),4,7,5,5,Kilogramo,1.00,1.52,1.48,1.60
