Producto,VolAyer,VolHoy,VolPromSem,VolProm4Sem,Unidad,Equiv.Kg,PrePromAyer,PrePromHoy,PrePromSem
Aguaje,6,5,6,4,Bandeja,10.00,17.00,17.25,16.57
Aguaymanto,2,2,2,2,Kilogramo,1.00,3.15,3.23,3.18
Albaricoque,6,4,,,Kilogramo,1.00,3.35,3.38,3.37
Anona,6,,,,Cajon,10.00,32.50,32.75,32.64
Arándano,3,2,2,2,Kilogramo,1.00,5.50,5.50,5.79
Caimito (Selva),4,7,5,,Cajon,10.00,19.00,19.50,18.89
Camu Camu,1,1,1,1,Bolsa,1.00,5.50,5.75,5.45
Carambola,6,9,10,8,Cajon,10.00,12.25,12.50,13.39
Chirimoya Criolla O Huayco,4,4,3,3,Kilogramo,1.00,5.13,5.13,5.10
Chirimoya Cumbe,9,10,12,11,Kilogramo,1.00,5.30,5.38,5.34
Ciruela Nectarina (Importada),7,9,9,8,Cajon,10.00,54.25,53.25,53.29
Ciruela Roja/Criolla,9,22,16,11,Bandeja,15.00,21.25,20.75,22.43
Ciruela Santa Rosa/Nacional,4,5,,6,Cajon,10.00,35.50,35.75,34.57
Coco,6,10,11,5,Unidad,1.50,1.85,1.85,1.80
Cocona,9,8,10,8,Bandeja,15.00,22.50,23.25,22.64
Fresa San Andreas,14,12,20,31,Kilogramo,1.00,4.43,4.58,4.09
Granada,27,35,40,17,Jaba,16.00,25.50,24.25,26.00
Granadilla (Costa),13,5,7,4,Ciento,8.00,23.00,22.75,23.00
Granadilla (Selva),41,39,40,34,Cajon,13.00,31.50,30.75,33.14
Guanabana (Costa),4,6,5,4,Kilogramo,1.00,5.73,5.75,5.81
Guanabana (Selva),3,4,3,4,Kilogramo,1.00,6.13,6.18,6.08
Higo Maduro,7,6,8,8,Cajon,7.00,32.25,33.25,31.29
Lima Dulce,5,4,5,3,Kilogramo,1.00,2.43,2.45,2.42
Limon Dulce  Selva,9,9,7,8,Jaba,20.00,33.00,33.50,33.61
Lucuma Beltran,6,5,,,Kilogramo,1.00,4.33,4.35,4.37
Lucuma De Seda,5,4,3,3,Kilogramo,1.00,4.13,4.13,4.15
Mamey,4,6,5,4,Kilogramo,1.00,2.93,2.93,2.92
Mandarina Satsuma,123,48,113,59,Kilogramo,1.00,2.18,2.13,2.17
Mandarina Tangerina,10,6,12,7,Jaba,16.00,21.00,21.25,21.25
Mango Criollo,12,8,13,19,Kilogramo,1.00,2.25,2.28,2.20
Mango Edward,22,12,16,12,Bandeja,17.00,44.50,44.50,44.11
Mango Haden /Hayde,20,18,,14,Kilogramo,1.00,2.20,2.20,2.10
Mango Kafro,18,15,21,20,Bandeja,17.00,25.50,25.50,25.89
Mango Kent,36,18,21,33,Kilogramo,1.00,1.93,1.88,1.87
Mango Rosado,31,40,47,,Jaba,20.00,23.25,22.75,23.36
Manzana Cte/Para Agua,20,17,21,17,Cajon,24.00,23.25,23.25,22.96
Manzana Delicia,94,57,93,59,Cajon,24.00,51.25,51.50,50.86
Manzana Golden,4,5,6,6,Kilogramo,1.00,2.10,2.05,2.03
Manzana Importada,12,11,14,14,Caja,20.00,92.75,93.75,91.82
Manzana Israel,45,27,49,33,Kilogramo,1.00,1.25,1.28,1.33
Manzana Winter,8,8,9,8,Cajon,24.00,46.25,46.25,45.29
Maracuya,5,16,12,11,Kilogramo,1.00,1.35,1.28,1.35
Melocoton Blanquillo,11,9,12,11,Cajon,12.00,34.25,33.50,33.61
