Producto,VolAyer,VolHoy,VolPromSem,VolProm4Sem,Unidad,Equiv.Kg,PrePromAyer,PrePromHoy,PrePromSem
Aguaje,7,4,,5,Bandeja,10,30,30.25,28.46,Marzo,MMF2,22
Aguaymanto,1,2,,2,Kilogramo,1,4.27,4.23,4.13,Marzo,MMF2,
Anona,5,4,,,Cajon,10,32.67,32,31.73,Marzo,MMF2,
Arándano,5,3,,3,Kilogramo,1,12.5,12.25,13.11,Marzo,MMF2,
Caimito (Selva),3,6,,4,Cajon,10,43.33,42.75,42.62,Marzo,MMF2,
Camu Camu,1,1,,1,Bolsa,1,6.67,6.75,6.79,Marzo,MMF2,
Carambola,9,8,,11,Cajon,10,18.33,18.25,17.71,Marzo,MMF2,
Chirimoya Criolla O Huayco,3,2,,3,Kilogramo,1,5.45,5.35,5.47,Marzo,MMF2,
Chirimoya Cumbe,9,10,7,11,Kilogramo,1,5.43,5.43,5.48,Marzo,MMF2,
Ciruela Nectarina (Importada),10,10,,8,Cajon,10,58.5,58.5,59.07,Marzo,MMF2,
Ciruela Roja/Criolla,12,12,12,19,Bandeja,15,34,33.75,34,Marzo,MMF2,
Coco,7,10,,9,Unidad,1.5,1.73,1.68,1.68,Marzo,MMF2,
Cocona,11,12,,12,Bandeja,15,35,33.5,35.43,Marzo,MMF2,
Fresa Sabrina,8,7,,6,Kilogramo,1,5.1,5.13,4.8,Marzo,MMF2,
Fresa San Andreas,24,26,21,24,Kilogramo,1,4.88,5.08,4.78,Marzo,MMF2,
Granada,23,33,22,26,Jaba,16,30,29.5,29.75,Marzo,MMF2,
Granadilla (Costa),6,4,,6,Ciento,8,20.5,20,20.86,Marzo,MMF2,
Granadilla (Selva),42,40,,39,Cajon,13,31.25,31.5,31.36,Marzo,MMF2,
Guanabana (Costa),10,5,,6,Kilogramo,1,4.17,4.18,4.1,Marzo,MMF2,
Guanabana (Selva),5,5,,,Kilogramo,1,4.28,4.28,4.11,Marzo,MMF2,
Higo Maduro,7,9,,6,Cajon,7,43.5,43.5,43.71,Marzo,MMF2,
Kiwi Importado Chileno,8,7,,,Caja,12,146,144.25,148.61,Marzo,MMF2,
Lima Dulce,3,7,,5,Kilogramo,1,3.4,3.38,3.46,Marzo,MMF2,
Limon Dulce - Selva,7,8,,7,Jaba,20,37.33,36.75,36.93,Marzo,MMF2,
