Producto,VolAyer,VolHoy,VolPromSem,VolProm4Sem,Unidad,Equiv.Kg,PrePromAyer,PrePromHoy,PrePromSem
Aguaje,3,4,3,3,Bandeja,10.00,36.75,37.25,36.06
Aguaymanto,2,2,2,2,Kilogramo,1.00,3.43,3.63,3.28
Albaricoque,7,7,6,7,Kilogramo,1.00,3.28,3.25,3.17
Arándano,1,2,,1,Kilogramo,1.00,18.75,18.75,17.82
Camu Camu,1,1,1,1,Bolsa,1.00,5.25,5.25,5.29
Carambola,15,15,12,12,Cajon,10.00,11.75,12.75,11.96
Chirimoya Criolla O Huayco,2,3,3,4,Kilogramo,1.00,3.58,3.58,3.24
Chirimoya Cumbe,15,16,16,17,Kilogramo,1.00,3.88,3.93,3.53
Ciruela Nectarina (Importada),7,7,10,8,Cajon,10.00,56.50,57.50,56.57
Ciruela Roja/Criolla,9,8,11,14,Bandeja,15.00,27.25,28.25,26.71
Ciruela Santa Rosa/Nacional,7,7,6,5,Cajon,10.00,44.50,45.50,44.82
Coco,10,10,8,14,Unidad,1.50,1.63,1.63,1.63
Cocona,10,10,10,11,Bandeja,15.00,16.25,15.75,15.96
Datil Melado,3,3,3,4,Cajon,10.00,46.25,45.25,46.36
Fresa San Andreas,23,29,23,35,Kilogramo,1.00,6.78,6.88,6.67
Granada,40,24,42,39,Jaba,16.00,17.25,17.50,17.07
Granadilla (Costa),7,6,6,8,Ciento,8.00,23.75,24.25,23.50
Granadilla (Selva),39,32,27,41,Cajon,13.00,36.50,35.25,35.21
Guanabana (Costa),5,6,6,5,Kilogramo,1.00,2.33,2.53,2.31
Guanabana (Selva),5,6,5,4,Kilogramo,1.00,2.75,2.85,2.80
Guayaba,4,5,5,6,Cajon,10.00,24.75,24.25,24.29
Higo Maduro,2,1,2,2,Cajon,7.00,42.25,42.25,41.57
Kake/Kaki,3,4,5,4,Cajon,10.00,51.50,52.50,51.61
Kiwi Importado Chileno,7,8,7,9,Caja,12.00,56.50,58.50,57.93
Lima Dulce,5,6,5,7,Kilogramo,1.00,2.35,2.33,2.34
Limon Dulce  Selva,14,16,11,10,Jaba,20.00,25.75,25.25,25.61
Lucuma Beltran,2,1,2,2,Kilogramo,1.00,4.08,4.15,4.22
Lucuma De Seda,2,1,3,3,Kilogramo,1.00,3.93,3.93,3.83
Mamey,7,6,5,7,Kilogramo,1.00,2.95,2.88,2.89
Mandarina Clementina,74,64,46,,Kilogramo,1.00,1.33,1.25,1.33
Mandarina Satsuma,151,143,140,173,Kilogramo,1.00,1.23,1.18,1.25
Mandarina Tangerina,22,27,21,25,Jaba,16.00,10.75,11.25,11.18
Mango Criollo,11,18,,14,Kilogramo,1.00,2.83,2.83,2.91
Mango Edward,9,7,9,12,Bandeja,17.00,60.75,61.50,61.14
Mango Haden /Hayde,5,6,6,10,Kilogramo,1.00,3.43,3.48,3.38
Mango Kafro,11,4,9,24,Bandeja,17.00,39.50,40.25,38.50
Mango Kent,17,27,19,23,Kilogramo,1.00,2.85,2.98,2.77
Manzana Cte/Para Agua,30,43,25,34,Cajon,24.00,26.50,26.50,25.39
Manzana Delicia,116,105,99,121,Cajon,24.00,51.00,51.50,52.04
Manzana Golden,8,6,,14,Kilogramo,1.00,1.88,1.85,1.87
Manzana Importada,16,14,16,17,Caja,20.00,76.50,77.50,77.14
Manzana Israel,28,39,38,40,Kilogramo,1.00,1.43,1.48,1.45
Manzana Winter,13,9,10,11,Cajon,24.00,45.75,45.75,45.29
Maracuya,22,20,17,20,Kilogramo,1.00,1.48,1.48,1.47
Melocoton Blanquillo,35,33,25,21,Cajon,12.00,32.50,33.25,32.96
Melocoton Durazno Huayco,48,45,46,41,Cajon,12.00,34.75,35.75,34.43
Melon Coquito,81,80,80,73,Bandeja,12.00,10.25,10.00,10.32
Membrillo Criollo,13,18,,13,Kilogramo,1.00,2.23,2.28,2.21
Membrillo Serrano,26,20,26,26,Cajon,24.00,56.75,57.25,56.79
Naranja Primavera,29,17,19,19,Kilogramo,1.00,1.40,1.38,1.43
Naranja Tangelo Selva,80,70,60,65,Jaba,22.00,22.00,22.75,21.75
Naranja Valencia,175,182,145,171,Jaba,24.00,16.75,16.50,16.86
Naranja Washington Naval,37,22,23,22,Kilogramo,1.00,2.08,2.08,2.11
Noni,7,6,7,7,Kilogramo,1.00,1.48,1.45,1.53
Pacae Criollo,5,9,7,9,Kilogramo,1.00,3.08,3.08,3.22
Pacae De Seda,6,10,6,6,Kilogramo,1.00,2.28,2.38,2.32
Palta Choquete,9,10,9,10,Cajon,12.00,23.25,23.25,21.82
Palta Collin Red,11,12,12,,Cajon,12.00,20.25,20.75,20.18
Palta Criolla,11,14,12,12,Cajon,12.00,22.50,23.00,22.46
Palta Dedo,2,1,2,2,Kilogramo,1.00,3.28,3.28,3.21
Palta Fuerte,62,88,57,60,Kilogramo,1.00,3.38,3.43,3.38
Palta Hall,15,15,13,14,Cajon,12.00,21.50,21.75,21.86
Palta Hass,12,5,7,8,Kilogramo,1.00,3.15,3.18,3.09
Palta Linda,9,10,9,10,Cajon,12.00,22.75,22.75,23.64
Papaya (Costa),11,12,12,13,Cajon,12.00,18.25,17.50,17.32
Papaya (Selva),208,197,173,199,Cajon,12.00,19.75,18.75,18.79
Pepino Rayado O Melon,50,40,37,36,Kilogramo,1.00,2.25,2.15,2.14
Pera Agua Italiana,4,5,7,,Jaba,16.00,44.25,44.25,44.04
Pera Agua Packam Importado,13,14,14,15,Caja,20.00,76.50,76.25,76.79
Piña Criolla (Selva),56,60,53,56,Cajon,12.00,15.75,15.25,15.50
Piña Golden,66,38,48,58,Bandeja,12.00,23.50,22.75,23.89
Piña Hawaiana,53,53,52,59,Kilogramo,1.00,1.08,1.08,1.05
Pitahaya,4,5,,5,Kilogramo,1.00,10.00,10.75,9.46
Platano Bellaco,121,58,96,95,Ciento,35.00,50.75,51.50,51.11
Platano Bizcocho,109,95,88,102,Bandeja,14.00,13.25,13.50,14.79
