Producto,VolAyer,VolHoy,VolPromSem,VolProm4Sem,Unidad,Equiv.Kg,PrePromAyer,PrePromHoy,PrePromSem
Aguaje,5,4,8,5,Bandeja,10.00,20.50,20.50,20.67
Aguaymanto,2,2,2,2,Kilogramo,1.00,4.63,4.65,4.55
Albaricoque,6,5,6,5,Kilogramo,1.00,3.43,3.40,3.30
Arándano,2,1,3,2,Kilogramo,1.00,6.50,6.50,6.45
Camu Camu,1,1,2,1,Bolsa,1.00,5.50,6.25,5.49
Carambola,7,5,12,7,Cajon,10.00,17.00,17.50,16.24
Chirimoya Criolla O Huayco,4,3,4,5,Kilogramo,1.00,4.73,4.75,4.59
Chirimoya Cumbe,12,14,13,9,Kilogramo,1.00,5.03,5.05,4.85
Ciruela Nectarina (Importada),5,7,,6,Cajon,10.00,58.00,58.50,58.50
Ciruela Roja/Criolla,8,7,,,Bandeja,15.00,35.00,34.50,35.25
Coco,12,10,12,7,Unidad,1.50,1.60,1.60,1.61
Cocona,10,10,13,10,Bandeja,15.00,31.25,31.00,30.79
Fresa Aroma,10,12,14,14,Kilogramo,1.00,2.03,2.05,2.04
Fresa San Andreas,74,60,87,67,Kilogramo,1.00,2.05,2.05,2.05
Granadilla (Costa),8,5,8,8,Ciento,8.00,22.50,23.00,22.21
Granadilla (Selva),39,37,39,31,Cajon,13.00,25.75,26.25,25.25
Guanabana (Costa),4,3,4,4,Kilogramo,1.00,5.30,5.23,5.41
Guanabana (Selva),4,5,4,4,Kilogramo,1.00,5.55,5.55,5.66
Higo Maduro,2,1,2,2,Cajon,7.00,55.50,55.50,55.00
Kiwi Importado Chileno,6,6,,5,Caja,12.00,69.25,69.25,67.79
Lima Dulce,4,5,5,5,Kilogramo,1.00,2.90,2.90,2.83
Limon Dulce - Selva,9,8,8,8,Jaba,20.00,31.50,31.50,31.29
Lucuma Beltran,3,4,3,3,Kilogramo,1.00,4.75,4.80,4.64
Lucuma De Seda,3,3,3,3,Kilogramo,1.00,4.80,4.85,4.70
Lulo,3,4,,,Cajon,10.00,24.00,23.50,23.95
Mamey,12,8,,,Kilogramo,1.00,3.80,3.80,3.81
Mandarina Dorina,25,21,42,19,Kilogramo,1.00,1.75,1.75,1.72
Mandarina Invicta,24,10,18,15,Kilogramo,1.00,1.65,1.65,1.64
Mandarina Kori,26,22,31,,Kilogramo,1.00,1.53,1.55,1.49
Mandarina Malvacea,25,15,31,32,Kilogramo,1.00,1.58,1.65,1.56
Mandarina Murcott,14,11,14,12,Kilogramo,1.00,1.70,1.70,1.68
Mandarina Rio De Oro,19,13,29,23,Kilogramo,1.00,1.95,1.95,1.90
Mandarina Tangerina,19,,21,11,Jaba,16.00,15.50,15.50,15.22
Mango Criollo,13,9,14,12,Kilogramo,1.00,3.35,3.35,3.39
Mango Edward,30,33,32,40,Bandeja,17.00,24.50,24.50,25.04
Mango Haden /Hayde,20,29,23,20,Kilogramo,1.00,1.55,1.65,1.70
Mango Kent,16,24,18,11,Kilogramo,1.00,2.10,2.10,2.16
Mango Pico De Loro,7,5,7,8,Jaba,16.00,31.00,30.50,30.92
