Producto,VolAyer,VolHoy,VolPromSem,VolProm4Sem,Unidad,Equiv.Kg,PrePromAyer,PrePromHoy,PrePromSem
Aguaje,5,7,6,6,Bandeja,10.00,21.50,20.50,21.71
Aguaymanto,1,2,1,2,Kilogramo,1.00,4.43,4.53,4.16
Albaricoque,6,7,7,6,Kilogramo,1.00,2.85,2.83,2.97
Arándano,3,2,2,2,Kilogramo,1.00,8.50,7.75,8.86
Camu Camu,0,1,1,1,Bolsa,1.00,12.50,13.00,11.05
Carambola,4,11,9,11,Cajon,10.00,14.75,14.75,14.79
Chirimoya Criolla O Huayco,2,6,3,3,Kilogramo,1.00,5.55,5.55,5.47
Chirimoya Cumbe,11,11,10,14,Kilogramo,1.00,5.68,5.75,5.57
Ciruela Nectarina (Importada),5,6,6,8,Cajon,10.00,56.50,55.75,56.50
Ciruela Roja/Criolla,5,8,,,Bandeja,15.00,40.50,40.25,40.71
Coco,8,8,9,9,Unidad,1.50,1.55,1.58,1.59
Cocona,10,20,13,15,Bandeja,15.00,20.25,19.25,20.93
Fresa Cama Rosa,8,7,7,8,Kilogramo,1.00,2.63,2.55,2.64
Fresa Sabrina,43,36,40,40,Kilogramo,1.00,2.55,2.55,2.59
Fresa San Andreas,50,71,51,66,Kilogramo,1.00,2.50,2.50,2.50
Granadilla (Costa),6,9,6,7,Ciento,8.00,21.25,20.25,20.07
Granadilla (Selva),43,48,48,50,Cajon,13.00,25.75,25.50,25.68
Guanabana (Costa),4,3,5,4,Kilogramo,1.00,4.55,4.58,4.44
Guanabana (Selva),3,5,4,4,Kilogramo,1.00,4.65,4.68,4.62
Guayaba,3,,3,3,Cajon,10.00,35.25,,35.32
Higo Maduro,2,2,2,2,Cajon,7.00,54.00,52.25,53.89
Kiwi Importado Chileno,5,6,5,6,Caja,12.00,97.50,97.50,97.96
Lima Dulce,4,7,3,5,Kilogramo,1.00,2.55,2.58,2.52
Limon Dulce - Selva,13,12,10,12,Jaba,20.00,29.25,28.75,29.00
Lucuma Beltran,3,3,3,3,Kilogramo,1.00,4.75,4.78,4.76
Lucuma De Seda,3,4,2,2,Kilogramo,1.00,4.93,4.88,4.91
Mamey,3,7,5,6,Kilogramo,1.00,4.10,4.00,4.20
Mandarina Dorina,10,15,13,15,Kilogramo,1.00,1.65,1.63,1.58
Mandarina Fortuna,6,10,8,10,Kilogramo,1.00,1.55,1.55,1.53
Mandarina Invicta,11,29,14,17,Kilogramo,1.00,1.63,1.58,1.59
Mandarina Kara,9,11,,,Kilogramo,1.00,1.45,1.48,1.50
Mandarina Kori,10,11,15,,Kilogramo,1.00,1.55,1.53,1.56
Mandarina Malvacea,36,46,38,40,Kilogramo,1.00,1.55,1.58,1.55
Mandarina Murcott,5,33,9,7,Kilogramo,1.00,1.85,1.88,1.88
Mandarina Pixie,6,,7,12,Kilogramo,1.00,1.75,,1.70
Mandarina Rio De Oro,22,33,32,36,Kilogramo,1.00,1.68,1.73,1.59
Mandarina Tangerina,14,17,16,19,Jaba,16.00,15.50,15.75,15.50
Mango Criollo,11,10,10,13,Kilogramo,1.00,3.73,3.73,3.69
Mango Edward,52,63,46,44,Kilogramo,1.00,2.55,2.53,2.69
Mango Haden /Hayde,43,38,40,31,Kilogramo,1.00,3.55,3.45,3.65
Mango Kafro,10,9,10,7,Kilogramo,1.00,4.35,4.28,4.38
Mango Kent,9,10,11,12,Kilogramo,1.00,4.28,4.25,4.36
Mango Pico De Loro,4,2,3,4,Kilogramo,1.00,3.95,3.88,3.90
Manzana Cte/Para Agua,28,35,29,32,Cajon,24.00,32.25,31.25,32.54
Manzana Delicia,66,73,78,98,Cajon,24.00,58.50,58.75,57.07
Manzana Golden,10,11,7,10,Kilogramo,1.00,2.55,2.50,2.53
Manzana Importada,14,13,15,17,Caja,20.00,87.75,87.50,87.21
Manzana Israel,48,38,36,27,Kilogramo,1.00,1.58,1.55,1.60
Manzana Winter,8,12,9,10,Cajon,24.00,46.50,46.25,45.86
Maracuya,6,18,9,12,Kilogramo,1.00,1.83,1.85,1.79
Melocoton Blanquillo,10,19,16,17,Cajon,12.00,39.25,39.50,38.46
Melocoton Durazno Huayco,21,26,29,32,Cajon,12.00,41.75,41.50,40.71
Melon Coquito,38,39,31,45,Bandeja,12.00,17.75,18.75,17.21
Membrillo Criollo,14,15,14,14,Kilogramo,1.00,1.93,1.85,1.89
Membrillo Serrano,19,15,19,24,Cajon,24.00,49.25,50.75,49.00
Naranja Miniola,16,16,19,31,Kilogramo,1.00,1.88,1.93,1.93
Naranja Primavera,26,38,29,28,Kilogramo,1.00,1.45,1.48,1.50
Naranja Tangelo Costa,11,12,12,17,Kilogramo,1.00,1.95,1.95,1.97
Naranja Tangelo Selva,50,65,56,64,Jaba,22.00,42.75,42.75,42.00
Naranja Valencia,152,176,152,174,Jaba,24.00,18.75,18.50,18.68
Naranja Washington Naval,11,13,13,23,Kilogramo,1.00,4.48,4.53,4.45
Nispero De Agua,20,46,26,34,Cajon,12.00,21.00,20.75,20.89
Noni,4,8,5,6,Kilogramo,1.00,1.60,1.58,1.64
Pacae De Seda,4,3,4,2,Kilogramo,1.00,4.55,4.58,4.48
Palta Choquete,6,7,6,6,Cajon,12.00,22.50,22.50,22.89
Palta Criolla,10,13,10,12,Cajon,12.00,22.50,22.25,23.32
Palta Dedo,4,1,5,2,Kilogramo,1.00,5.33,5.28,5.37
Palta Fuerte,43,38,44,52,Kilogramo,1.00,6.38,6.38,6.32
Palta Hall,10,14,10,13,Cajon,12.00,23.50,23.50,23.61
Palta Hass,7,12,7,9,Kilogramo,1.00,4.23,4.18,4.20
Palta Linda,4,6,8,9,Cajon,12.00,34.25,33.75,33.82
Palta Naval,11,12,11,14,Kilogramo,1.00,3.75,3.73,3.78
Palta Queen,8,8,7,10,Kilogramo,1.00,3.73,3.68,3.72
Palta Villa Campa,7,9,8,13,Kilogramo,1.00,4.73,4.68,4.59
Papaya (Costa),11,11,12,14,Cajon,12.00,16.50,16.50,16.26
Papaya (Selva),182,206,184,206,Cajon,12.00,17.75,17.50,17.07
Pepino Rayado O Melon,30,31,24,30,Kilogramo,1.00,1.33,1.28,1.36
Pera Agua Italiana,,7,,,Jaba,16.00,,28.75,
Pera Agua Packam Importado,13,14,14,16,Caja,20.00,87.25,87.00,87.79
Piña Criolla (Selva),52,50,47,52,Cajon,12.00,12.75,12.75,12.57
Piña Golden,63,66,66,70,Bandeja,12.00,32.25,29.50,32.00
Piña Hawaiana,62,50,50,54,Kilogramo,1.00,0.98,0.98,1.01
Pitahaya,6,4,6,5,Kilogramo,1.00,13.25,11.25,16.07
Platano Bellaco,102,79,84,91,Ciento,35.00,58.00,57.50,57.43
Platano Bizcocho,80,86,85,93,Bandeja,14.00,16.75,16.75,15.79
Platano Isla,78,113,86,107,Ciento,25.00,42.25,42.25,41.89
Platano Manzano,22,21,23,28,Jaba,16.00,18.50,18.50,17.75
Platano Morado,14,8,13,15,Cajon,12.00,29.25,28.75,28.86
Platano Palillo,59,50,67,64,Ciento,35.00,56.25,56.50,57.11
Platano Seda Congo,92,65,86,84,Ciento,20.00,34.75,34.75,34.18
Platano Seda (Selva),21,30,20,30,Ciento,25.00,33.50,33.75,32.86
Sandia,90,75,69,61,Kilogramo,1.00,1.05,1.08,1.04
Sanki,5,8,7,8,Kilogramo,1.00,4.85,4.85,4.86
Tamarindo (Con Cascara),1,1,,,Kilogramo,1.00,4.70,4.75,4.79
Tamarindo (Sin Cascara),,,,,Kilogramo,1.00,5.70,5.75,5.79
Toronja Costa,20,20,20,23,Jaba,22.00,30.50,30.75,30.25
Toronja Selva,10,12,10,11,Cajon,12.00,19.50,19.50,19.36
Tumbo,4,3,4,4,Kilogramo,1.00,2.38,2.28,2.38
Tuna Amarilla,6,12,6,7,Kilogramo,1.00,3.38,3.35,3.37
Tuna Blanca,5,11,6,,Kilogramo,1.00,3.45,3.48,3.44
Tuna Morada/Rosada,5,11,6,7,Kilogramo,1.00,3.38,3.35,3.36
Uva Alfonso Lavalett,21,14,19,15,Jaba,12.00,32.75,31.75,32.64
Uva Borgoña,4,4,,3,Jaba,12.00,27.50,27.50,28.04
Uva Crimson,15,8,10,,Jaba,12.00,27.25,26.75,27.04
Uva Italia,19,10,13,8,Jaba,12.00,34.25,33.75,34.21
Uva Palestina,6,4,,7,Jaba,12.00,42.50,42.25,41.82
Uva Pirovano,5,8,6,6,Jaba,12.00,41.00,40.50,40.86
Uva Red Globe,20,34,33,37,Jaba,12.00,32.75,32.25,32.89
Uva Rosada,7,7,,9,Jaba,12.00,42.25,41.75,41.18
Uva Superior,7,21,8,6,Jaba,12.00,42.25,41.75,42.43
Yacon (Llacon),2,2,2,3,Kilogramo,1.00,2.93,2.93,2.90
