Producto,VolAyer,VolHoy,VolPromSem,VolProm4Sem,Unidad,Equiv.Kg,PrePromAyer,PrePromHoy,PrePromSem
Aguaje,4,6,4,4,Bandeja,10.00,25.50,25.25,25.79
Aguaymanto,2,1,2,2,Kilogramo,1.00,3.93,4.15,3.84
Albaricoque,5,4,6,6,Kilogramo,1.00,3.55,3.65,3.44
Arándano,1,1,1,1,Kilogramo,1.00,6.50,6.50,6.85
Camu Camu,1,1,1,1,Bolsa,1.00,5.50,6.50,5.12
Carambola,9,9,10,7,Cajon,10.00,13.50,12.50,12.98
Chirimoya Criolla O Huayco,3,3,3,3,Kilogramo,1.00,4.50,4.53,4.44
Chirimoya Cumbe,14,12,14,12,Kilogramo,1.00,4.73,4.68,4.58
Ciruela Nectarina (Importada),7,7,8,6,Cajon,10.00,58.50,58.50,58.19
Ciruela Santa Rosa/Nacional,13,5,7,7,Cajon,10.00,36.50,36.00,36.88
Coco,10,7,12,6,Unidad,1.50,1.85,1.85,1.76
Cocona,12,5,12,10,Bandeja,15.00,22.25,23.00,20.82
Fresa Aroma,16,15,17,10,Kilogramo,1.00,2.83,2.68,2.88
Fresa San Andreas,60,37,60,32,Kilogramo,1.00,2.80,2.73,2.90
Granadilla (Costa),7,6,8,6,Ciento,8.00,22.25,21.50,21.93
Granadilla (Selva),40,32,40,33,Cajon,13.00,27.25,27.25,27.64
Guanabana (Selva),5,4,4,4,Kilogramo,1.00,5.95,5.93,5.75
Guayaba,3,2,3,3,Cajon,10.00,39.00,38.50,38.39
Higo Maduro,4,3,3,2,Cajon,7.00,51.25,50.75,50.96
Kiwi Importado Chileno,6,7,7,6,Caja,12.00,62.25,62.00,61.29
Lima Dulce,5,3,5,3,Kilogramo,1.00,2.43,2.48,2.38
Limon Dulce - Selva,10,11,7,7,Jaba,20.00,27.00,27.50,26.86
Lucuma Beltran,2,3,3,2,Kilogramo,1.00,4.93,4.93,4.73
Lucuma De Seda,3,3,3,3,Kilogramo,1.00,4.95,4.93,4.93
Mandarina Fortuna,17,8,12,,Kilogramo,1.00,1.55,1.53,1.52
Mandarina Invicta,21,18,21,,Kilogramo,1.00,1.50,1.53,1.51
Mandarina Malvacea,32,24,33,31,Kilogramo,1.00,1.50,1.53,1.49
Mandarina Murcott,27,23,27,28,Kilogramo,1.00,1.55,1.53,1.49
Mandarina Nova,14,6,10,16,Kilogramo,1.00,1.55,1.48,1.53
Mandarina Pixie,14,16,19,,Kilogramo,1.00,1.73,1.70,1.68
Mandarina Rio De Oro,20,30,35,,Kilogramo,1.00,1.65,1.70,1.68
Mandarina Satsuma,14,10,18,12,Kilogramo,1.00,1.75,1.73,1.74
Mandarina Tangerina,13,10,14,13,Jaba,16.00,14.00,13.75,14.04
Mango Criollo,9,7,12,17,Kilogramo,1.00,2.65,2.63,2.70
Mango Edward,31,34,44,37,Bandeja,17.00,38.00,37.00,39.11
Mango Haden /Hayde,28,22,33,24,Kilogramo,1.00,2.40,2.40,2.47
Mango Kent,14,8,13,14,Kilogramo,1.00,3.13,3.00,3.10
Mango Pico De Loro,11,13,11,,Jaba,16.00,35.00,34.00,35.61
Manzana Cte/Para Agua,20,22,33,20,Cajon,24.00,29.25,28.50,31.39
Manzana Delicia,87,91,89,79,Cajon,24.00,46.75,46.50,47.36
Manzana Golden,10,9,7,6,Kilogramo,1.00,2.33,2.28,2.32
Manzana Importada,13,13,14,12,Caja,20.00,82.75,82.00,82.18
Manzana Israel,35,38,31,22,Kilogramo,1.00,2.33,2.35,2.46
Manzana Winter,8,9,8,7,Cajon,24.00,45.00,44.75,45.25
Maracuya,7,13,10,12,Kilogramo,1.00,2.23,2.18,2.07
Melocoton Blanquillo,19,10,20,15,Cajon,12.00,43.25,42.75,43.32
Melocoton Durazno Huayco,29,25,34,27,Cajon,12.00,44.00,44.75,44.18
Melon Coquito,22,20,22,27,Bandeja,12.00,19.25,19.75,18.36
Membrillo Criollo,9,9,12,11,Kilogramo,1.00,2.33,2.28,2.39
Membrillo Serrano,20,17,20,16,Cajon,24.00,56.50,56.75,56.86
Naranja Miniola,45,32,46,37,Kilogramo,1.00,1.45,1.48,1.48
Naranja Primavera,21,8,20,15,Kilogramo,1.00,1.53,1.50,1.50
Naranja Tangelo Costa,52,15,46,37,Kilogramo,1.00,1.45,1.45,1.46
Naranja Tangelo Selva,46,37,53,37,Jaba,22.00,25.50,25.75,24.82
Naranja Valencia,148,74,136,70,Jaba,24.00,15.50,15.75,15.57
Naranja Washington Naval,16,14,16,13,Kilogramo,1.00,2.65,2.68,2.66
Naranjita China Kin Kan,2,4,2,2,Kilogramo,1.00,5.60,5.63,5.59
Nispero De Agua,33,27,29,19,Cajon,24.00,42.50,41.75,43.20
Noni,5,6,7,7,Kilogramo,1.00,1.53,1.55,1.55
Palta Choquete,7,4,6,5,Cajon,12.00,27.50,27.25,27.68
Palta Criolla,12,8,11,9,Cajon,12.00,27.50,26.75,27.79
Palta Dedo,2,2,2,2,Kilogramo,1.00,5.65,5.68,5.66
Palta Fuerte,54,50,58,35,Kilogramo,1.00,5.83,5.85,5.81
Palta Hall,8,7,9,10,Cajon,12.00,27.50,27.50,27.14
Palta Hass,5,17,10,9,Kilogramo,1.00,4.43,4.38,4.29
Palta Linda,8,2,6,6,Cajon,12.00,32.50,32.25,32.21
Palta Naval,11,9,12,10,Kilogramo,1.00,3.93,3.88,3.81
Palta Queen,5,4,,6,Kilogramo,1.00,3.90,3.88,3.89
Palta Villa Campa,6,10,8,8,Kilogramo,1.00,3.95,3.88,3.94
Papaya (Costa),12,11,11,9,Cajon,12.00,16.50,16.25,17.07
Papaya (Selva),178,155,181,133,Cajon,12.00,17.75,17.50,18.07
Pepino Rayado O Melon,27,26,27,20,Kilogramo,1.00,1.90,1.90,1.91
Pera Agua Packam Importado,15,11,13,13,Caja,20.00,81.50,82.25,81.75
