Año;Mes;Pan MIN USD/KG;Papa MIN USD/KG;Papa MAY USD/KG;Arroz MIN USD/Kg;Arroz MAY USD/Kg;Maiz MIN USD/Kg;Maiz MAY USD/Kg;Trigo MIN USD/Kg;Trigo MAY USD/Kg;SOLES/DÓLAR
2021;Marzo;1.83;0.46;0.22;1.12;0.61;1.62;0,40;1,34;0,50;3.7
2021;Febrero;1.86;0.45;0.17;1.13;0.65;1.64;0,42;1,38;0,50;3.64
2021;Enero;1.87;0.46;0.19;1.13;0.62;1.69;0,41;1,39;0,50;3.6
2020;Diciembre;1.89;0.45;0.18;1.13;0.62;1.69;0,41;1,40;0,50;3.62
2020;Noviembre;1.88;0.44;0.14;1.12;0.58;1.67;0,40;1,42;0,50;3.6
2020;Octubre;1.89;0.45;0.15;1.13;0.57;1.68;0,38;1,53;0,50;3.61
2020;Setiembre;1.91;0.45;0.17;1.14;0.61;1.72;0,36;1,56;0,50;3.59
2020;Agosto;1.91;0.46;0.15;1.14;0.62;1.76;0,34;1,51;0,50;3.54
2020;Julio;1.93;0.47;0.14;1.16;0.63;1.79;0,34;1,54;0,51;3.51
2020;Junio;1.96;0.49;0.15;1.16;0.65;1.82;0,34;1,47;0,52;3.52
2020;Mayo;1.99;0.51;0.15;1.18;0.74;1.86;0,36;1,47;0,52;3.42
2020;Abril;2;0.52;0.2;1.18;0.73;1.85;0,37;1,36;0,52;3.4
2020;Marzo;1.94;0.52;0.18;1.12;0.64;1.78;0,33;1,32;0,51;3.49
2020;Febrero;2;0.55;0.19;1.15;0.6;1.81;0,34;1,35;0,52;3.39
2020;Enero;2.04;0.58;0.23;1.17;0.61;1.84;0,35;1,38;0,53;3.32
2019;Diciembre;2.02;0.6;0.36;1.16;0.6;1.82;0,34;1,36;0,53;3.36
2019;Noviembre;2.01;0.6;0.45;1.15;0.61;1.82;0,34;1,35;0,53;3.37
2019;Octubre;2.02;0.59;0.44;1.16;0.61;1.82;0,35;1,35;0,53;3.36
2019;Setiembre;2.02;0.59;0.44;1.16;0.61;1.82;0,36;1,35;0,53;3.36
2019;Agosto;2.01;0.56;0.33;1.15;0.55;1.81;0,36;1,34;0,53;3.37
2019;Julio;2.05;0.57;0.34;1.17;0.53;1.86;0,37;1,36;0,54;3.29
2019;Junio;2.03;0.56;0.31;1.15;0.52;1.84;0,37;1,34;0,53;3.33
2019;Mayo;2.02;0.56;0.28;1.15;0.52;1.83;0,37;1,33;0,53;3.33
2019;Abril;2.04;0.58;0.35;1.16;0.53;1.85;0,38;1,34;0,54;3.3
