Country name,Regional indicator,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption
Afghanistan,South Asia,4.22,7.697,0.559,53,0.523,0.793
Albania,Central and Eastern Europe,4.511,9.437,0.638,68.1,0.73,0.901
Algeria,Middle East and North Africa,5.341,9.362,0.749,65.5,0.587,0.69
Argentina,Latin America and Caribbean,6.427,10.051,0.883,68.4,0.848,0.851
Armenia,Commonwealth of Independent States,4.325,9.333,0.709,66.3,0.611,0.921
Australia,North America and ANZ,7.25,10.791,0.942,73,0.922,0.399
Austria,Western Europe,7.048,10.891,0.926,72.4,0.889,0.524
Azerbaijan,Commonwealth of Independent States,5.304,9.564,0.777,64.9,0.713,0.607
Bahrain,Middle East and North Africa,6.17,10.781,0.863,68.1,0.889,0.732
Bangladesh,South Asia,4.556,8.274,0.649,63.3,0.875,0.688
Belarus,Commonwealth of Independent States,5.178,9.788,0.927,65.5,0.658,0.664
Belgium,Western Europe,6.949,10.819,0.929,71.6,0.866,0.497
Benin,Sub-Saharan Africa,4.007,7.993,0.493,53.5,0.78,0.838
Bolivia,Latin America and Caribbean,5.77,9.012,0.796,63,0.882,0.853
Bosnia and Herzegovina,Central and Eastern Europe,5.181,9.5,0.808,67.2,0.633,0.957
Botswana,Sub-Saharan Africa,3.499,9.748,0.768,57.5,0.852,0.729
Brazil,Latin America and Caribbean,6.375,9.578,0.912,66,0.807,0.781
Bulgaria,Central and Eastern Europe,4.838,9.928,0.926,66.4,0.7,0.936
Burkina Faso,Sub-Saharan Africa,4.206,7.596,0.764,52.9,0.645,0.721
Burundi,Sub-Saharan Africa,3.792,6.723,0.326,49.66,0.427,0.718
Cambodia,Southeast Asia,4.461,8.225,0.746,60.8,0.958,0.84
Cameroon,Sub-Saharan Africa,4.816,8.167,0.659,51.1,0.713,0.879
Canada,North America and ANZ,7.245,10.773,0.924,73.2,0.912,0.385
Central African Republic,Sub-Saharan Africa,3.575,7.091,0.29,50.88,0.69,0.859
Chad,Sub-Saharan Africa,4.029,7.431,0.616,47.2,0.525,0.82
Chile,Latin America and Caribbean,6.579,10.074,0.841,69.7,0.652,0.858
China,East Asia,5.325,9.51,0.742,68.7,0.853,0.73
Colombia,Latin America and Caribbean,6.234,9.571,0.882,67.1,0.835,0.898
Comoros,Sub-Saharan Africa,3.838,7.981,0.722,55.02,0.5,0.732
Congo (Brazzaville),Sub-Saharan Africa,4.119,8.19,0.615,56.7,0.786,0.79
Congo (Kinshasa),Sub-Saharan Africa,3.903,6.971,0.767,52.1,0.574,0.866
Costa Rica,Latin America and Caribbean,7.136,9.83,0.901,70.9,0.873,0.781
