Código modular,Código de local,Nombre de IE,Nivel / Modalidad,Forma,Gestión / Dependencia,Dirección de IE,Departamento,Provincia,Distrito,Alumnos (2015),Docentes (2015),Secciones (2015)
0909721,015775,SEÑOR DE LOS MILAGROS,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA SIMON BOLIVAR S/N,Ancash,Huaraz,Huaraz,57,20,11
0681726,026905,SAN ANTONIO DE PADUA,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON BOLOGNESI S/N,Ancash,Huaylas,Caraz,22,3,7
1003151,037602,CEBE AULA DE EDUCACION ESPECIAL 01 SANTA,Educación Especial,Escolarizado,Pública - Sector Educación,MZ W LOTE 1,Ancash,Santa,Santa,23,3,7
1000306,038041,CEBE 03,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON 31,Ancash,Santa,Nuevo Chimbote,78,24,10
0570226,034793,CEBE 01,Educación Especial,Escolarizado,Pública - Sector Educación,MZ P LOTE 24-25,Ancash,Santa,Chimbote,123,36,11
0359323,035641,CEBE FE Y ALEGRIA 42,Educación Especial,Escolarizado,Pública - En convenio,AVENIDA JOSE PARDO 4071 MZ 13 LOTE 01,Ancash,Santa,Chimbote,145,41,17
1001627,529058,PRITE LA VICTORIA,Educación Especial,No escolarizado,Pública - Sector Educación,MZ 6 LOTE 26-B ZONA II,Ancash,Santa,Chimbote,84,9,5
0818518,022323,02 AGUSTIN EVANS,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE MARISCAL SUCRE,Ancash,Casma,Casma,16,7,8
1042399,026118,04 VIRGEN DEL ROSARIO,Educación Especial,Escolarizado,Pública - Sector Educación,CARRETERA PANAMERICANA NORTE KM.293,Ancash,Huarmey,Huarmey,47,7,12
0637330,072407,CENTRO ESPECIAL MOLLENDO,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE PUNO 710,Arequipa,Islay,Mollendo,41,10,11
0679092,509946,PRITE MARIA REINA Y MADRE,Educación Especial,No escolarizado,Pública - Sector Educación,JIRON PIZARRO S/N,Arequipa,Condesuyos,Chuquibamba,9,3,2
0723098,522325,SAN TARCISIO,Educación Especial,Escolarizado,Privada - Parroquial,AVENIDA MUNICIPAL S/N,Arequipa,Castilla,Aplao,7,1,5
0723106,069396,CRISTO REY,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA JUAN PABLO VIZCARDO Y GUZMAN 411 MZ R LOTE 8,Arequipa,Castilla,Uraca,4,1,3
0589358,066543,ESPECIAL CAMANA,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON JUAN BAUTISTA NAVARRETE 330,Arequipa,Camana,Camana,44,6,9
1116508,182811,PRITE CAMANA,Educación Especial,No escolarizado,Pública - Sector Educación,AVENIDA LIMA 673,Arequipa,Camana,Camana,20,3,3
