Departamento,Escolarizado,No Escolarizado,Publica,Privada
Ancash,10,2,10,0
Arequipa,36,5,32,9
Madre de Dios,1,0,1,0
Moquegua,3,2,5,0
Tacna,3,0,2,1
Ucayali,4,2,6,0
Amazonas,7,1,8,0
Apurimac,13,0,13,0
Ayacucho,9,1,10,0
Callao,11,1,10,2
Cusco,14,3,15,2
Huancavelica,20,3,23,0
Ica,11,0,10,1
La Libertad,28,2,24,6
Lambayeque,11,0,10,1
Lima,107,16,92,31
Loreto,8,4,12,0
Puno,14,2,14,2
San Martin,13,2,15,0
Junin,17,5,20,2
Tumbes,11,4,15,0
Cajamarca,16,3,18,1
Huanuco,6,2,7,1
Pasco,12,1,0,12
Piura,25,3,23,5
