pmes,p107,p108,p109a,p206,p208b3,p209a,p209b,p209c,p209d,p209e,p209f,p209g,p209t,p209bb,p209cc,p209h,p209ee,P223A1,P223A2,P223A3,P223A4,P223A5,P223A6,P223A7,fa_efm21,IMTdep,IMTindep,IMTOSec,ITotal,p204
01,1,25,7,4,1,0,8,8,8,8,8,8,48,1,NA,2,2,2,2,2,2,2,2,2,927.327266673722,1000,0,0,1000,0
01,1,16,5,4,1,0,5,5,5,5,5,5,30,1,NA,1,2,2,2,2,2,2,2,2,915.874738639152,500,0,0,500,0
02,1,50,6,4,5,0,3,0,0,4,0,3,10,2,58,1,2,2,2,2,2,2,2,2,576.850853784607,0,0,800,800,0
02,2,29,7,3,3,2,1,2,1,2,1,2,11,2,48,1,2,2,2,2,2,2,2,2,898.88234079716506,1000,0,0,1000,0
02,1,39,6,4,0,0,8,8,8,8,8,8,48,1,NA,1,2,2,2,2,2,2,2,2,907.224598451681,1000,0,0,1000,0
02,1,40,6,4,3,0,8,8,8,8,8,8,48,1,NA,1,2,2,2,2,2,2,2,2,907.224598451681,1500,0,0,1500,0
02,1,22,7,4,2,0,8,8,8,8,8,8,48,1,NA,2,2,2,2,2,2,2,2,2,896.020339156375,930,0,0,930,0
02,1,60,6,4,2,8,9,9,9,9,9,9,62,2,48,1,1,2,2,2,2,2,2,2,576.850853784607,2000,0,600,2600,0
02,1,31,10,3,1,0,8,8,8,8,8,8,48,1,NA,1,2,2,2,2,2,2,2,2,907.224598451681,2000,0,0,2000,0
02,1,65,9,3,12,0,8,8,8,8,8,0,40,1,NA,2,2,2,2,2,2,2,2,2,576.850853784607,5000,0,0,5000,0
03,1,54,8,3,1,0,9,9,9,9,9,8,53,1,NA,2,2,2,2,2,2,2,2,2,617.855201482977,1200,0,0,1200,0
03,1,32,6,3,7,0,9,9,9,9,9,5,50,1,NA,1,2,2,2,2,2,2,2,2,971.712936522717,1516,0,0,1516,0
03,1,54,5,4,15,0,12,12,12,12,12,12,72,1,NA,2,2,2,2,2,2,2,2,2,308.927600741489,1300,0,0,1300,0
03,1,24,6,3,5,0,9,9,9,11,9,7,54,1,NA,1,2,2,2,2,2,2,2,2,959.71224372847,2300,0,0,2300,0
03,1,61,6,4,0,0,10,10,10,10,10,10,60,1,NA,1,2,2,2,2,2,2,2,2,774.264843558851,1300,0,0,1300,0
03,1,29,8,3,1,0,8,8,8,8,8,8,48,1,NA,1,2,2,2,2,2,2,2,2,1217.70143388783,2000,0,0,2000,0
