Nombre de los paises,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,2,0,0,1,2,2,3,4,13,17,6,5,
Afganistán,,,,,,,0,0,,,,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,1,1,,1,,
Angola,,,4,,,,,,,12,12,10,8,7,4,,,,0,0,0,0,,,,,,,,,6,5,,,,,,,,,,,,,,,,3,,2,2,2,2,2,2,3,4,3,3,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,9,13,4,4,3,3,4,6,24,38,14,33,10,13,12,11,10,5,8,9,5,2,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,3,2,2,3,4,3,4,3,4,3,4,5,2,3,3,,
El mundo árabe,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,35,29,23,,,,,,2,2,2,2,2,1,2,1,1,2,1,2,2,2,2,3,3,4,4,4,3,
Emiratos Árabes Unidos,,,,,,,,,,,,,,,,,,,0,0,,,,42,,,,,,,,78,68,55,,,,,,4,3,4,2,2,1,1,1,1,1,1,1,1,2,2,3,5,5,5,6,4,
Argentina,,,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,2,2,2,1,1,2,2,2,,,,,1,1,1,2,1,2,3,3,3,3,4,3,4,3,4,4,3,4,4,4,4,3,3,3,3,3,0,0,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,13,26,27,14,19,21,9,24,31,29,44,51,48,40,37,35,41,35,39,34,36,
Samoa Americana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua y Barbuda,,,,,,,,,,,,,,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,,,,9,6,,,,,2,,1,,6,2,2,3,31,18,16,8,7,0,0,
Australia,,,,6,8,10,10,11,16,18,23,22,19,17,21,22,20,20,15,15,17,17,19,20,19,18,18,18,24,26,25,24,21,20,18,20,19,19,20,21,20,19,18,19,20,23,27,29,28,28,34,37,34,38,37,32,32,30,27,33,
Austria,,,,5,5,5,5,4,4,4,4,3,3,3,3,2,3,3,3,4,4,3,3,4,4,4,3,4,4,4,3,3,3,3,3,3,3,3,3,2,3,2,2,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,
Azerbaiyán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,4,3,1,1,2,3,4,4,3,0,0,0,0,1,0,1,1,1,1,1,,
Burundi,,,,,,0,,,,,,,,,2,1,0,,,,,,,,,,,,,,,,,1,0,1,1,1,1,1,1,9,3,1,1,1,2,2,5,4,5,6,7,5,3,2,4,6,9,7,
Bélgica,,,10,10,10,10,12,11,11,11,10,7,6,8,8,5,6,5,5,5,7,5,5,5,5,5,4,4,,,,,,,,,,,,3,3,3,2,2,3,3,4,4,3,3,4,4,4,3,3,3,2,3,3,3,
Benin,,,0,0,0,1,0,14,3,1,0,0,0,0,0,,,,,0,1,,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,1,2,1,1,4,2,3,4,1,2,1,0,0,
Burkina Faso,,,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,1,4,3,4,6,6,5,
Bangladesh,,,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,,0,,,,,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11,9,9,13,11,10,10,12,14,20,18,17,15,17,19,17,16,15,14,11,14,14,13,
Bahrein,,,,,,,,,,,0,0,1,1,7,7,7,6,9,45,46,37,60,75,72,57,84,70,,,,,,,25,26,57,,,,16,20,17,17,15,15,14,11,17,15,18,21,21,18,15,23,28,25,23,,
Bahamas,,,,,,,,,,,,,,,1,1,1,,,,0,1,1,1,1,2,2,3,,,,,,,,,,27,16,9,6,9,9,11,9,5,4,11,11,10,11,9,7,6,10,10,2,2,4,,
Bosnia y Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,17,23,20,18,15,11,14,15,14,11,10,9,7,9,9,7,
Belarús,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,
Belice,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,,,,,,,,,,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Bermudas,,,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,
Bolivia,,,89,88,91,92,85,76,81,84,88,78,72,70,58,56,58,66,71,70,62,56,47,42,46,39,31,36,,,,,49,38,28,31,32,30,24,22,23,18,19,18,19,16,22,26,26,33,33,34,22,21,20,24,,,,,
Brasil,,,9,7,7,9,8,8,8,8,10,10,7,7,9,12,11,8,9,10,9,9,10,10,9,9,11,10,,12,14,14,12,11,10,10,10,9,10,10,10,9,9,9,9,10,12,12,13,12,18,20,16,17,15,12,11,13,12,14,
Barbados,,,,,,,,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,2,3,2,1,1,1,1,1,1,1,1,1,2,
Brunei Darussalam,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,,,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bhután,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,3,3,,,,,,8,12,15,1,10,22,21,12,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,5,11,11,11,17,23,19,16,15,9,9,9,7,7,4,3,1,1,
República Centroafricana,,,0,0,0,,0,,0,0,0,0,,0,,,0,0,0,,0,,,,,,,,,,,,,41,41,30,26,36,1,1,8,20,22,37,37,18,16,27,36,62,58,61,58,46,0,0,2,4,14,,
Canadá,,,24,24,23,23,21,21,21,18,20,17,15,16,15,14,14,13,12,12,14,12,10,9,9,8,8,9,9,9,8,8,7,6,6,7,6,6,5,4,5,5,4,4,5,6,8,9,8,7,8,9,7,7,7,7,7,7,8,7,
Europa Central y del Báltico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,4,4,4,4,4,3,3,3,3,3,4,4,3,3,4,4,4,3,3,3,2,3,3,3,
Suiza,,,2,2,3,3,3,3,3,3,3,2,3,3,4,3,3,3,3,4,5,3,3,3,3,3,3,3,4,3,3,3,2,2,3,3,2,3,3,4,6,4,4,3,3,3,4,3,4,3,4,4,3,2,2,2,1,2,2,2,2
Islas del Canal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
