Nombre de los paises,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,50,51,42,49,25,50,72,66,20,14,18,19,20,26,32,33,35,44,45,
Afganistán,,,14,9,13,13,12,8,7,9,11,13,15,12,11,10,12,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,18,20,14,17,14,15,16,7,,3,,
Angola,,,14,,,,,,,22,22,15,16,13,9,,,,9,13,13,12,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,4,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,64,68,84,82,84,84,84,82,44,27,70,33,70,62,60,55,52,31,53,66,55,46,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,89,88,87,85,83,89,91,89,84,67,66,93,79,85,90,90,90,92,92,89,92,88,92,,
El mundo árabe,,,,,,,,,,,,,,,5,6,6,,5,6,,,,,,,,,,,,13,14,17,,,,,,12,9,10,11,10,10,12,9,9,9,11,10,10,12,11,12,16,16,17,17,16,
Emiratos Árabes Unidos,,,,,,,,,,,,,,,,,,,4,6,,,,30,,,,,,,,12,18,28,,,,,,3,2,4,3,3,2,3,3,3,4,4,5,4,5,5,7,10,12,11,13,8,
Argentina,,,3,6,7,6,6,8,12,14,14,15,20,22,24,24,25,24,26,24,23,20,24,16,18,21,26,32,,,,,26,32,33,34,30,34,35,32,32,33,30,27,28,31,32,31,31,32,32,32,31,32,31,28,26,28,19,17,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,59,41,28,50,60,56,72,56,56,51,31,23,20,21,23,22,16,22,19,24,19,
Samoa Americana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua y Barbuda,,,,,,,,,,,,,,2,2,3,,51,77,,,91,,,,,,,,,,,,,,,,,,74,65,,,,,79,,59,,46,48,37,40,27,17,28,35,38,57,22,
Australia,,,,10,11,12,15,14,16,17,18,18,18,20,21,18,19,19,21,20,22,21,18,19,17,16,17,19,13,14,16,17,19,21,23,24,23,24,22,24,24,23,24,25,22,20,18,19,16,15,13,12,12,12,12,14,14,12,11,11,
Austria,,,,72,75,75,76,77,78,79,80,81,82,81,83,85,83,83,84,83,83,84,85,85,85,85,87,87,87,87,88,89,89,89,89,88,88,88,89,88,79,79,80,82,82,81,80,82,81,80,80,79,80,81,82,83,83,83,81,81,
Azerbaiyán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,14,13,9,6,4,5,5,9,11,6,6,1,3,2,2,2,2,2,3,3,3,3,,
Burundi,,,,,,6,,,,,,,,,2,3,1,,,,,,,,,,,,,,,,,3,2,2,1,0,0,0,0,1,2,3,2,3,0,21,10,15,5,9,7,8,20,20,16,9,7,8,
