Nombre de los paises,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,70,72,70,70,29,70,72,71,65,59,62,59,58,62,61,63,63,65,65,
Afganistán,,,29,41,30,29,24,28,33,40,54,37,63,66,57,47,50,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,17,19,14,7,7,8,17,25,,45,,
Angola,,,74,,,,,,,79,79,82,81,79,77,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,81,,69,66,68,74,73,63,60,55,56,59,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,67,67,64,67,68,68,69,70,71,64,65,63,68,64,61,59,61,37,59,58,51,48,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,66,65,72,74,74,74,75,75,76,,74,74,69,69,67,64,62,63,63,66,68,67,68,,
El mundo árabe,,,,,,,,,,,,,,,,70,74,,77,75,71,71,74,73,,,,,,,,,,74,,,,,,68,66,66,63,64,65,67,66,66,65,66,64,61,64,58,60,61,62,68,66,65,
Emiratos Árabes Unidos,,,,,,,,,,,,,,,,,,,82,76,74,75,81,77,,,,,,,,69,73,73,,,,,,65,84,78,62,62,58,65,62,64,67,56,52,54,66,42,45,46,48,71,71,60,
Argentina,,,80,78,68,62,65,69,70,70,73,72,75,68,64,67,65,69,73,67,77,78,74,76,74,75,74,75,,,,,86,88,88,86,87,88,89,89,87,86,83,86,86,86,87,85,83,85,84,79,80,77,76,82,84,84,79,80,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,50,51,48,54,60,54,59,57,59,58,59,55,54,51,51,54,54,58,61,65,62,
Samoa Americana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua y Barbuda,,,,,,,,,,,,,,39,23,35,,66,62,,,71,,,,,,,,,,,,,,,,,,64,59,,,,,46,46,71,,42,48,38,59,61,46,54,58,59,67,67,
Australia,,,,71,73,73,75,75,77,77,79,80,79,80,78,78,79,78,79,78,75,76,76,77,79,81,83,81,84,85,84,84,84,84,86,86,85,85,85,85,83,82,83,82,82,80,76,76,72,72,73,69,71,71,71,76,77,72,73,74,
Austria,,,,62,64,65,67,69,69,70,70,72,75,73,68,70,71,73,73,71,69,66,68,71,69,70,77,79,81,81,81,82,83,83,83,82,82,83,84,84,81,81,80,80,79,75,73,75,73,74,73,71,70,73,74,76,78,77,76,77,
Azerbaiyán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,63,75,71,71,65,65,74,74,74,74,78,79,79,76,82,80,72,72,74,75,68,68,,
Burundi,,,,,,70,,,,,,,,,60,70,64,,,,,,,,,,,,,,,,,68,60,64,67,67,61,68,60,70,71,63,72,82,71,58,83,81,82,42,50,60,61,64,63,59,61,63,
Bélgica,,,53,55,55,55,57,57,56,59,59,63,63,63,59,61,61,62,64,61,58,55,56,58,57,59,67,70,,,,,,,,,,,,79,76,77,79,78,77,75,72,73,70,73,71,68,67,66,68,72,75,72,71,73,
Benin,,,64,69,68,70,69,72,71,74,76,74,70,69,70,,,,,64,62,,68,,,,,,,,,,,,,,,,49,59,53,56,53,50,48,45,42,44,45,48,39,46,37,42,38,38,31,26,32,40,
Burkina Faso,,,67,58,58,59,55,57,62,67,65,62,61,63,57,67,70,68,60,64,64,57,55,54,,,,,,,,,,,,62,62,63,62,65,61,58,60,63,65,60,,60,58,59,61,58,60,61,55,59,65,62,60,60,
Bangladesh,,,,,,,,,,,,,,,,,,53,50,55,58,61,54,58,51,51,53,54,,57,56,64,63,66,,69,69,66,70,,68,69,57,60,66,66,60,54,64,60,64,64,64,65,,63,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,48,50,60,65,59,65,67,68,68,65,62,62,60,59,55,53,53,54,58,60,64,60,61,62,
Bahrein,,,,,,,,,,,76,58,46,47,29,42,48,46,47,80,75,81,81,82,81,79,77,79,,,,,,,51,45,67,,,,37,42,47,45,43,39,33,35,42,40,39,37,52,37,40,52,56,53,49,,
Bahamas,,,,,,,,,,,,,,,12,6,6,,,,7,4,7,9,13,20,20,26,,,,,,,,,,70,73,68,68,63,59,59,60,58,58,58,51,54,53,51,54,56,55,57,63,63,62,,
Bosnia y Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,54,65,62,64,63,62,58,56,56,58,62,64,65,64,64,65,
Belarús,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,57,48,51,50,52,52,46,48,48,49,45,47,42,46,54,51,47,51,53,54,57,
Belice,,,,,,,,,,,,,,,,63,61,61,61,58,55,,46,52,58,55,57,60,,,,,65,69,68,68,67,66,68,26,67,49,48,47,46,60,43,45,48,56,61,41,43,46,60,66,67,65,63,62,62
Bermudas,,,,,,,,,,,,68,66,62,56,61,57,62,59,55,58,60,61,61,64,61,,,,,,,,,,67,,66,,,,,,,,71,70,67,63,59,51,54,55,53,51,55,57,55,55,59,
Bolivia,,,68,68,71,77,77,75,79,80,76,75,72,,75,79,82,81,82,78,78,81,77,76,79,78,84,79,,,,,81,81,80,81,81,79,84,84,79,76,80,77,78,77,78,79,77,77,78,76,76,78,79,80,,,,,
Brasil,,,59,56,48,50,53,55,60,64,68,69,71,65,60,62,54,52,51,44,41,36,34,33,33,38,51,52,,54,56,57,58,62,68,71,70,74,76,76,74,76,74,72,71,72,70,64,70,76,74,72,73,72,72,76,77,74,74,75,
Barbados,,,,,,,,57,57,61,64,62,61,59,51,52,56,57,59,62,61,60,63,71,68,63,69,63,,,,,63,67,67,69,68,70,71,73,69,68,71,65,75,64,63,74,60,63,70,52,48,51,53,57,61,56,52,52,
Brunei Darussalam,,,54,58,67,70,71,65,74,72,75,85,77,75,79,82,80,78,74,77,79,77,79,76,72,73,76,73,,,,,85,88,82,,,82,80,,,80,85,80,80,,79,80,81,80,75,76,73,75,72,76,71,74,80,55,
Bhután,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,64,,,,66,70,,,,,,66,53,51,56,58,61,63,57,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,72,72,76,68,65,63,67,67,70,79,63,64,66,67,66,72,70,74,73,
República Centroafricana,,,76,75,79,78,77,79,78,75,80,78,,81,81,81,79,81,79,80,75,,,,,,,,,,,,,63,55,64,65,65,60,60,54,61,64,56,36,37,38,62,68,56,67,64,66,61,72,83,82,77,72,,
Canadá,,,69,67,69,71,73,75,77,79,78,79,79,78,74,74,75,76,77,76,72,73,75,79,80,82,83,83,84,82,80,81,82,82,83,83,82,83,84,85,84,83,84,82,81,79,78,77,74,76,75,72,74,74,74,77,78,77,77,77,
Europa Central y del Báltico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,70,72,72,74,78,79,76,78,78,80,79,75,75,76,73,73,72,71,70,72,74,76,79,78,77,78,
Suiza,,,66,65,67,66,67,68,70,72,72,73,75,73,70,69,69,72,75,73,71,73,74,74,75,75,81,82,84,84,84,83,84,84,85,85,85,84,84,85,82,82,83,83,83,82,79,82,79,81,80,79,54,51,62,61,59,63,66,67,60
Islas del Canal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,66,63,64,64,66,66,68,68,72,65,57,59,46,56,55,60,59,55,60,68,62,54,61,65,75,76,,,75,74,77,79,79,79,78,80,81,75,71,73,73,71,69,68,44,63,61,67,68,65,68,69,68,75,75,73,72,72,
China,,,,,,,,,,,,,,,,,,,,,,,,,69,52,51,82,,,,,80,84,84,79,79,77,81,80,75,77,79,79,75,73,71,68,62,64,61,56,55,55,57,61,65,60,58,60,
Côte d'Ivoire,,,74,75,76,74,71,76,76,78,77,75,71,72,65,68,70,71,74,70,,54,56,58,,57,,,,,,,,,,57,53,58,60,59,46,50,54,56,57,55,48,49,42,50,55,44,47,59,55,64,62,61,55,56,
Camerún,,,71,75,75,79,78,78,76,80,126,79,81,79,75,77,79,77,81,77,78,,85,,,,80,81,,,75,,,,,72,64,64,67,59,54,61,63,60,59,48,46,68,68,65,51,67,47,51,51,56,63,59,,,
"Congo, República Democrática del",,,63,,,69,,,,,75,,74,73,67,70,64,69,67,,,,,,,59,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, República del",,,71,71,72,77,78,78,80,,77,80,78,82,74,75,74,76,68,65,65,,,82,76,76,78,,,,,,,76,71,58,,,,,,,,,,,,89,85,88,87,92,92,91,92,90,94,82,79,69,
Colombia,,,79,80,80,77,77,81,82,81,83,80,82,78,76,81,77,73,70,71,69,69,71,70,71,70,77,78,,,,79,75,77,78,78,78,79,80,79,81,81,82,82,83,83,82,83,81,82,81,79,76,75,75,77,75,76,77,75,
Comoras,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,46,43,47,76,45,57,58,58,54,53,65,53,51,59,60,58,57,61,56,49,47,51,58,49,
Cabo Verde,,,,,,,,,,,,,,,,,,,27,44,40,,,,,,,,,,,,,,,,,57,58,60,60,58,61,53,60,58,60,60,58,56,58,54,56,45,54,52,58,58,55,55,
Costa Rica,,,,,,84,80,81,80,83,82,80,82,79,76,76,75,75,75,73,68,66,59,66,70,71,76,76,,,,,,,77,77,71,79,85,69,82,83,83,82,79,80,78,74,74,60,73,76,74,74,73,76,76,75,74,74,
Estados pequeos del Caribe,,,,,,,,,,,,,55,52,37,44,41,48,51,54,42,43,48,55,53,53,59,58,,,,,67,64,69,71,65,69,70,65,61,62,61,59,61,54,55,54,50,55,54,49,49,46,49,56,60,59,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,61,58,60,57,54,53,52,50,,,,,,,,,,,,,,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Islas Caimán,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,34,,,,,
Chipre,,,,,,,,,,,65,71,72,67,64,56,58,65,68,68,63,59,62,61,64,64,68,70,,74,71,69,72,69,70,69,64,62,70,69,66,69,74,76,74,68,66,67,64,65,62,57,50,50,61,65,68,66,64,63,
República Checa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,74,77,78,79,82,82,80,81,77,83,83,79,79,81,78,78,77,79,78,79,81,83,85,84,84,85,
Alemania,,,37,37,38,39,42,42,47,50,51,61,53,50,44,47,47,53,57,55,52,52,53,55,56,57,65,68,69,70,72,74,74,69,71,70,70,69,73,73,67,74,75,70,69,72,70,67,69,71,71,68,68,68,70,73,74,74,73,74,74
Djibouti,,,69,,,,,,,,,,,,,,,,,,47,49,,55,53,47,48,51,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,54,58,58,59,58,,60,,61,63,65,,,,,,64,63,66,63,64,,68,67,65,64,64,65,65,61,59,60,60,57,,50,,,,,,,,
Dinamarca,,,62,61,63,64,65,67,67,70,70,69,70,70,63,65,66,63,65,61,57,56,58,60,63,65,73,72,72,72,73,73,73,70,71,73,71,75,77,77,76,76,77,77,77,76,76,77,74,75,73,71,70,69,71,73,75,75,74,74,76
República Dominicana,,,,,,,,,,,,,73,64,61,60,72,58,57,52,54,47,47,46,43,50,,,,,,,,,,,,,,,,62,79,77,79,81,79,80,79,62,60,57,58,56,60,66,69,66,64,,
Argelia,,,,,,,69,,73,78,79,75,,77,73,73,77,77,79,76,72,73,74,71,73,67,70,64,,,,,65,66,62,65,63,62,65,67,67,69,70,73,74,76,76,75,74,80,78,72,67,70,72,73,75,73,,,
Asia oriental y el Pacífico (excluido altos ingresos),,,,,,,,,,,,,,,,,,,,,,,,,68,56,56,78,,,,,79,82,82,78,79,77,80,79,75,76,78,77,74,72,70,68,63,66,63,59,58,58,60,64,67,63,62,63,
inicial del dividendo demográfico,,,,70,71,70,68,70,71,71,70,72,72,69,63,69,67,67,67,66,60,61,67,62,62,64,71,66,,,,65,68,70,69,69,69,70,71,69,66,67,68,68,68,67,63,64,64,67,65,62,62,62,62,67,68,66,64,65,
Asia oriental y el Pacífico,,,,,,,,,,,,,,,,,,,,,,,,,60,54,58,70,,,,,72,74,75,75,74,73,75,75,73,74,75,74,73,69,66,67,62,65,64,59,59,58,60,66,69,66,64,66,
Europa y Asia central (excluido altos ingresos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,57,64,57,58,62,64,65,67,68,68,69,67,66,67,65,68,69,69,70,74,72,71,71,
Europa y Asia central,,,52,48,48,49,51,51,53,55,56,59,58,57,51,53,54,56,59,57,54,53,55,56,56,58,66,69,72,71,72,73,73,72,73,73,72,73,76,75,71,73,73,73,73,71,70,70,68,68,68,67,65,66,68,71,73,72,71,72,
Ecuador,,,80,72,80,76,79,74,82,80,83,80,79,82,70,86,87,88,88,,87,77,88,83,80,73,84,87,,,84,86,87,89,87,82,81,78,75,75,76,80,83,78,78,77,69,67,70,70,68,66,67,67,65,69,70,70,67,64,
"Egipto, República Árabe de",,,,,,54,55,42,49,55,56,52,53,57,45,50,59,65,65,66,59,57,60,63,62,61,61,63,,,,,,,62,61,60,62,59,59,55,55,51,48,48,46,43,42,59,65,60,52,51,55,56,59,59,55,56,58,
Zona del Euro,,,54,48,48,49,50,51,53,55,56,59,58,56,50,52,52,54,56,55,52,51,52,53,54,56,65,68,70,70,71,72,73,70,71,72,72,72,76,76,71,73,73,72,71,70,69,69,67,68,67,66,64,65,67,71,73,72,70,72,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,68,65,52,,,,,,,,,,,,,,,,,
España,,,46,51,54,55,54,54,51,53,54,50,53,54,45,45,45,43,43,43,38,36,39,38,40,43,59,64,69,69,70,71,72,70,70,71,72,72,76,77,73,73,73,74,74,71,70,70,66,68,,,58,,63,69,72,69,66,67,69
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,71,71,73,74,76,78,76,78,74,71,64,66,66,60,64,64,63,65,63,64,68,69,66,,67
Etiopía,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,85,67,77,71,65,74,72,71,72,68,77,61,72,69,66,68,71,68,77,75,76,74,,
Unión Europea,,,54,49,48,49,51,51,53,55,56,58,57,56,50,52,53,55,57,56,53,52,52,54,54,56,65,68,70,70,71,72,72,71,71,72,72,73,76,77,72,74,74,73,73,71,70,70,67,69,68,67,65,66,68,71,73,72,71,73,
Frágiles y situaciones de conflicto afectados,,,,,,,,,,,,,77,75,72,76,78,,,,,,,,,,,,,,,,,,,,,,,,59,59,64,68,,,,64,62,71,70,,,,,,,,,,
Finlandia,,,,65,66,68,66,66,65,69,69,70,70,70,62,65,63,60,61,58,56,56,57,59,61,62,71,73,77,77,77,74,72,72,73,74,73,74,77,75,73,73,73,71,70,70,66,66,64,64,61,58,58,57,57,62,63,63,61,62,65
Fiji,,,,,,,,61,63,62,61,62,62,62,58,58,58,54,55,58,56,53,51,54,55,55,61,58,,68,69,66,67,65,70,,,,,,74,69,65,64,65,55,51,48,48,52,48,48,47,59,56,57,64,61,61,64,
Francia,,,41,43,45,47,49,52,55,58,58,60,61,61,54,54,56,55,58,57,54,53,56,57,57,59,69,72,73,73,74,74,75,75,75,76,76,76,79,80,77,78,78,77,77,75,73,74,70,74,73,71,70,70,72,76,78,77,75,77,
Islas Feroe,,,,,,,,,,,,,,,,,65,63,67,64,60,58,57,66,69,66,72,79,74,64,54,48,55,53,56,,58,59,61,66,65,62,64,71,61,66,62,66,59,62,,,,,,,,,,,
Micronesia (Estados Federados de),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,45,40,43,47,40,41,37,37,36,36,,,,,,,
Gabón,,,71,74,75,77,77,76,79,82,82,83,,,,84,86,85,77,77,78,80,81,78,,,,,,,,,,77,78,,76,78,80,77,76,74,80,81,70,75,78,75,75,74,,,,,,,,,,,
Reino Unido,,,27,28,31,33,34,38,41,42,44,46,51,52,47,49,51,55,61,62,61,61,63,66,65,67,71,73,76,77,76,75,74,77,79,80,80,81,82,83,76,74,77,76,76,74,72,71,65,58,66,64,60,66,70,74,70,71,70,66,63
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,38,55,53,55,57,56,62,59,60,61,60,64,56,60,62,64,62,64,63,66,64,63,65,
Ghana,,,70,74,73,79,74,72,71,73,68,71,62,60,60,64,64,58,66,65,59,53,47,65,49,,,,,,,,67,,,,75,63,66,66,58,53,64,62,74,69,70,70,69,75,81,75,80,77,71,72,81,77,75,75,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,49,64,63,59,49,56,53,,54,29,49,56,53,,,,,47,42,59,58,,,,
Gambia,,,,,63,,,,,,61,66,69,68,60,62,62,63,57,59,61,,,,,,,,,,,,,,,46,49,47,46,55,51,46,48,49,42,43,49,49,54,54,51,43,38,37,36,34,38,33,49,50,55
Guinea-Bissau,,,,,,,,,,,61,55,60,,,46,59,,,,,,,,,,,,,,,,,,,,,,,,,,,36,49,31,,,,,,,,,,,,,,,
Guinea Ecuatorial,,,,,,,,,,,,,,,,,,,,90,57,63,66,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grecia,,,70,66,67,65,67,66,70,69,73,71,69,64,55,59,63,68,65,62,60,59,52,52,53,51,59,61,68,70,70,71,71,71,69,71,72,72,75,77,70,68,68,71,72,66,65,68,63,67,59,51,46,45,49,54,58,56,51,53,59
Granada,,,,,,,,,,,,,,,,,,55,53,55,50,,,,54,59,63,62,,,,,,59,62,62,61,65,72,68,70,69,66,72,67,70,71,62,57,59,,,,,,,,,,,
Groenlandia,,,,,,,,,,,,,,,,,56,49,58,56,58,58,56,55,57,60,66,69,67,63,56,54,58,57,55,59,58,56,57,59,52,54,69,65,62,62,59,58,55,60,57,56,51,57,58,57,66,61,60,,
Guatemala,,,,,,80,81,80,83,85,83,81,80,80,74,74,78,77,78,79,65,53,69,71,57,52,68,73,,,,,,74,73,73,68,73,77,75,69,68,72,71,71,71,68,68,65,64,66,64,64,65,64,69,69,67,66,65,68
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
