"Marca temporal","Edad","Género","¿A qué Universidad perteneces?","Ciclo relativo","¿Cúantas horas duermes al día (aproximadamente)?","¿Cuántas horas te dedicas a realizar actividades físicas a la semana (aproximadamente)?","¿Meditas?","¿Cuántas comidas consumes al día?","¿Con qué frecuencia consumes comida chatarra?","Horas de ocio en dispositivos electrónicos diarias (videojuegos, redes sociales, plataformas de streaming, etc)","¿Con qué frecuencia pasas tiempo al aire libre (amigos, familia, solo)?","¿Cuántos de los siguientes síntomas ha presentado recientemente? [Dolores de cabeza]","¿Cuántos de los siguientes síntomas ha presentado recientemente? [Tensión muscular en cuello y espalda]","¿Cuántos de los siguientes síntomas ha presentado recientemente? [Fatiga]","¿Cuántos de los siguientes síntomas ha presentado recientemente? [Ansiedad, preocupación, fobias]","¿Cuántos de los siguientes síntomas ha presentado recientemente? [Dificultad para conciliar el sueño]","¿Cuántos de los siguientes síntomas ha presentado recientemente? [Irritabilidad]","¿Cuántos de los siguientes síntomas ha presentado recientemente? [Arranques de enojo/hostilidad]","¿Cuántos de los siguientes síntomas ha presentado recientemente? [Aburrimiento, depresión]","¿Cuántos de los siguientes síntomas ha presentado recientemente? [Comer demasiado o demasiado poco]","¿Cuántos de los siguientes síntomas ha presentado recientemente? [Diarrea, calambres, gases, constipación]","¿Cuántos de los siguientes síntomas ha presentado recientemente? [Inquietud, picazón, tics]","Del 1 al 5, ¿qué tan motivado te encuentras actualmente respecto a tus proyectos personales?","Del 1 al 5, ¿qué tan estresado te sientes últimamente? "
"2021/09/28 11:54:52 p. m. GMT-5","19","Masculino","UTEC","6","9","1","0","2","3","2","2","2-3 veces por semana","2-3 veces por semana","Cada noche o día","Cada noche o día","Cada noche o día","Una vez a la semana;Una vez al mes","Cada noche o día","Cada noche o día","2-3 veces por semana","Cada noche o día","Cada noche o día","4","3"
"2021/09/28 11:56:05 p. m. GMT-5","19","Femenino","UTEC","6","6","2","1","5","1","2","4","Una vez al mes","Nunca","Una vez al mes","Nunca","Una vez al mes","Una vez al mes","Una vez al mes","Nunca","Una vez al mes","Nunca","Nunca","4","2"
"2021/09/28 11:57:14 p. m. GMT-5","17","Femenino","UTEC","1","4","1","0","2","3","3","1","Casi todo el día, todos los días","Uno o dos veces al día","Uno o dos veces al día","Casi todo el día, todos los días","Casi todo el día, todos los días","Casi todo el día, todos los días","Casi todo el día, todos los días","Casi todo el día, todos los días","Cada noche o día","Nunca","Casi todo el día, todos los días","2","5"
"2021/09/28 11:58:16 p. m. GMT-5","20","Masculino","UTEC","4","7","7","0","3","4","4","2","2-3 veces por semana","2-3 veces por semana","Casi todo el día, todos los días","2-3 veces por semana","Casi todo el día, todos los días","2-3 veces por semana","Casi todo el día, todos los días","Casi todo el día, todos los días","2-3 veces por semana","Nunca","Una vez a la semana","1","5"
"2021/09/28 11:58:24 p. m. GMT-5","20","Masculino","UTEC","5","6.5","2 ","2","3","2","1.5","1","2-3 veces por semana","Uno o dos veces al día","Una vez a la semana","Uno o dos veces al día","Una vez a la semana","2-3 veces por semana","2-3 veces por semana","Una vez a la semana","Una vez a la semana","Una vez a la semana","2-3 veces por semana","4","4"
"2021/09/28 11:58:59 p. m. GMT-5","22","Femenino","Universidad de Ingeniería y Tecnología","9","5","5","0","5","2","3","2","Una vez a la semana","2-3 veces por semana","Una vez a la semana","2-3 veces por semana","Una vez al mes","Una vez al mes","Una vez al mes","Una vez a la semana","Una vez al mes","2-3 veces por semana","Una vez a la semana","4","5"
"2021/09/29 12:02:22 a. m. GMT-5","19","Masculino","UPC","3","8","0","0","2","2","3","2","Casi todo el día, todos los días","2-3 veces por semana","Casi todo el día, todos los días","Uno o dos veces al día","2-3 veces por semana","2-3 veces por semana","Una vez a la semana","Casi todo el día, todos los días","Cada noche o día","Casi todo el día, todos los días","Cada noche o día","3","4"
"2021/09/29 12:02:23 a. m. GMT-5","20","Masculino","Universidad de Lima","7","7","10","0","5","4","6","5","Uno o dos veces al día","Uno o dos veces al día","2-3 veces por semana","Una vez a la semana","Una vez a la semana","Una vez al mes","Una vez al mes","Una vez a la semana","Una vez a la semana","Nunca","Una vez al mes","3","3"
"2021/09/29 12:02:45 a. m. GMT-5","20","Masculino","Universidad Antonio Ruiz de Montoya","3","7","8","0","2","3","1","3","Una vez al mes","Una vez a la semana","Una vez al mes","Nunca","Una vez a la semana","Una vez a la semana","Una vez al mes","Una vez al mes","Nunca","Una vez a la semana","Una vez a la semana","4","2"
"2021/09/29 12:03:45 a. m. GMT-5","18","Masculino","Utec","4","4","6","0","3","4","8","3","Una vez al mes","Una vez al mes","2-3 veces por semana","Una vez al mes","Cada noche o día","","Cada noche o día","2-3 veces por semana","Cada noche o día","2-3 veces por semana","Una vez al mes","2","4"
"2021/09/29 12:04:38 a. m. GMT-5","20","Masculino","Universidad de Lima","7","7","4","0","5","3","5","2","Uno o dos veces al día","Cada noche o día","Uno o dos veces al día","Uno o dos veces al día","2-3 veces por semana","2-3 veces por semana","2-3 veces por semana","Uno o dos veces al día","2-3 veces por semana","Una vez a la semana","Cada noche o día;2-3 veces por semana","2","4"
"2021/09/29 12:05:10 a. m. GMT-5","21","Masculino","Universidad de lima","7","6","2","0","3","2","4","3","","","Cada noche o día","","Cada noche o día","","","","","","","4","3"
"2021/09/29 12:06:15 a. m. GMT-5","19","Masculino","UTEC","5","7","6","2","3","2","2","2","Cada noche o día","Una vez al mes","Una vez a la semana","Una vez a la semana","2-3 veces por semana","Una vez a la semana","Una vez a la semana","Una vez a la semana","Una vez a la semana","Una vez a la semana","Una vez a la semana","3","3"
"2021/09/29 12:10:38 a. m. GMT-5","17","Femenino","UPC","2","4","7","2","3","3","2","3","Casi todo el día, todos los días","Casi todo el día, todos los días","Casi todo el día, todos los días","Casi todo el día, todos los días","Casi todo el día, todos los días","Uno o dos veces al día","Casi todo el día, todos los días","Casi todo el día, todos los días","Casi todo el día, todos los días","Cada noche o día","Cada noche o día","3","5"
"2021/09/29 12:12:24 a. m. GMT-5","21","Masculino","UPC","6","6","18","0","3","2","2","2","Nunca","Una vez a la semana","Una vez a la semana","Una vez al mes","Una vez al mes","Una vez al mes","Una vez al mes","Una vez a la semana","Nunca","Nunca","Nunca","3","4"
"2021/09/29 12:13:03 a. m. GMT-5","19","Retroexcavadora Catterpilar 416 con 86HP y peso de 24251 libras","Universidad Cuto Guadalupe La Fé","1","16","0","0","5  a más","3","24","1","Una vez al mes","Una vez a la semana","Una vez al mes","Casi todo el día, todos los días","Nunca","","Una vez al mes","Casi todo el día, todos los días","Cada noche o día","","Cada noche o día","1","5"
"2021/09/29 12:14:06 a. m. GMT-5","22","Masculino","UTEC ","4","7","4","1","2","3","2","4","2-3 veces por semana","Uno o dos veces al día","Cada noche o día","Uno o dos veces al día","Una vez a la semana","2-3 veces por semana","Una vez al mes","Una vez al mes","2-3 veces por semana","Una vez al mes","2-3 veces por semana","4","4"
"2021/09/29 12:17:39 a. m. GMT-5","19","Masculino","UTP","6","7","4","0","3","2","5","3","Una vez al mes","Nunca","Nunca","Una vez a la semana","Una vez a la semana","Nunca","Nunca","2-3 veces por semana;Una vez al mes","Nunca","Una vez a la semana","Nunca","1","2"
"2021/09/29 12:22:11 a. m. GMT-5","20","Masculino","Utec","4","5","4","0","3","4","4","2","Cada noche o día","Uno o dos veces al día","Uno o dos veces al día","Uno o dos veces al día","Uno o dos veces al día","","","","","","","4","5"
"2021/09/29 12:36:16 a. m. GMT-5","19","Femenino","UTEC","4","4","1","0","3","2","3","1","Casi todo el día, todos los días","Uno o dos veces al día","Uno o dos veces al día","Casi todo el día, todos los días","Casi todo el día, todos los días","Cada noche o día","Uno o dos veces al día","Casi todo el día, todos los días","2-3 veces por semana","Una vez al mes","Uno o dos veces al día","2","5"
"2021/09/29 12:53:21 a. m. GMT-5","18","Femenino","UTEC","4","8","1","0","3","3","2","2","Una vez al mes","2-3 veces por semana","Casi todo el día, todos los días","Casi todo el día, todos los días","Cada noche o día","Uno o dos veces al día","Uno o dos veces al día","Casi todo el día, todos los días","Casi todo el día, todos los días","Una vez al mes","Una vez al mes","1","5"
"2021/09/29 1:06:44 a. m. GMT-5","18","Femenino","UPC","2","5","6","0","2","3","10","3","","","","Uno o dos veces al día","Cada noche o día","Uno o dos veces al día","Uno o dos veces al día","Uno o dos veces al día","Cada noche o día","","2-3 veces por semana","3","5"
"2021/09/29 6:56:04 a. m. GMT-5","17","Femenino","UPC","2","8","7","2","5","2","3","4","Nunca","Una vez a la semana","Nunca","Cada noche o día","Nunca","Nunca","Nunca","Nunca","Uno o dos veces al día;Cada noche o día","Nunca","Nunca","5","3"
"2021/09/29 7:03:02 a. m. GMT-5","22","Femenino","UCSUR","10 a más","8","3","1","3","3","4","2","Una vez al mes","Una vez a la semana","","2-3 veces por semana;Una vez a la semana","Nunca","Una vez al mes","Una vez al mes","Una vez a la semana","Una vez a la semana","Nunca","Nunca","4","2"
"2021/09/29 7:56:41 a. m. GMT-5","20","Femenino","UTEC","5","6","0","0","2","3","5","2","Uno o dos veces al día","2-3 veces por semana","2-3 veces por semana","Cada noche o día","Cada noche o día","Una vez a la semana","Una vez a la semana","Cada noche o día","Cada noche o día","Uno o dos veces al día","Uno o dos veces al día","3","4"
"2021/09/29 7:58:41 a. m. GMT-5","21","Masculino","Escuela Da Vinci","2","7","3","0","5","2","2","3","","","","","Una vez a la semana","","","","","","","4","3"
"2021/09/29 8:39:59 a. m. GMT-5","20","Femenino","UTEC","5","6","2","0","3","2","2.5","3","Casi todo el día, todos los días","Cada noche o día","Cada noche o día","2-3 veces por semana","Una vez a la semana","2-3 veces por semana","2-3 veces por semana","2-3 veces por semana","Una vez al mes","Una vez al mes","Una vez al mes","4","4"
"2021/09/29 9:26:22 a. m. GMT-5","18","Masculino","Universidad de piura","3","5","0","0","3","2","2","1","Casi todo el día, todos los días","Nunca","Casi todo el día, todos los días","Casi todo el día, todos los días","Casi todo el día, todos los días","Casi todo el día, todos los días","Casi todo el día, todos los días","Casi todo el día, todos los días","Nunca","Nunca","Casi todo el día, todos los días","2","5"
"2021/09/29 9:26:32 a. m. GMT-5","20","Femenino","utec","6","8","1","0","2","4","4","1","Uno o dos veces al día","Casi todo el día, todos los días","Uno o dos veces al día","Casi todo el día, todos los días","Uno o dos veces al día","Uno o dos veces al día","2-3 veces por semana","Cada noche o día","Casi todo el día, todos los días","Uno o dos veces al día","Una vez al mes","3","4"
"2021/09/29 9:35:57 a. m. GMT-5","19","Masculino","Universidad de Piura","3","7","0","0","2","2","3","4","Una vez al mes","Una vez al mes","Cada noche o día;Una vez a la semana;Nunca","Una vez a la semana","Una vez al mes","Nunca","Nunca","2-3 veces por semana","Cada noche o día","Una vez al mes","Una vez al mes","3","4"
"2021/09/29 9:39:00 a. m. GMT-5","18","Femenino","UDEP","3","6","2","1","3","2","2","2","2-3 veces por semana","2-3 veces por semana","2-3 veces por semana","Una vez a la semana","Una vez a la semana","Una vez a la semana","Nunca","Una vez al mes","Una vez al mes","Nunca","Una vez al mes","4","2"
"2021/09/29 9:40:03 a. m. GMT-5","18","Femenino","Universidad de Piura","3","8","0","1","3","2","0","1","Una vez al mes","2-3 veces por semana","2-3 veces por semana","Una vez a la semana","Una vez al mes","Una vez al mes","Una vez a la semana;Una vez al mes","Una vez a la semana","2-3 veces por semana","Una vez a la semana","Una vez al mes","2","2"
"2021/09/29 9:42:37 a. m. GMT-5","19","Femenino","Universidad Peruana de Ciencias Aplicadas ","4","7 ","6 ","1","5","1","4","2","Uno o dos veces al día;Una vez a la semana","2-3 veces por semana","Casi todo el día, todos los días","Casi todo el día, todos los días","Casi todo el día, todos los días","Casi todo el día, todos los días","Casi todo el día, todos los días","Casi todo el día, todos los días","Una vez al mes","Nunca","Casi todo el día, todos los días","2","5"
"2021/09/29 9:45:21 a. m. GMT-5","17","Masculino","Udep","3","8","3","4","3","3","4","4","2-3 veces por semana","2-3 veces por semana","2-3 veces por semana","Cada noche o día","Cada noche o día","Una vez a la semana","Una vez a la semana","Una vez a la semana","Una vez al mes","2-3 veces por semana","2-3 veces por semana;Una vez a la semana","4","4"
"2021/09/29 9:46:57 a. m. GMT-5","19","Masculino","UTEC","6","6","2","5  a más","3","1","3","2","Una vez al mes","Una vez al mes","Nunca","Una vez a la semana","Nunca","Nunca","Nunca","Una vez al mes","Nunca","Nunca","Una vez al mes;Nunca","2","2"
"2021/09/29 9:50:13 a. m. GMT-5","23","Masculino","UNIVERSIDAD DE PIURA","3","5","0","0","3","2","1","2","Casi todo el día, todos los días","2-3 veces por semana","Una vez a la semana","2-3 veces por semana","Casi todo el día, todos los días","2-3 veces por semana","Nunca","2-3 veces por semana","Una vez a la semana","Una vez al mes","Una vez a la semana","3","5"
"2021/09/29 9:51:08 a. m. GMT-5","18","Femenino","Cayetano Heredia","2","7","7 ","0","5","3","5","2","","Uno o dos veces al día","Uno o dos veces al día","Uno o dos veces al día","Cada noche o día","","","","Casi todo el día, todos los días","","","1","4"
"2021/09/29 9:51:36 a. m. GMT-5","19","Femenino","Udep","3","6","0","0","3","4","1 ","1","Uno o dos veces al día","Uno o dos veces al día","Una vez al mes","Casi todo el día, todos los días","Uno o dos veces al día","Uno o dos veces al día","Uno o dos veces al día","Uno o dos veces al día","Uno o dos veces al día","2-3 veces por semana","Casi todo el día, todos los días","3","5"
"2021/09/29 9:57:04 a. m. GMT-5","19","Masculino","UPC","4","8","2","0","3","3","5","3","Una vez a la semana","Una vez a la semana","Una vez a la semana","Nunca","Nunca","Nunca","Nunca","2-3 veces por semana","Nunca","Nunca","Nunca","3","2"
"2021/09/29 9:58:03 a. m. GMT-5","18","Masculino","Universidad nacional de ingeniería","4","8","0","0","3","4","16","2","Una vez a la semana","Uno o dos veces al día","Casi todo el día, todos los días","Casi todo el día, todos los días","Cada noche o día","2-3 veces por semana","Una vez a la semana","Casi todo el día, todos los días","2-3 veces por semana","Una vez a la semana","Casi todo el día, todos los días","2","5"
"2021/09/29 10:05:02 a. m. GMT-5","18","Femenino","Utec","4","5","2","0","3","2","3","3","2-3 veces por semana","Cada noche o día","Una vez a la semana","2-3 veces por semana","Una vez al mes","Una vez a la semana","Nunca","Una vez a la semana","Una vez al mes","Nunca","Nunca","3","4"
"2021/09/29 10:12:42 a. m. GMT-5","18","Masculino","ULima","4","7","6","2","3","3","3","3","Una vez al mes","Uno o dos veces al día","Casi todo el día, todos los días","Nunca","Nunca","Uno o dos veces al día","Uno o dos veces al día","Nunca","Nunca","Nunca","Cada noche o día","3","4"
"2021/09/29 10:17:25 a. m. GMT-5","22","Masculino","Universidad Nacional de Ingeniería","4","6","2","1","3","2","2","3","Una vez a la semana","Una vez al mes","Una vez a la semana","Una vez al mes","Una vez al mes","Una vez al mes","Nunca","Nunca","Una vez al mes","Una vez al mes","Una vez al mes","4","3"
"2021/09/29 10:19:48 a. m. GMT-5","18","Femenino","Universidad Nacional de Ingeniería","4","7","0","1","3","2","4","1","Uno o dos veces al día;Cada noche o día","2-3 veces por semana","Casi todo el día, todos los días","Cada noche o día","Cada noche o día","Uno o dos veces al día","Una vez a la semana","Uno o dos veces al día","2-3 veces por semana","Una vez a la semana","2-3 veces por semana","3","4"
"2021/09/29 10:38:44 a. m. GMT-5","20","Femenino","Universidad Nacional de Ingenieria","4","07","1","0","3","3","4","3","2-3 veces por semana","Uno o dos veces al día","Uno o dos veces al día","Uno o dos veces al día","2-3 veces por semana","Casi todo el día, todos los días","Casi todo el día, todos los días","Uno o dos veces al día","Una vez a la semana","Una vez a la semana","Una vez a la semana","2","4"
