pedido;orden;codcli;cliente;cantidad;prevta;cestimado;inicio;Testimado;entrega;canti;codart;articulo;modelo;nmodelo;Tproduccion;cuello;abcerr;color;ncolor;talla;medida;nmedida;tipolana;titulo;ntitulo;cbarras;ecbarras;fechatr;fecha;ccactual;nccactual;paso;vez;tipo;fecha1;tiempo1;ccosto1;nccosto1;paso1;vez1;tipo1;fecha2;tiempo2;ccosto2;nccosto2;paso2;vez2;tipo2;fecha3;ccosto3;nccosto3;paso3;vez3;tipo3;fecha4;ccosto4;nccosto4;paso4;vez4;tipo4;fecha5;ccosto5;nccosto5;paso5;vez5;tipo5;fecha6;ccosto6;nccosto6;paso6;vez6;tipo6;fecha7;ccosto7;nccosto7;paso7;vez7;tipo7;fecha8;ccosto8;nccosto8;paso8;vez8;tipo8;fecha9;ccosto9;nccosto9;paso9;vez9;tipo9;fecha10;ccosto10;nccosto10;paso10;vez10;tipo10;fecha11;ccosto11;nccosto11;paso11;vez11;tipo11;fecha12;ccosto12;nccosto12;paso12;vez12;tipo12;fecha13;ccosto13;nccosto13;paso13;vez13;tipo13;fecha14;ccosto14;nccosto14;paso14;vez14;tipo14;fecha15;ccosto15;nccosto15;paso15;vez15;tipo15;fecha16;ccosto16;nccosto16;paso16;vez16;tipo16;fecha17;ccosto17;nccosto17;paso17;vez17;tipo17;fecha18;ccosto18;nccosto18;paso18;vez18;tipo18;fecha19;ccosto19;nccosto19;paso19;vez19;tipo19;fecha20;ccosto20;nccosto20;paso20;vez20;tipo20;fecha21;ccosto21;nccosto21;paso21;vez21;tipo21;fecha22;ccosto22;nccosto22;paso22;vez22;tipo22;fecha23;ccosto23;nccosto23;paso23;vez23;tipo23;fecha24;ccosto24;nccosto24;paso24;vez24;tipo24;fecha25;ccosto25;nccosto25;paso25;vez25;tipo25;silista;registro;taller;ntaller;cantelas;exporta;prenda;nprenda;ccalidad;codigo;codemp;proc;rgocc;costo_pr;costo_prme;tpcam;stat_eli;user_eli;stat_lnprd;stat_sold;tpdoc_sold;nudoc_sold;fec_sold;nudoc_grp
3684;3684-02;120222;THE PERUVIAN CONNECTION/USA BRANCH;130;0;0;12-Nov-19;38;20-Dic-19;1;40;CHOMPA;J24;FLORAL DUSTER CARDIGAN_TM-SS20-MON-9;64;;;MULT;;XS;;;40/2;PK;PIMA COMBED;40-J24-MULT-1;11-222-3333-4;  -   -;15-Ene-20;600;DISTRIBUCION Y EMBALAJE;501332;1;N;14-Nov-19;12;100;INICIO DE PRODUCCION;495797;1;N;26-Nov-19;0;110;TEJIDO;496725;1;N;26-Nov-19;112;TEJIDO IND. TERMINADO;496726;1;N;26-Nov-19;670;CENTRO DE DISTRIB. (PLANCHA);496827;1;N;29-Nov-19;680;PLANCHA;497383;1;D;29-Nov-19;115;CORTE;497385;1;D;03-Dec-19;118;C.DISTRIB.(ARMA.PRETI.REMALLE);497586;1;N;03-Dec-19;125;ARMADO;497589;1;D;06-Dec-19;126;PRETINADO;498083;1;D;06-Dec-19;127;BOLSILLOS Y OTROS;498206;1;D;06-Dec-19;610;TRABAJOS VARIOS;498234;1;S;17-Dec-19;611;CONTROL CALIDAD (PRIM.VEZ);499340;1;N;17-Dec-19;140;ACABADOS;499341;1;S;18-Dec-19;690;CENTRO DE DISTRIB. (ACABADOS);499435;1;N;07-Jan-20;140;ACABADOS;500621;2;N;07-Jan-20;670;CENTRO DE DISTRIB. (PLANCHA);500622;2;N;14-Jan-20;680;PLANCHA;501164;2;D;14-Jan-20;550;CONTROL DE CALIDAD;501165;1;N;15-Jan-20;600;DISTRIBUCION Y EMBALAJE;501332;1;N;  -   -;;;0;0;;  -   -;;;0;0;;  -   -;;;0;0;;  -   -;;;0;0;;  -   -;;;0;0;;  -   -;;;0;0;;;0;1;Industrial;0;E;40J24;FLORAL DUSTER CARDIGAN_TM-SS20;0;036840200001;SYSTEM;;FALSO;199.4047;59.9173;3.328;;;;;;;  -   -;
3684;3684-02;120222;THE PERUVIAN CONNECTION/USA BRANCH;130;0;0;12-Nov-19;38;20-Dic-19;1;40;CHOMPA;J24;FLORAL DUSTER CARDIGAN_TM-SS20-MON-9;65;;;MULT;;XS;;;40/2;PK;PIMA COMBED;40-J24-MULT-1;11-222-3333-4;  -   -;16-Ene-20;600;DISTRIBUCION Y EMBALAJE;501516;1;N;14-Nov-19;12;100;INICIO DE PRODUCCION;495797;1;N;26-Nov-19;0;110;TEJIDO;496725;1;N;26-Nov-19;112;TEJIDO IND. TERMINADO;496726;1;N;26-Nov-19;670;CENTRO DE DISTRIB. (PLANCHA);496827;1;N;03-Dec-19;680;PLANCHA;497662;1;D;03-Dec-19;115;CORTE;497663;1;D;09-Dec-19;118;C.DISTRIB.(ARMA.PRETI.REMALLE);498297;1;N;09-Dec-19;125;ARMADO;498298;1;D;11-Dec-19;126;PRETINADO;498661;1;D;12-Dec-19;127;BOLSILLOS Y OTROS;498947;1;D;12-Dec-19;610;TRABAJOS VARIOS;498949;1;S;20-Dec-19;611;CONTROL CALIDAD (PRIM.VEZ);499665;1;N;20-Dec-19;140;ACABADOS;499666;1;S;23-Dec-19;690;CENTRO DE DISTRIB. (ACABADOS);499893;1;N;15-Jan-20;140;ACABADOS;501438;2;N;15-Jan-20;670;CENTRO DE DISTRIB. (PLANCHA);501439;2;N;15-Jan-20;680;PLANCHA;501440;2;D;15-Jan-20;550;CONTROL DE CALIDAD;501441;1;N;16-Jan-20;600;DISTRIBUCION Y EMBALAJE;501516;1;N;  -   -;;;0;0;;  -   -;;;0;0;;  -   -;;;0;0;;  -   -;;;0;0;;  -   -;;;0;0;;  -   -;;;0;0;;;0;1;Industrial;0;E;40J24;FLORAL DUSTER CARDIGAN_TM-SS20;0;036840200002;JJPEREZ;;FALSO;199.0085;59.9062;3.322;;;;;;;  -   -;
3684;3684-02;120222;THE PERUVIAN CONNECTION/USA BRANCH;130;0;0;12-Nov-19;38;20-Dic-19;1;40;CHOMPA;J24;FLORAL DUSTER CARDIGAN_TM-SS20-MON-9;64;;;MULT;;XS;;;40/2;PK;PIMA COMBED;40-J24-MULT-1;11-222-3333-4;  -   -;15-Ene-20;600;DISTRIBUCION Y EMBALAJE;501332;1;N;14-Nov-19;12;100;INICIO DE PRODUCCION;495797;1;N;26-Nov-19;0;110;TEJIDO;496725;1;N;26-Nov-19;112;TEJIDO IND. TERMINADO;496726;1;N;26-Nov-19;670;CENTRO DE DISTRIB. (PLANCHA);496827;1;N;29-Nov-19;680;PLANCHA;497383;1;D;29-Nov-19;115;CORTE;497385;1;D;03-Dec-19;118;C.DISTRIB.(ARMA.PRETI.REMALLE);497586;1;N;03-Dec-19;125;ARMADO;497589;1;D;06-Dec-19;126;PRETINADO;498083;1;D;06-Dec-19;127;BOLSILLOS Y OTROS;498206;1;D;06-Dec-19;610;TRABAJOS VARIOS;498234;1;S;17-Dec-19;611;CONTROL CALIDAD (PRIM.VEZ);499340;1;N;17-Dec-19;140;ACABADOS;499341;1;S;18-Dec-19;690;CENTRO DE DISTRIB. (ACABADOS);499435;1;N;07-Jan-20;140;ACABADOS;500621;2;N;07-Jan-20;670;CENTRO DE DISTRIB. (PLANCHA);500622;2;N;14-Jan-20;680;PLANCHA;501164;2;D;14-Jan-20;550;CONTROL DE CALIDAD;501165;1;N;15-Jan-20;600;DISTRIBUCION Y EMBALAJE;501332;1;N;  -   -;;;0;0;;  -   -;;;0;0;;  -   -;;;0;0;;  -   -;;;0;0;;  -   -;;;0;0;;  -   -;;;0;0;;;0;1;Industrial;0;E;40J24;FLORAL DUSTER CARDIGAN_TM-SS20;0;036840200003;JJPEREZ;;FALSO;199.4047;59.9173;3.328;;;;;;;  -   -;
3684;3684-02;120222;THE PERUVIAN CONNECTION/USA BRANCH;130;0;0;12-Nov-19;38;20-Dic-19;1;40;CHOMPA;J24;FLORAL DUSTER CARDIGAN_TM-SS20-MON-9;64;;;MULT;;XS;;;40/2;PK;PIMA COMBED;40-J24-MULT-1;11-222-3333-4;  -   -;15-Ene-20;600;DISTRIBUCION Y EMBALAJE;501332;1;N;14-Nov-19;12;100;INICIO DE PRODUCCION;495797;1;N;26-Nov-19;0;110;TEJIDO;496725;1;N;26-Nov-19;112;TEJIDO IND. TERMINADO;496726;1;N;26-Nov-19;670;CENTRO DE DISTRIB. (PLANCHA);496827;1;N;29-Nov-19;680;PLANCHA;497383;1;D;29-Nov-19;115;CORTE;497385;1;D;03-Dec-19;118;C.DISTRIB.(ARMA.PRETI.REMALLE);497586;1;N;03-Dec-19;125;ARMADO;497589;1;D;17-Dec-19;126;PRETINADO;499371;1;N;17-Dec-19;127;BOLSILLOS Y OTROS;499372;1;N;17-Dec-19;610;TRABAJOS VARIOS;499373;1;S;23-Dec-19;611;CONTROL CALIDAD (PRIM.VEZ);499904;1;N;23-Dec-19;140;ACABADOS;499905;1;S;24-Dec-19;690;CENTRO DE DISTRIB. (ACABADOS);500030;1;N;14-Jan-20;140;ACABADOS;501161;2;N;14-Jan-20;670;CENTRO DE DISTRIB. (PLANCHA);501162;2;N;14-Jan-20;680;PLANCHA;501164;2;D;14-Jan-20;550;CONTROL DE CALIDAD;501165;1;N;15-Jan-20;600;DISTRIBUCION Y EMBALAJE;501332;1;N;  -   -;;;0;0;;  -   -;;;0;0;;  -   -;;;0;0;;  -   -;;;0;0;;  -   -;;;0;0;;  -   -;;;0;0;;;0;1;Industrial;0;E;40J24;FLORAL DUSTER CARDIGAN_TM-SS20;0;036840200004;JJPEREZ;;FALSO;196.3947;59.0128;3.328;;;;;;;  -   -;
3684;3684-02;120222;THE PERUVIAN CONNECTION/USA BRANCH;130;0;0;12-Nov-19;38;20-Dic-19;1;40;CHOMPA;J24;FLORAL DUSTER CARDIGAN_TM-SS20-MON-9;63;;;MULT;;XS;;;40/2;PK;PIMA COMBED;40-J24-MULT-1;11-222-3333-4;  -   -;14-Ene-20;600;DISTRIBUCION Y EMBALAJE;501313;1;N;14-Nov-19;12;100;INICIO DE PRODUCCION;495797;1;N;26-Nov-19;0;110;TEJIDO;496760;1;N;26-Nov-19;112;TEJIDO IND. TERMINADO;496761;1;N;27-Nov-19;615;CORRECCION DE TEJIDOS;496968;1;N;29-Nov-19;670;CENTRO DE DISTRIB. (PLANCHA);497156;1;N;03-Dec-19;680;PLANCHA;497662;1;D;03-Dec-19;115;CORTE;497663;1;D;09-Dec-19;118;C.DISTRIB.(ARMA.PRETI.REMALLE);498297;1;N;09-Dec-19;125;ARMADO;498298;1;D;11-Dec-19;126;PRETINADO;498661;1;D;12-Dec-19;127;BOLSILLOS Y OTROS;498947;1;D;12-Dec-19;610;TRABAJOS VARIOS;498949;1;S;24-Dec-19;611;CONTROL CALIDAD (PRIM.VEZ);499983;1;N;24-Dec-19;140;ACABADOS;499984;1;S;31-Dec-19;690;CENTRO DE DISTRIB. (ACABADOS);500393;1;N;13-Jan-20;140;ACABADOS;501097;2;N;13-Jan-20;670;CENTRO DE DISTRIB. (PLANCHA);501098;2;N;13-Jan-20;680;PLANCHA;501099;2;D;13-Jan-20;550;CONTROL DE CALIDAD;501100;1;N;14-Jan-20;600;DISTRIBUCION Y EMBALAJE;501313;1;N;  -   -;;;0;0;;  -   -;;;0;0;;  -   -;;;0;0;;  -   -;;;0;0;;  -   -;;;0;0;;;0;1;Industrial;0;E;40J24;FLORAL DUSTER CARDIGAN_TM-SS20;0;036840200005;JJPEREZ;;FALSO;202.5765;61.1829;3.311;;;;;;;  -   -;
3684;3684-02;120222;THE PERUVIAN CONNECTION/USA BRANCH;130;0;0;12-Nov-19;38;20-Dic-19;1;40;CHOMPA;J24;FLORAL DUSTER CARDIGAN_TM-SS20-MON-9;64;;;MULT;;XS;;;40/2;PK;PIMA COMBED;40-J24-MULT-1;11-222-3333-4;  -   -;15-Ene-20;600;DISTRIBUCION Y EMBALAJE;501332;1;N;14-Nov-19;12;100;INICIO DE PRODUCCION;495797;1;N;26-Nov-19;0;110;TEJIDO;496760;1;N;26-Nov-19;112;TEJIDO IND. TERMINADO;496761;1;N;27-Nov-19;615;CORRECCION DE TEJIDOS;496968;1;N;29-Nov-19;670;CENTRO DE DISTRIB. (PLANCHA);497156;1;N;03-Dec-19;680;PLANCHA;497662;1;D;03-Dec-19;115;CORTE;497663;1;D;09-Dec-19;118;C.DISTRIB.(ARMA.PRETI.REMALLE);498297;1;N;09-Dec-19;125;ARMADO;498298;1;D;11-Dec-19;126;PRETINADO;498661;1;D;12-Dec-19;127;BOLSILLOS Y OTROS;498947;1;D;12-Dec-19;610;TRABAJOS VARIOS;498949;1;S;24-Dec-19;611;CONTROL CALIDAD (PRIM.VEZ);499983;1;N;24-Dec-19;140;ACABADOS;499984;1;S;31-Dec-19;690;CENTRO DE DISTRIB. (ACABADOS);500393;1;N;10-Jan-20;140;ACABADOS;500987;2;N;10-Jan-20;670;CENTRO DE DISTRIB. (PLANCHA);500988;2;N;14-Jan-20;680;PLANCHA;501164;2;D;14-Jan-20;550;CONTROL DE CALIDAD;501165;1;N;15-Jan-20;600;DISTRIBUCION Y EMBALAJE;501332;1;N;  -   -;;;0;0;;  -   -;;;0;0;;  -   -;;;0;0;;  -   -;;;0;0;;  -   -;;;0;0;;;0;1;Industrial;0;E;40J24;FLORAL DUSTER CARDIGAN_TM-SS20;0;036840200006;JJPEREZ;;FALSO;202.5765;60.8703;3.328;;;;;;;  -   -;
3684;3684-02;120222;THE PERUVIAN CONNECTION/USA BRANCH;130;0;0;12-Nov-19;38;20-Dic-19;1;40;CHOMPA;J24;FLORAL DUSTER CARDIGAN_TM-SS20-MON-9;65;;;MULT;;XS;;;40/2;PK;PIMA COMBED;40-J24-MULT-1;11-222-3333-4;  -   -;16-Ene-20;600;DISTRIBUCION Y EMBALAJE;501516;1;N;14-Nov-19;12;100;INICIO DE PRODUCCION;495797;1;N;26-Nov-19;0;110;TEJIDO;496823;1;N;26-Nov-19;112;TEJIDO IND. TERMINADO;496824;1;N;27-Nov-19;670;CENTRO DE DISTRIB. (PLANCHA);496969;1;N;03-Dec-19;680;PLANCHA;497662;1;D;03-Dec-19;115;CORTE;497663;1;D;09-Dec-19;118;C.DISTRIB.(ARMA.PRETI.REMALLE);498297;1;N;09-Dec-19;125;ARMADO;498298;1;D;11-Dec-19;126;PRETINADO;498661;1;D;12-Dec-19;127;BOLSILLOS Y OTROS;498947;1;D;12-Dec-19;610;TRABAJOS VARIOS;498949;1;S;20-Dec-19;611;CONTROL CALIDAD (PRIM.VEZ);499665;1;N;20-Dec-19;140;ACABADOS;499666;1;S;23-Dec-19;690;CENTRO DE DISTRIB. (ACABADOS);499893;1;N;15-Jan-20;140;ACABADOS;501424;2;N;15-Jan-20;670;CENTRO DE DISTRIB. (PLANCHA);501425;2;N;15-Jan-20;680;PLANCHA;501426;2;D;15-Jan-20;550;CONTROL DE CALIDAD;501427;1;N;16-Jan-20;600;DISTRIBUCION Y EMBALAJE;501516;1;N;  -   -;;;0;0;;  -   -;;;0;0;;  -   -;;;0;0;;  -   -;;;0;0;;  -   -;;;0;0;;  -   -;;;0;0;;;0;1;Industrial;0;E;40J24;FLORAL DUSTER CARDIGAN_TM-SS20;0;036840200007;JJPEREZ;;FALSO;199.0085;59.9062;3.322;;;;;;;  -   -;
3684;3684-02;120222;THE PERUVIAN CONNECTION/USA BRANCH;130;0;0;12-Nov-19;38;20-Dic-19;1;40;CHOMPA;J24;FLORAL DUSTER CARDIGAN_TM-SS20-MON-9;65;;;MULT;;XS;;;40/2;PK;PIMA COMBED;40-J24-MULT-1;11-222-3333-4;  -   -;16-Ene-20;600;DISTRIBUCION Y EMBALAJE;501516;1;N;14-Nov-19;12;100;INICIO DE PRODUCCION;495797;1;N;26-Nov-19;0;110;TEJIDO;496825;1;N;26-Nov-19;112;TEJIDO IND. TERMINADO;496826;1;N;27-Nov-19;670;CENTRO DE DISTRIB. (PLANCHA);496969;1;N;03-Dec-19;680;PLANCHA;497662;1;D;03-Dec-19;115;CORTE;497663;1;D;09-Dec-19;118;C.DISTRIB.(ARMA.PRETI.REMALLE);498297;1;N;09-Dec-19;125;ARMADO;498298;1;D;11-Dec-19;126;PRETINADO;498661;1;D;12-Dec-19;127;BOLSILLOS Y OTROS;498947;1;D;12-Dec-19;610;TRABAJOS VARIOS;498949;1;S;26-Dec-19;611;CONTROL CALIDAD (PRIM.VEZ);500111;1;N;26-Dec-19;140;ACABADOS;500113;1;S;30-Dec-19;690;CENTRO DE DISTRIB. (ACABADOS);500304;1;N;15-Jan-20;140;ACABADOS;501438;2;N;15-Jan-20;670;CENTRO DE DISTRIB. (PLANCHA);501439;2;N;15-Jan-20;680;PLANCHA;501440;2;D;15-Jan-20;550;CONTROL DE CALIDAD;501441;1;N;16-Jan-20;600;DISTRIBUCION Y EMBALAJE;501516;1;N;  -   -;;;0;0;;  -   -;;;0;0;;  -   -;;;0;0;;  -   -;;;0;0;;  -   -;;;0;0;;  -   -;;;0;0;;;0;1;Industrial;0;E;40J24;FLORAL DUSTER CARDIGAN_TM-SS20;0;036840200008;JJPEREZ;;FALSO;199.0685;59.9243;3.322;;;;;;;  -   -;
3684;3684-02;120222;THE PERUVIAN CONNECTION/USA BRANCH;130;0;0;12-Nov-19;38;20-Dic-19;1;40;CHOMPA;J24;FLORAL DUSTER CARDIGAN_TM-SS20-MON-9;64;;;MULT;;XS;;;40/2;PK;PIMA COMBED;40-J24-MULT-1;11-222-3333-4;  -   -;15-Ene-20;600;DISTRIBUCION Y EMBALAJE;501363;1;N;14-Nov-19;12;100;INICIO DE PRODUCCION;495797;1;N;26-Nov-19;0;110;TEJIDO;496823;1;N;26-Nov-19;112;TEJIDO IND. TERMINADO;496824;1;N;27-Nov-19;670;CENTRO DE DISTRIB. (PLANCHA);496969;1;N;03-Dec-19;680;PLANCHA;497662;1;D;03-Dec-19;115;CORTE;497663;1;D;09-Dec-19;118;C.DISTRIB.(ARMA.PRETI.REMALLE);498297;1;N;09-Dec-19;125;ARMADO;498298;1;D;11-Dec-19;126;PRETINADO;498661;1;D;12-Dec-19;127;BOLSILLOS Y OTROS;498947;1;D;12-Dec-19;610;TRABAJOS VARIOS;498949;1;S;20-Dec-19;611;CONTROL CALIDAD (PRIM.VEZ);499665;1;N;20-Dec-19;140;ACABADOS;499666;1;S;23-Dec-19;690;CENTRO DE DISTRIB. (ACABADOS);499893;1;N;14-Jan-20;140;ACABADOS;501161;2;N;14-Jan-20;670;CENTRO DE DISTRIB. (PLANCHA);501162;2;N;14-Jan-20;680;PLANCHA;501164;2;D;14-Jan-20;550;CONTROL DE CALIDAD;501165;1;N;15-Jan-20;600;DISTRIBUCION Y EMBALAJE;501363;1;N;  -   -;;;0;0;;  -   -;;;0;0;;  -   -;;;0;0;;  -   -;;;0;0;;  -   -;;;0;0;;  -   -;;;0;0;;;0;1;Industrial;0;E;40J24;FLORAL DUSTER CARDIGAN_TM-SS20;0;036840200009;JJPEREZ;;FALSO;199.0085;59.7982;3.328;;;;;;;  -   -;
3684;3684-02;120222;THE PERUVIAN CONNECTION/USA BRANCH;130;0;0;12-Nov-19;38;20-Dic-19;1;40;CHOMPA;J24;FLORAL DUSTER CARDIGAN_TM-SS20-MON-9;65;;;MULT;;XS;;;40/2;PK;PIMA COMBED;40-J24-MULT-1;11-222-3333-4;  -   -;16-Ene-20;600;DISTRIBUCION Y EMBALAJE;501516;1;N;14-Nov-19;12;100;INICIO DE PRODUCCION;495797;1;N;26-Nov-19;0;110;TEJIDO;496823;1;N;26-Nov-19;112;TEJIDO IND. TERMINADO;496824;1;N;27-Nov-19;670;CENTRO DE DISTRIB. (PLANCHA);496969;1;N;29-Nov-19;680;PLANCHA;497383;1;D;29-Nov-19;115;CORTE;497385;1;D;03-Dec-19;118;C.DISTRIB.(ARMA.PRETI.REMALLE);497586;1;N;03-Dec-19;125;ARMADO;497589;1;D;06-Dec-19;126;PRETINADO;498083;1;D;06-Dec-19;127;BOLSILLOS Y OTROS;498206;1;D;06-Dec-19;610;TRABAJOS VARIOS;498234;1;S;17-Dec-19;611;CONTROL CALIDAD (PRIM.VEZ);499340;1;N;17-Dec-19;140;ACABADOS;499341;1;S;18-Dec-19;690;CENTRO DE DISTRIB. (ACABADOS);499435;1;N;07-Jan-20;140;ACABADOS;500621;2;N;07-Jan-20;670;CENTRO DE DISTRIB. (PLANCHA);500622;2;N;15-Jan-20;680;PLANCHA;501440;2;D;15-Jan-20;550;CONTROL DE CALIDAD;501441;1;N;16-Jan-20;600;DISTRIBUCION Y EMBALAJE;501516;1;N;  -   -;;;0;0;;  -   -;;;0;0;;  -   -;;;0;0;;  -   -;;;0;0;;  -   -;;;0;0;;  -   -;;;0;0;;;0;1;Industrial;0;E;40J24;FLORAL DUSTER CARDIGAN_TM-SS20;0;036840200010;JJPEREZ;;FALSO;199.4047;60.0255;3.322;;;;;;;  -   -;
