"","Sexo","Edad","Universidad","Plataformas_2019","Time_service19","Netflix_2019","Youtube_2019","Youtube_p_2019","Movistar_play_2019","Zoom_2019","HBO_2019","Amazon_p_2019","Twitch_2019","Disney_plus_2019","Fb_gaming_2019","Claro_video_2019","Starplus_2019","Discord_2019","Crunchyroll_2019","Spotify_2019","Foxsport_2019","Hulu_2019","DirecTVgo_2019","AmericaTVgo_2019","Contenido","Plataforma19","Precio_2019","Nueva_plat_2020","Device","Netflix_2020","Youtube_2020","Youtube_p_2020","Movistar_play_2020","Zoom_2020","HBO_2020","Amazon_p_2020","Twitch_2020","Disney_plus_2020","Fb_gaming_2020","Claro_video_2020","Starplus_2020","Discord_2020","Crunchyroll_2020","Spotify_2020","Foxsport_2020","Hulu_2020","DirecTVgo_2020","AmericaTVgo_2020","Plataforma2020","Precio_2020","Time_service20","Cine_a_stream","Traslado_plat"
"1","Masculino",19,"UPC","Netflix, Youtube, Zoom, Twitch, Discord",120,45,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,"Series","Grupal",34,"NU","Celular",45,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,"Grupal",34,120,9,5
"2","Masculino",21,"UTEC","Netflix, Youtube, Zoom, Discord, Spotify",540,60,60,NA,NA,360,NA,NA,NA,NA,NA,NA,NA,20,NA,45,NA,NA,NA,NA,"Series","Grupal",40,"Netflix, Youtube, Zoom, HBO, Discord, Spotify","Celular",120,120,NA,NA,360,NA,NA,NA,NA,NA,NA,NA,45,NA,60,NA,NA,NA,NA,"Grupal",60,360,9,7
"3","Masculino",20,"UTEC","Netflix, Youtube, Spotify",120,45,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,"Series","Personal",40,"Zoom","Celular",60,120,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,"Personal",40,180,1,6
"4","Masculino",16,"UTEC","Netflix, Youtube",300,60,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Series","Grupal",20,"Twitch, Disney plus, Facebook Gaming, Discord, Spotify","Computadora",NA,NA,NA,NA,NA,NA,NA,60,60,1,NA,NA,60,NA,60,NA,NA,NA,NA,"Grupal",30,300,10,10
"5","Femenino",19,"UTEC","Netflix, Youtube, Zoom",240,120,120,NA,NA,540,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Series","Personal",20,"NU","Celular",180,420,NA,NA,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Personal",20,60,10,8
"6","Masculino",20,"UTEC","Netflix",120,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Series","Personal",30,"Spotify","Televisión",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,"Grupal",30,540,6,7
"7","Masculino",22,"UTEC","Netflix, Youtube, Spotify",240,60,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,"Películas","Personal",30,"Movistar Play, Zoom, Disney plus, Discord, America TV go","Televisión",20,20,NA,45,360,NA,NA,NA,NA,NA,NA,NA,20,NA,45,NA,NA,NA,60,"Personal",40,240,2,3
"8","Femenino",23,"UTEC","Netflix, Youtube, Spotify",360,240,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,NA,NA,NA,NA,"Series","Grupal",30,"Netflix, Youtube, Zoom, Amazon Prime Video, Disney plus, Spotify","Computadora",420,300,NA,NA,360,NA,120,NA,120,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,"Grupal",60,120,10,5
"9","Masculino",19,"UTEC","Netflix, Spotify",120,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,"Series","Grupal",35,"Netflix, Youtube, Zoom, Amazon Prime Video, Discord, Crunchyroll, Spotify","Televisión",120,60,NA,NA,180,NA,120,NA,NA,NA,NA,NA,60,120,60,NA,NA,NA,NA,"Grupal",100,180,8,7
"10","Femenino",20,"UPC","Netflix, Youtube, Spotify, America TV go",480,180,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,45,"Series","Grupal",30,"Zoom, Amazon Prime Video, Disney plus, Discord","Celular",240,180,NA,20,240,NA,120,NA,120,NA,NA,NA,240,NA,45,NA,NA,NA,NA,"Grupal",50,120,9,10
