Gender,Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS,IMC
1,21,1.62,64,1,0,2,3,1,0,2,0,0,1,0,0,24.39
1,21,1.52,56,1,0,3,3,1,1,3,1,3,0,1,0,24.24
0,23,1.8,77,1,0,2,3,1,0,2,0,2,1,2,0,23.77
0,27,1.8,87,0,0,3,3,1,0,2,0,2,0,2,1,26.85
0,22,1.78,89.8,0,0,2,1,1,0,2,0,0,0,1,0,28.34
0,29,1.62,53,0,1,2,3,1,0,2,0,0,0,1,0,20.2
1,23,1.5,55,1,1,3,3,1,0,2,0,1,0,1,0,24.44
0,22,1.64,53,0,0,2,3,1,0,2,0,3,0,1,0,19.71
0,24,1.78,64,1,1,3,3,1,0,2,0,1,1,2,0,20.2
0,22,1.72,68,1,1,2,3,1,0,2,0,1,1,0,0,22.99
0,26,1.85,105,1,1,3,3,2,0,3,0,2,2,1,0,30.68
1,21,1.72,80,1,1,2,3,2,0,2,1,2,1,1,0,27.04
0,22,1.65,56,0,0,3,3,1,0,3,0,2,0,1,0,20.57
0,41,1.8,99,0,1,2,3,1,0,2,0,2,1,2,0,30.56
0,23,1.77,60,1,1,3,1,1,0,1,0,1,1,1,0,19.15
1,22,1.7,66,1,0,3,3,3,0,2,1,2,1,1,0,22.84
0,27,1.93,102,1,1,2,1,1,0,1,0,1,0,1,0,27.38
1,29,1.53,78,0,1,2,1,1,0,2,0,0,0,0,0,33.32
1,30,1.71,82,1,1,3,4,2,1,1,0,0,0,0,0,28.04
1,23,1.65,70,1,0,2,1,1,0,2,0,0,0,1,0,25.71
0,22,1.65,80,1,0,2,3,1,0,2,0,3,2,0,1,29.38
1,52,1.69,87,1,1,3,1,1,1,2,0,0,0,0,0,30.46
1,22,1.65,60,1,1,3,3,1,0,2,0,1,0,1,0,22.04
1,22,1.6,82,1,1,1,1,1,0,2,0,0,2,1,0,32.03
0,21,1.85,68,1,1,2,3,1,0,2,0,0,1,1,0,19.87
0,20,1.6,50,1,0,2,4,2,1,2,0,3,2,0,0,19.53
0,21,1.7,65,1,1,2,1,2,0,2,0,1,2,3,1,22.49
1,23,1.6,52,0,1,2,4,2,0,2,0,2,1,1,0,20.31
0,19,1.75,76,1,1,3,3,1,0,2,1,3,1,1,0,24.82
0,23,1.68,70,0,1,2,3,1,0,2,0,2,2,2,1,24.8
0,29,1.77,83,0,1,1,4,2,0,3,0,0,1,0,0,26.49
1,31,1.58,68,1,0,2,1,1,0,1,0,1,0,1,0,27.24
1,24,1.77,76,0,0,2,3,1,0,3,0,1,1,1,1,24.26
0,39,1.79,90,0,0,2,1,1,0,2,0,0,0,1,0,28.09
0,22,1.65,62,0,1,2,4,2,0,2,0,2,0,1,0,22.77
