Copa,Año_C,Partido,N_Lanzamiento,Nombre_J,Apellido_J,Posicion,Estatura_J,Edad_J,Tiempo_J,Tiempo_Prev,P.Equipo_P,Pierna,Hinchas_J,Angulo H,Angulo V,Coordenada_X,Coordenada_Y,Resultado_P
Mundial,2014,Brasil_Chile,1,David Luiz,Moreira Marinho,Defensa,189,27,128,5,Brasil,Derecha,Si,-12.705,4.967,1.180,0.980,Gol
Mundial,2014,Brasil_Chile,2,Mauricio Ricardo,Pinilla Ferrera,Delantero,187,30,20,3,Chile,Derecha,No,-5.917,4.189,2.520,0.810,Tapado
Mundial,2014,Brasil_Chile,3,Willian,Borges da Silva,Delantero,175,26,22,6,Brasil,Derecha,Si,-19.475,0.589,-0.230,0.120,Fuera
Mundial,2014,Brasil_Chile,4,Alexis Alejandro,Sánchez Sánchez,Delantero,167,25,128,5,Chile,Derecha,No,-6.843,2.119,2.340,0.410,Tapado
Mundial,2014,Brasil_Chile,5,Marcelo Vieira,da Silva Júnior,Defensa,174,27,128,7,Brasil,Izquierda,Si,8.785,8.935,5.360,1.750,Gol
Mundial,2014,Brasil_Chile,6,Charles Mariano,Aránguiz Sandoval,Mediocampista,171,25,128,5,Chile,Derecha,No,6.329,11.740,4.880,2.300,Gol
Mundial,2014,Brasil_Chile,7,Givanildo,Vieira de Souza,Delantero,180,28,128,8,Brasil,Izquierda,Si,3.070,6.114,4.250,1.180,Tapado
Mundial,2014,Brasil_Chile,8,Marcelo Alfonso,Díaz Rojas,Mediocampista,169,27,128,6,Chile,Derecha,No,0.937,6.534,3.840,1.260,Gol
Mundial,2014,Brasil_Chile,9,Neymar Júnior,da Silva Santos,Delantero,175,22,128,12,Brasil,Derecha,Si,-7.816,5.249,2.150,1.020,Gol
Mundial,2014,Brasil_Chile,10,Gonzalo Alejandro,Jara Reyes,Defensa,178,29,128,6,Chile,Derecha,No,12.507,6.882,6.100,1.360,Tapado
Mundial,2014,Holanda_Argentina,1,Ron Peter,Vlar,Defensa,189,29,121,4,Holanda,Derecha,Si,2.551,1.613,4.150,0.310,Tapado
Mundial,2014,Holanda_Argentina,2,Lionel Andres ,Messi Cuccitini,Delantero,169,27,121,6,Argentina,Izquierda,No,-9.445,5.837,1.830,1.140,Gol
Mundial,2014,Holanda_Argentina,3,Arjen,Robben,Delantero,180,30,121,5,Holanda,Izquierda,Si,14.183,0.606,6.440,0.120,Gol
Mundial,2014,Holanda_Argentina,4,Ezequiel Marcelo,Garay Gonzales,Defensa,188,27,121,5,Argentina,Derecha,No,2.135,10.449,4.070,2.030,Gol
Mundial,2014,Holanda_Argentina,5,Wesley,Sneijder,Mediocampista,170,30,121,4,Holanda,Derecha,Si,-12.457,7.485,1.230,1.480,Tapado
Mundial,2014,Holanda_Argentina,6,Sergio Leonel,Aguero del Castillo,Delantero,173,26,44,7,Argentina,Derecha,No,-16.699,0.499,0.360,0.100,Gol
Mundial,2014,Holanda_Argentina,7,Dirk,Kuijt,Delantero,184,34,121,5,Holanda,Derecha,Si,11.059,0.409,5.810,0.080,Gol
Mundial,2014,Holanda_Argentina,8,Maximiliano Ruben,Rodríguez,Delantero,173,33,25,3,Argentina,Derecha,No,-12.705,3.653,1.180,0.720,Gol
Mundial,2014,CostaRica_Grecia,1,Celso,Borges Mora,Mediocampista,182,26,130,6,CostaRica,Derecha,No,2.810,10.745,4.200,2.090,Gol
Mundial,2014,CostaRica_Grecia,2, Konstantinos,Mitroglou,Delantero,188,26,72,4,Grecia,Izquierda,Si,-16.699,5.273,0.360,1.060,Gol
Mundial,2014,CostaRica_Grecia,3,Bryan Jafet,Ruiz González,Delantero,187,29,130,5,CostaRica,Izquierda,No,11.410,11.092,5.880,2.200,Gol
Mundial,2014,CostaRica_Grecia,4,Lazaros,Christodoulopoulos,Mediocampista,183,27,130,4,Grecia,Derecha,Si,11.410,1.786,5.880,0.350,Gol
Mundial,2014,CostaRica_Grecia,5,Giarcalo,González,Defensa,186,26,130,6,CostaRica,Derecha,No,-5.298,5.172,2.640,1.000,Gol
Mundial,2014,CostaRica_Grecia,6,Jose,Holevas,Defensa,184,30,130,6,Grecia,Izquierda,Si,9.749,8.761,5.550,1.720,Gol
Mundial,2014,CostaRica_Grecia,7,Joel,Campbell,Delantero,178,22,130,12,CostaRica,Izquierda,No,-7.458,1.807,2.220,0.350,Gol
Mundial,2014,CostaRica_Grecia,8,Theofanis,Gekas,Delantero,180,34,61,3,Grecia,Derecha,Si,-10.808,8.982,1.560,1.770,Tapado
Mundial,2014,CostaRica_Grecia,9,Michael,Umaña Corrales,Defensa,178,32,130,7,CostaRica,Derecha,No,-9.141,10.724,1.890,2.110,Gol
Mundial,2014,Holanda_CostaRica,1,Celso,Borges Mora,Mediocampista,182,26,130,8,CostaRica,Derecha,No,12.854,0.508,6.170,0.100,Gol
Mundial,2014,Holanda_CostaRica,2,Robin,Van Persie,Delantero,183,31,130,5,Holanda,Izquierda,Si,18.263,0.643,7.290,0.130,Gol
Mundial,2014,Holanda_CostaRica,3,Bryan Jafet,Ruiz Gonzalez,Delantero,187,29,130,3,CostaRica,Izquierda,No,8.480,0.515,5.300,0.100,Tapado
