Soy,¿Cuál es tu sexo?,"Aproximadamente, ¿Cuánto es tu promedio académico actualmente?.",¿Cuál es tu edad?,¿Cómo calificarías a tu progreso académico durante la virtualidad?,¿Qué tan dinámicas crees que son tus clases virtuales?,¿En qué universidad estudias?,¿Cuánto tiempo de receso te brinda el docente en una clase? (considerando 2 horas por clase),¿Cuánto tiempo de receso consideras que se debería dar en cada clase? (considerando 2 horas por clase),¿Consideras que el tiempo que te dan de receso influye positivamente en tu concentración?,¿Cuántos dispositivos tecnológicos usas?,¿Cuánto tiempo tienes enseñando a nivel universitario?,¿Cuántos cursos llevaste relacionado con técnicas didácticas de aprendizaje?,¿Has llevado algún curso de competencias digitales?,¿En qué universidad enseñas?,¿Cuál de las herramientas de comunicación que usan tus docentes consideras que es la mejor?,¿Cuántas herramientas de comunicación usan tus docentes para tu aprendizaje?," ¿Cuántas horas llevaste en este tipo de cursos de competencias digitales?  ( ""0"" si en la respuesta anterior marcaste No)",¿Cuál de estas técnicas didácticas que utilizan tus docentes complementan mejor tu aprendizaje?,¿Cuántas técnicas didácticas usan tus docentes para complementar mejor tu aprendizaje?,¿Consideras que las mallas curriculares de los cursos fomentan el uso de herramientas didácticas?,¿Cuántas horas académicas en total llevaste o estás llevando en cursos relacionados a técnicas didácticas de aprendizaje ?,¿Cuál de las técnicas didácticas que empleas en clase consideras que refuerza mejor la enseñanza del estudiante universitario?
Universitario,Masculino,13,18,3,3,UTEC,10,15,Sí,2,,,,,Correo electrónico,3,,Casos Individuales,4,,,
Universitario,Femenino,12,21,2,2,UTEC,15,15,No,1,,,,,Llamadas telefónicas,3,,Páginas web didácticas,4,,,
Universitario,Masculino,11,25,3,2,UTP,20,20,No,1,,,,,Teams,2,,Páginas web didácticas,3,,,
Docente,Masculino,,,,,,,,,,15,0,No,UTEC,,,240,,,Sí,0,Talleres
Universitario,Femenino,15,18,3,4,UTEC,10,10,Sí,1,,,,,Telegram,4,,Casos Grupales,5,,,
Docente,Masculino,,,,,,,,,,3,8,Si,UTEC,,,120,,,Sí,20,Simuladores
Universitario,Masculino,10,27,3,3,Universidad Peruana Cayetano Heredia,10,10,Sí,2,,,,,Correo electrónico,2,,Discusiones en grupo,3,,,
Universitario,Femenino,16,19,5,4,UTEC,10,15,Sí,2,,,,,Correo electrónico,5,,Kahoots,5,,,
Universitario,Masculino,18,21,5,5,UTEC,10,15,Sí,4,,,,,Telegram,5,,Quizzes,5,,,
Universitario,Femenino,17,18,4,4,UPC,10,10,Sí,5,,,,,Correo electrónico,5,,Discusiones en grupo,5,,,
Universitario,Masculino,15,19,5,2,PUCP,10,15,No,5,,,,,Correo electrónico,4,,Páginas web didácticas,4,,,
Universitario,Masculino,14,20,3,2,UTEC,10,15,Sí,2,,,,,Canvas foro,3,,Casos Grupales,4,,,
