Marca temporal,¿Cuál es su edad?,¿En qué periodo ingresó a UTEC?,¿A qué carrera perteneces?,¿A qué escala del sistema de pensiones de UTEC perteneces?,¿Has reprobado algún curso?,¿Cuántas veces has reprobado?,¿Qué curso(s) de CIENCIAS GENERALES has reprobado?,"¿Qué curso(s) de HUMANIDADES, ARTE Y CIENCIAS SOCIALES (HACS)has reprobado? ","¿Qué curso(s) de PROYECTOS INTERDISCIPLINARIOS, TESIS Y REAL LIFE EXPERIENCE has desaprobado?",¿Qué curso(s) de GESTIÓN has reprobado?,¿Has jalado algún curso de CARRERA?,"En general, ¿cuáles consideras que han sido los motivos por los que has desaprobado el/los curso(s)?",¿Actualmente te encuentras en riesgo académico?,¿Cuántas veces te has retirado de un curso?,¿Por qué te retiraste?,¿Cuántas horas estudias a la semana?,¿Cuántas horas duermes al día?,¿Cuántas horas a la semana practicas deporte?,¿Cuál es su promedio ponderado acumulado de la carrera? Ingrese solo el número con dos decimales separados por un punto decimal. (Ej: 14.27),¿Cuál fue su promedio ponderado en el primer ciclo?  Ingrese solo el número con dos decimales separados por un punto decimal. (Ej: 14.27),¿Cuál fue su promedio ponderado en el último ciclo (ciclo anterior)?  Ingrese solo el número con dos decimales separados por un punto decimal. (Ej: 14.27)
28/09/2021 23:54:19,18,2020-1,Ing. Electrónica,E,Si,1,Fisica I - Introduccion a la Mecanica,Ninguno,Ninguno,Ninguno,No,Porque estaba llevando demasiados cursos.,No,0,No me he retirado de ningún curso.,6,7,0,14.81,14.67,15.30
29/09/2021 0:03:26,20,2018-1,Ing. Electrónica,E,Si,1,Ninguno,Laboratorio de Comunicacion I,Ninguno,Ninguno,No,Otro,No,0,No me he retirado de ningún curso.,6,5,3,15.8,15.1,16.05
29/09/2021 0:03:35,18,2020-2,Bioingeniería,E,Si,5,"Matematicas I - Calculo de una variable - Calculo Vectorial, Quimica General, Fisica I - Introduccion a la Mecanica","Laboratorio de Comunicacion II, Arte y Tecnologia",Ninguno,Ninguno,Sí,"Porque estaba llevando demasiados cursos., Porque no le dediqué suficiente tiempo a estudiar., Por problemas emocionales., Porque me relaje demasiado.",Sí,2,Porque lo iba a desaprobar.,4,5,0,7.08,06.4,10
29/09/2021 0:04:22,22,2016-1,Ing. Electrónica,A,No,,,,,,,,,0,No me he retirado de ningún curso.,6,7,0,16.63,14.73,19.33
29/09/2021 0:06:13,20,2018-1,Ciencias de la Computación,E,Si,3,"Matematicas I - Calculo de una variable - Calculo Vectorial, Fisica II - Fundamentos de Electricidad y Magnetismo, Estadistica y Probabilidades - Estadística y Probabilidades I",Ninguno,Ninguno,Ninguno,Sí,Por problemas personales/familiares.,No,0,No me he retirado de ningún curso.,15,10,0,12.50,16,14.80
29/09/2021 0:08:51,20,2018-1,Ing. Electrónica,Becado por Terceros,No,,,,,,,,,0,No me he retirado de ningún curso.,6,8,6,15.34,16.64,14.36
29/09/2021 0:19:31,19,2020-2,Ing. de la Energía,Becado por Terceros,No,,,,,,,,,0,No me he retirado de ningún curso.,24,7,2,15.98,15.65,16.25
29/09/2021 0:31:33,22,2016-1,Ing. Electrónica,Becado por Terceros,No,,,,,,,,,0,No me he retirado de ningún curso.,20,7,7,15.84,13.40,17.57
29/09/2021 0:31:37,22,2016-1,Ing. Electrónica,Becado por UTEC,No,,,,,,,,,2,"Porque lo iba a desaprobar., Por problemas financieros., Porque estaba llevando demasiados cursos.",4,7,3,14.90,14.27,17.19
29/09/2021 0:42:30,19,2019-1,Ing. Electrónica,Becado por Terceros,No,,,,,,,,,0,No me he retirado de ningún curso.,2,8,0,18.64,18,18.16
