CIENCIAS GENERALES,"HUMANIDADES, ARTES Y CIENCIAS SOCIALES","PROYECTOS INTERDISCIPLINARIOS, TESIS Y REAL LIFE EXPERIENCE",GESTIÓN
Matematicas I - Calculo de una variable - Calculo Vectorial,Laboratorio de Comunicacion I,Proyecto Interdisciplinario I,Finanzas Empresariales
Fisica I - Introduccion a la Mecanica,Laboratorio de Comunicacion II,Proyecto Interdisciplinario II,
Quimica General,Arte y Tecnologia,Proyecto Interdisciplinario I,
Fisica I - Introduccion a la Mecanica,Peru: Temas de la Sociedad Contemporanea - Peru: ¿Pais Industrial?,Desafios Globales,
Matematicas I - Calculo de una variable - Calculo Vectorial,Arte y Tecnologia,Desafios Globales,
Fisica II - Fundamentos de Electricidad y Magnetismo,Laboratorio de Comunicacion II,Desafios Globales,
Estadistica y Probabilidades - Estadística y Probabilidades I,Laboratorio de Comunicacion II,Proyecto Interdisciplinario I,
Quimica General,Arte y Tecnologia,,
Fisica I - Introduccion a la Mecanica,Laboratorio de Comunicacion II,,
Programación orientada a objetos I - Programación II,Laboratorio de Comunicacion II,,
Termodinamica,Arte y Tecnologia,,
Matematicas I - Calculo de una variable - Calculo Vectorial,Laboratorio de Comunicacion II,,
Quimica General,Arte y Tecnologia,,
Matematicas I - Calculo de una variable - Calculo Vectorial,Laboratorio de Comunicacion II,,
Quimica General,Laboratorio de Comunicacion II,,
Fisica I - Introduccion a la Mecanica,Arte y Tecnologia,,
Matematicas I - Calculo de una variable - Calculo Vectorial,Laboratorio de Comunicacion I,,
Quimica General,Laboratorio de Comunicacion II,,
Quimica Experimental - Laboratorio de Quimica General,Laboratorio de Comunicacion II,,
Quimica General,Laboratorio de Comunicacion II,,
Matematicas II - Ecuaciones Diferenciales - Algebra Lineal,Laboratorio de Comunicacion I,,
Programación orientada a objetos I - Programación II,Laboratorio de Comunicacion I,,
Quimica General,Laboratorio de Comunicacion II,,
Matematicas I - Calculo de una variable - Calculo Vectorial,,,
Fisica I - Introduccion a la Mecanica,,,
Fisica I - Introduccion a la Mecanica,,,
Introduccion a la Ciencia de la Computacion - Programacion I,,,
Matematicas I - Calculo de una variable - Calculo Vectorial,,,
Quimica General,,,
Termodinamica,,,
Quimica General,,,
Matematicas I - Calculo de una variable - Calculo Vectorial,,,
Matematicas I - Calculo de una variable - Calculo Vectorial,,,
Fisica I - Introduccion a la Mecanica,,,
Matematicas I - Calculo de una variable - Calculo Vectorial,,,
Fisica I - Introduccion a la Mecanica,,,
Fisica II - Fundamentos de Electricidad y Magnetismo,,,
Fisica II - Fundamentos de Electricidad y Magnetismo,,,
Matematicas II - Ecuaciones Diferenciales - Algebra Lineal,,,
Programación orientada a objetos I - Programación II,,,
Programación orientada a objetos I - Programación II,,,
Termodinamica,,,
Quimica General,,,
Introduccion a la Ciencia de la Computacion - Programacion I,,,
Matematicas I - Calculo de una variable - Calculo Vectorial,,,
Introduccion a la Ciencia de la Computacion - Programacion I,,,
Matematicas I - Calculo de una variable - Calculo Vectorial,,,
Quimica General,,,
Introduccion a la Ciencia de la Computacion - Programacion I,,,
Matematicas I - Calculo de una variable - Calculo Vectorial,,,
Quimica General,,,
Fisica I - Introduccion a la Mecanica,,,
Fisica II - Fundamentos de Electricidad y Magnetismo,,,
Matematicas II - Ecuaciones Diferenciales - Algebra Lineal,,,
Introduccion a la Ciencia de la Computacion - Programacion I,,,
Quimica General,,,
Quimica Experimental - Laboratorio de Quimica General,,,
Introduccion a la Ciencia de la Computacion - Programacion I,,,
Quimica General,,,
Fisica II - Fundamentos de Electricidad y Magnetismo,,,
Matematicas II - Ecuaciones Diferenciales - Algebra Lineal,,,
Matematicas I - Calculo de una variable - Calculo Vectorial,,,
Fisica I - Introduccion a la Mecanica,,,
Fisica II - Fundamentos de Electricidad y Magnetismo,,,
Matematicas II - Ecuaciones Diferenciales - Algebra Lineal,,,
Matematicas I - Calculo de una variable - Calculo Vectorial,,,
Quimica General,,,
Introduccion a la Ciencia de la Computacion - Programacion I,,,
Matematicas I - Calculo de una variable - Calculo Vectorial,,,
Quimica General,,,
Fisica I - Introduccion a la Mecanica,,,
Fisica I - Introduccion a la Mecanica,,,
Matematicas II - Ecuaciones Diferenciales - Algebra Lineal,,,
Matematicas I - Calculo de una variable - Calculo Vectorial,,,
