,Identificador,Nombre,Equipos,Saldo,Provincia,Distrito,Latitud,Longitud,Tipo,Giro,Clasificación,Trimestre1,Trimestre2,Trimestre3,Trimestre4
1,976492840,E000000107847,U,594,BARRANCA,BARRANCA,-10.75375,-77.75894,MINORISTAS,LICORERIA,D,108,64,71,46
2,w004010167,E000000164166,U,22,BARRANCA,SUPE,-10.79703,-77.71247,MINORISTAS,CABINA DE INTERNET,E,10,20,27,16
3,5115853566,E000000156643,V,1254,BARRANCA,SUPE,-10.80148,-77.74441,MINORISTAS,CABINA DE INTERNET,C,91,55,48,30
4,w004010135,E000000164146,V,275,BARRANCA,BARRANCA,-10.75124,-77.75786,MINORISTAS,CABINA DE INTERNET,D,73,44,75,40
5,963510746,E000000069035,U,1342,BARRANCA,BARRANCA,-10.771496,-77.746344,PERSONAL,PERSONAL,C,76,53,59,59
6,947528975,E000000027851,U,1276,BARRANCA,BARRANCA,-10.7514414,-77.7652469,MINORISTAS,BODEGA,C,65,65,71,76
7,968846483,E000000082900,U,1221,BARRANCA,SUPE,-12.1343549,-76.9679247,MINORISTAS,BODEGA,C,111,135,110,107
8,985445864,E000000128408,U,429,BARRANCA,PATIVILCA,-10.69093,-77.78394,MINORISTAS,BODEGA,D,55,106,58,82
9,951052274,E000000037271,V,2772,BARRANCA,BARRANCA,-10.7553,-77.7558,MINORISTAS,BODEGA,C,324,165,127,185
10,990793045,E000000139629,U,10373,BARRANCA,SUPE,-10.81077,-77.69346,MINORISTAS,BODEGA,B,438,661,663,614
11,979829296,E000000117614,U,2585,BARRANCA,BARRANCA,-10.1589,-77.5166,MINORISTAS,KIOSKO,C,224,251,155,306
12,945061599,E000000022939,U,10912,BARRANCA,SUPE,-10.803908,-77.714157,MINORISTAS,BODEGA,B,476,722,599,851
13,979820652,E000000117570,U,5104,BARRANCA,BARRANCA,-10.75206,-77.76255,MINORISTAS,BODEGA,C,583,497,590,702
14,984640267,E000000124797,U,3641,BARRANCA,BARRANCA,-10.74845,-77.76084,MINORISTAS,BOTICA,C,451,128,544,559
15,961084569,E000000062822,V,1210,BARRANCA,SUPE,-10.7998304,-77.7138977,MINORISTAS,BODEGA,C,68,81,78,31
