Identificador,Nombre,Equipos,Saldo,Provincia,Distrito,Latitud,Longitud,Tipo,Giro,Clasificación,Trimestre1,Trimestre2,Trimestre3,Trimestre4
103030708,E000000000002,U,1001,LIMA,ATE,-12.062153,-76.997849,MINORISTAS,CABINA DE INTERNET,C,114,85,101,90
103030909,E000000000003,U,2211,LIMA,ATE,-12.025779,-76.88527,MINORISTAS,BODEGA,C,232,24,140,147
103038031,E000000000004,U,4664,LIMA,ATE,-12.0762,-76.9755,MINORISTAS,BODEGA,C,481,782,790,791
103038050,E000000000005,U,12188,LIMA,ATE,-12.034121,-76.937922,MINORISTAS,BODEGA,B,236,243,345,312
103038053,E000000000006,U,627,LIMA,ATE,-12.060114,-76.993734,MINORISTAS,FARMACIA,D,68,107,90,82
103038361,E000000000007,U,2156,LIMA,ATE,-12.0254206,-76.9188996,MINORISTAS,BODEGA,C,239,37,270,192
104009305,E000000000009,U,1606,LIMA,LA MOLINA,-12.0628244,-76.9413764,MINORISTAS,BODEGA,C,95,80,95,86
104073814,E000000000010,U,2987.6,LIMA,ATE,-12.0171615,-76.8758805,MINORISTAS,FARMACIA,C,418,399,721,652
108914096,E000000000012,V,6050,LIMA,ATE,-12.0762,-76.9755,MINORISTAS,AMBULANTE,C,252,518,709,651
510201060,E000000000016,U,4774,LIMA,SANTA ANITA,-12.0359,-76.9509,MINORISTAS,CABINA DE INTERNET,C,729,378,367,261
510203162,E000000000019,U,2651,LIMA,SANTA ANITA,-12.0403,-76.9584,MINORISTAS,CABINA DE INTERNET,C,192,247,69,224
510205310,E000000000021,U,2354,LIMA,SANTA ANITA,-12.0386,-76.9616,PERSONAL,PERSONAL,C,277,268,162,10
510205339,E000000000022,U,18348,LIMA,SANTA ANITA,-12.0433,-76.9795,MINORISTAS,BODEGA,B,643,436,568,492
510205341,E000000000023,U,6303,LIMA,SANTA ANITA,-12.0418,-76.971,MINORISTAS,CABINA DE INTERNET,C,725,252,440,795
510205376,E000000000024,U,2871,LIMA,SANTA ANITA,-12.0474,-76.9597,MINORISTAS,LIBRERIA,C,185,254,182,111
510205381,E000000000025,U,2200,LIMA,SANTA ANITA,-12.043342,-76.9698613,MINORISTAS,AMBULANTE,C,226,166,237,247
510211222,E000000000028,U,5236,LIMA,SAN JUAN DE LURIGANCHO,-12.0291,-77.0115,MINORISTAS,CABINA DE INTERNET,C,415,305,600,474
510211304,E000000000029,U,12595,LIMA,SAN JUAN DE LURIGANCHO,-12.0249,-76.998,MINORISTAS,AMBULANTE,B,366,302,348,345
510211307,E000000000030,U,4114,LIMA,SAN JUAN DE LURIGANCHO,-12.0228,-76.9676,MINORISTAS,BODEGA,C,476,565,185,620
510213260,E000000000031,U,5918,LIMA,SAN JUAN DE LURIGANCHO,-12.0157,-77.0066,MINORISTAS,BODEGA,C,579,351,569,390
510215263,E000000000032,U,3993,LIMA,SAN JUAN DE LURIGANCHO,-12.0002,-77.0001,MINORISTAS,FARMACIA,C,271,363,414,474
510215266,E000000000033,U,3795,LIMA,SAN JUAN DE LURIGANCHO,-11.9971,-77.0087,MINORISTAS,FARMACIA,C,570,374,644,326
510215338,E000000000034,U,913,LIMA,SAN JUAN DE LURIGANCHO,-11.9929,-77.0098,MINORISTAS,BODEGA,D,75,83,72,65
510217107,E000000000035,U,3905,LIMA,SAN JUAN DE LURIGANCHO,-12.0104,-77.0044,MINORISTAS,AMBULANTE,C,602,287,496,458
510225186,E000000000038,V,4512.2,LIMA,SAN JUAN DE LURIGANCHO,-11.9673,-77.0032,MINORISTAS,BODEGA,C,667,489,350,625
510231209,E000000000039,U,50.6,LIMA,SAN JUAN DE LURIGANCHO,-11.9398,-76.9765,MINORISTAS,AMBULANTE,E,37,27,21,41
510231291,E000000000042,V,4114,LIMA,SAN JUAN DE LURIGANCHO,-11.9377,-76.9781,MINORISTAS,CABINA DE INTERNET,C,604,746,690,461
510401012,E000000000053,U,5863,LIMA,SANTA ANITA,-12.0463,-76.9565,MINORISTAS,BODEGA,C,529,339,395,727
510401015,E000000000054,V,2046,LIMA,SANTA ANITA,-12.0478,-76.9619,MINORISTAS,BODEGA,C,249,121,260,234
510403016,E000000000057,U,1232,LIMA,SAN JUAN DE LURIGANCHO,-12.0173,-76.9843,MINORISTAS,CABINA DE INTERNET,C,90,80,66,55
510403032,E000000000058,U,1727,LIMA,SAN JUAN DE LURIGANCHO,-12.0243,-76.9772,MINORISTAS,AMBULANTE,C,22,131,57,48
510403041,E000000000060,U,374,LIMA,SAN JUAN DE LURIGANCHO,-12.0203,-76.9585,MINORISTAS,PANADERIA,D,67,30,79,30
510403046,E000000000061,U,374,LIMA,SAN JUAN DE LURIGANCHO,-12.0229,-76.9652,MINORISTAS,BODEGA,D,64,68,62,61
510405015,E000000000062,U,43824,LIMA,SAN JUAN DE LURIGANCHO,-11.9833,-77.0105,MINORISTAS,FARMACIA,B,477,426,285,376
510409082,E000000000065,U,4774,LIMA,SAN MIGUEL,-12.0867,-77.0903,MINORISTAS,BODEGA,C,484,316,356,393
510504224,E000000000070,U,2409,LIMA,SAN MIGUEL,-12.0722,-77.0987,MINORISTAS,AMBULANTE,C,151,143,124,249
910818350,E000000000132,U,165,LIMA,ATE,-12.095132,-77.0338126,MINORISTAS,BODEGA,D,74,49,84,62
914535557,E000000000342,U,462,LIMA,VILLA EL SALVADOR,-12.1891997,-76.9551261,MINORISTAS,BODEGA,D,66,48,29,68
915902006,E000000000370,U,1936,LIMA,INDEPENDENCIA,-11.994412,-77.0537313,MINORISTAS,BODEGA,C,166,209,98,209
916249357,E000000000399,U,176,LIMA,VILLA MARIA DEL TRIUNFO,-12.2202002,-76.906126,MINORISTAS,BODEGA,D,56,59,61,77
917620109,E000000000490,U,1430,LIMA,SAN JUAN DE LURIGANCHO,-12.0039501,-77.0069504,MINORISTAS,CABINA DE INTERNET,C,45,63,97,89
917881883,E000000000507,U,1144,LIMA,CHACLACAYO,-11.98318,-76.7735977,MINORISTAS,BODEGA,C,121,72,69,87
920003337,E000000000583,U,1540,LIMA,PACHACAMAC,-12.1016576,-76.8751465,MINORISTAS,BODEGA,C,98,102,56,81
920003480,E000000000584,V,143,LIMA,LA VICTORIA,-12.0638041,-77.0031259,MINORISTAS,BODEGA,D,29,43,42,38
920004821,E000000000591,V,1474,LIMA,CHORRILLOS,-12.1659329,-77.0214652,MINORISTAS,BODEGA,C,63,51,67,69
920005852,E000000000593,U,1166,LIMA,ATE,-12.0434415,-76.9376378,MINORISTAS,BODEGA,C,57,57,100,114
920008652,E000000000610,V,572,LIMA,SURQUILLO,-12.117312,-77.0239113,MINORISTAS,AMBULANTE,D,51,45,47,46
920013519,E000000000622,U,1221,LIMA,LOS OLIVOS,-11.9921965,-77.0721263,MINORISTAS,BODEGA,C,87,99,63,58
920018377,E000000000636,V,836,LIMA,ANCON,-11.8132,-77.1305,MINORISTAS,BODEGA,D,122,74,84,126
920019926,E000000000640,U,1804,LIMA,SAN JUAN DE MIRAFLORES,-12.1311988,-77.0221262,MINORISTAS,BODEGA,C,109,47,76,50
920021794,E000000000646,V,132,LIMA,SAN JUAN DE LURIGANCHO,-11.9813,-77.0208,PERSONAL,PERSONAL,D,54,39,34,24
920023187,E000000000648,V,1353,LIMA,INDEPENDENCIA,-11.99224,-77.0467682,MINORISTAS,FARMACIA,C,53,75,33,65
920029318,E000000000662,U,561,LIMA,LIMA,-12.052863,-77.065745,MINORISTAS,BODEGA,D,51,54,108,98
920037702,E000000000680,U,3432,LIMA,LURIGANCHO,-12.0067197,-76.9491261,MINORISTAS,BODEGA,C,683,618,554,970
920041980,E000000000698,U,1265,LIMA,SAN JUAN DE LURIGANCHO,-12.033,-77.0169983,MINORISTAS,BODEGA,C,59,106,84,55
920043514,E000000000703,V,2607,LIMA,LURIGANCHO,-11.9570503,-76.7339325,MINORISTAS,BODEGA,C,177,223,154,132
920044759,E000000000708,U,110,LIMA,SAN JUAN DE LURIGANCHO,-11.9991398,-76.99897,MINORISTAS,BODEGA,D,47,37,55,45
920060331,E000000000752,U,1166,LIMA,VILLA EL SALVADOR,-12.2390413,-76.9229741,MINORISTAS,BODEGA,C,89,59,79,66
920065009,E000000000768,U,1045,LIMA,PUENTE PIEDRA,-11.9343039,-77.0990808,MINORISTAS,BODEGA,C,120,76,48,99
920071902,E000000000784,U,20053,LIMA,LOS OLIVOS,-11.9471958,-77.0801263,MINORISTAS,BODEGA,B,554,452,672,666
920076244,E000000000797,U,2222,LIMA,INDEPENDENCIA,-12.0044608,-77.0522271,MINORISTAS,BODEGA,C,123,168,169,185
920079080,E000000000802,U,1507,LIMA,SAN MARTIN DE PORRES,-12.0103197,-77.0853882,MINORISTAS,BODEGA,C,53,69,93,54
920079187,E000000000804,U,4180,LIMA,LOS OLIVOS,-11.9595526,-77.0694036,MINORISTAS,BODEGA,C,732,610,535,530
920088469,E000000000832,U,913,CAÑETE,NUEVO IMPERIAL,-13.0739,-76.3134,MINORISTAS,LIBRERIA,D,68,73,119,48
920089797,E000000000836,U,1012,LIMA,VILLA EL SALVADOR,-12.1851851,-76.9458454,MINORISTAS,BODEGA,C,90,87,89,43
920098937,E000000000862,U,1386,CAÑETE,LUNAHUANA,-13.4105,-76.116,MINORISTAS,BODEGA,C,69,76,75,89
920102186,E000000000871,U,1122,LIMA,SAN MARTIN DE PORRES,-11.9821963,-77.0971263,MINORISTAS,FERRETERIA,C,101,76,47,78
920103297,E000000000878,U,2123,LIMA,VILLA MARIA DEL TRIUNFO,-11.8136702,-76.3548813,MINORISTAS,BODEGA,C,55,246,213,115
920104576,E000000000882,U,1584,LIMA,SAN MIGUEL,-12.074252,-77.0870913,MINORISTAS,BODEGA,C,26,97,97,51
920108559,E000000000894,U,44,LIMA,SAN JUAN DE LURIGANCHO,-12.033,-77.0169983,MINORISTAS,BOTICA,E,50,40,22,23
920130613,E000000000956,U,2893,LIMA,LINCE,-12.089732,-77.0324813,MINORISTAS,BODEGA,C,87,177,230,105
920132837,E000000000961,U,1122,CAÑETE,IMPERIAL,-13.0601,-76.3527,MINORISTAS,BODEGA,C,79,83,103,82
920141209,E000000000986,V,7810,LIMA,CHORRILLOS,-12.193965,-76.976647,MINORISTAS,BODEGA,C,452,588,609,335
920146173,E000000000994,U,1474,LIMA,SAN MARTIN DE PORRES,,-77.1171263,MINORISTAS,BODEGA,C,83,79,73,45
920152275,E000000001012,U,88,LIMA,LOS OLIVOS,-11.9762697,-77.0750732,MINORISTAS,BODEGA,E,25,13,43,27
920157358,E000000001027,U,22,LIMA,LURIGANCHO,-11.9779,-76.9416,MINORISTAS,BODEGA,E,33,15,22,11
920175242,E000000001057,U,286,LIMA,COMAS,-11.9028363,-77.0423233,MINORISTAS,BODEGA,D,91,43,49,47
920179703,E000000001074,V,264,LIMA,VILLA MARIA DEL TRIUNFO,-12.1781547,-76.9488542,MINORISTAS,FARMACIA,D,68,23,41,84
920184774,E000000001086,U,66,LIMA,RIMAC,-12.0401973,-77.0181262,MINORISTAS,BODEGA,E,26,27,34,32
920197205,E000000001116,U,330,LIMA,ATE,-12.0221565,-76.8821278,MINORISTAS,BODEGA,D,50,89,61,103
920205658,E000000001142,U,374,LIMA,SAN MARTIN DE PORRES,-12.026192,-77.0881263,MINORISTAS,BODEGA,D,74,71,54,91
920209732,E000000001154,V,1166,LIMA,VILLA EL SALVADOR,-12.2183124,-76.9495423,MINORISTAS,BODEGA,C,52,73,92,25
920213154,E000000001164,U,2365,LIMA,EL AGUSTINO,-12.05,-77.0112,MINORISTAS,BODEGA,C,149,192,147,277
