geoAreaCodigo,geoAreaNombre,level_,parentCode,parentName,X,Y,ISO3,UN_Member,n_years,min_year,max_year,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018,value_2019,latest_value
4,Afghanistan,5,127,Southern Asia (excluding India),66.02688198,33.83160199,AFG,1,20,2000,2019,9.216,8.863,8.473,8.092,7.753,7.508,7.402,7.249,7.492,7.498,8.273,8.132,9.289,9.099,8.948,8.793,9.872,9.792,9.548,9.593,9.593
12,Algeria,4,15,Northern Africa,2.678164227,28.15940032,DZA,1,20,2000,2019,8.91,8.794,8.683,8.573,8.461,8.344,7.42,7.305,6.64,6.441,7.021,6.89,6.757,6.623,6.78,7.851,11.884,16.024,16.245,15.934,15.934
16,American Samoa,4,543,Oceania (exc. Australia and New Zealand),-170.7187269,-14.30587306,ASM,0,20,2000,2019,0,0,0,0,0,0,0,0,0,0,0,0,43.399,43.362,43.304,43.293,68.641,75.085,91.343,91.59,91.59
24,Angola,4,17,Middle Africa,17.57817062,-12.33724746,AGO,1,20,2000,2019,14.369,13.904,13.457,13.014,26.442,25.533,24.634,36.27,35.785,34.506,33.339,32.175,34.522,36.439,37.716,36.474,60.633,81.472,89.687,86.825,86.825
660,Anguilla,4,29,Caribbean,-63.05651612,18.21525315,AIA,0,20,2000,2019,0,0,0,0,0,0,0,0,0,0,0,0,4.495,4.444,80.842,79.908,148.32,146.764,77.419,101.6,101.6
28,Antigua and Barbuda,4,29,Caribbean,-61.7999755,17.07761471,ATG,1,20,2000,2019,0,0,0,0,0,0,0,0,0,1.153,1.136,3.361,3.318,4.371,4.321,36.336,37.029,40.87,86.205,85.466,85.466
32,Argentina,4,5,South America,-65.14563274,-35.19446255,ARG,1,20,2000,2019,235.622,234.094,236.352,234.678,236.045,234.569,232.458,231.189,230.412,229.142,227.402,225.859,226.336,225.47,223.677,247.367,245.229,244.819,259.466,283.362,283.362
51,Armenia,4,145,Western Asia,44.93839317,40.29499741,ARM,1,20,2000,2019,333.659,331.893,384.149,387.616,341.152,345.27,357.82,364.501,372.587,380.126,391.733,400.565,434.479,445.763,446.621,440.702,448.045,452.367,459.608,469.727,469.727
533,Aruba,4,29,Caribbean,-69.97050586,12.50878756,ABW,0,20,2000,2019,0,0,0,0,0,0,0,0,0,295.706,296.07,296.913,302.247,306.305,355.574,365.156,363.324,361.614,359.957,358.386,358.386
31,Azerbaijan,4,145,Western Asia,50.01064725,40.39229544,AZE,1,20,2000,2019,113.508,113.818,112.842,116.009,114.807,113.602,118.77,117.5,116.2,110.831,110.413,109.225,110.527,119.834,117.836,119.909,121.574,121.23,128.323,127.298,127.298
44,Bahamas,4,29,Caribbean,-78.05111663,24.69546597,BHS,1,20,2000,2019,0,0,0,0,0,0,0,0.296,0.291,0.572,0.845,1.143,1.705,1.702,3.443,3.466,3.763,3.508,3.472,5.813,5.813
