edad,etapa,,,,,,,,,,,
0,Bebé,,,,,,,,,,,
1,Niño pequeño,,,,,,,,,,,
2,Niño pequeño,,,,,,,,,,,
3,Preescolar,,,,,,,,,,,
4,Preescolar,,,,,,,,,,,
5,Infancia,,,,,,,,,,,
6,Infancia,,,,,,,,,,,
7,Infancia,,,,,,,,,,,
8,Infancia,,,,,,,,,,,
9,Infancia,,,,,,,,,,,
10,Infancia,,,,,,,,,,,
11,Infancia,,,,,,,,,,,
12,Adolescente,,,,,,,,,,,
13,Adolescente,,,,,,,,,,,
14,Adolescente,,,,,,,,,,,
15,Adolescente,,,,,,,,,,,
16,Adolescente,,,,,,,,,,,
17,Adolescente,,,,,,,,,,,
18,Joven adulto,,,,,,,,,,,
19,Joven adulto,,,,,,,,,,,
20,Joven adulto,,,,,,,,,,,
21,Adulto,,,,,,,,,,,
22,Adulto,,,,,,,,,,,
23,Adulto,,,,,,,,,,,
24,Adulto,,,,,,,,,,,
25,Adulto,,,,,,,,,,,
26,Adulto,,,,,,,,,,,
27,Adulto,,,,,,,,,,,
28,Adulto,,,,,,,,,,,
29,Adulto,,,,,,,,,,,
30,Adulto,,,,,,,,,,,
31,Adulto,,,,,,,,,,,
32,Adulto,,,,,,,,,,,
33,Adulto,,,,,,,,,,,
34,Adulto,,,,,,,,,,,
35,Adulto,,,,,,,,,,,
36,Adulto,,,,,,,,,,,
37,Adulto,,,,,,,,,,,
38,Adulto,,,,,,,,,,,
39,Adulto,,,,,,,,,,,
40,Adulto,,,,,,,,,,,
41,Adulto,,,,,,,,,,,
42,Adulto,,,,,,,,,,,
43,Adulto,,,,,,,,,,,
44,Adulto,,,,,,,,,,,
45,Adulto,,,,,,,,,,,
46,Adulto,,,,,,,,,,,
47,Adulto,,,,,,,,,,,
48,Adulto,,,,,,,,,,,
49,Adulto,,,,,,,,,,,
50,Adulto,,,,,,,,,,,
51,Adulto,,,,,,,,,,,
52,Adulto,,,,,,,,,,,
53,Adulto,,,,,,,,,,,
54,Adulto,,,,,,,,,,,
55,Adulto,,,,,,,,,,,
56,Adulto,,,,,,,,,,,
57,Adulto,,,,,,,,,,,
58,Adulto,,,,,,,,,,,
59,Adulto,,,,,,,,,,,
60,Adulto,,,,,,,,,,,
61,Adulto,,,,,,,,,,,
62,Adulto,,,,,,,,,,,
63,Adulto,,,,,,,,,,,
64,Adulto,,,,,,,,,,,
65,Persona mayor,,,,,,,,,,,
66,Persona mayor,,,,,,,,,,,
67,Persona mayor,,,,,,,,,,,
68,Persona mayor,,,,,,,,,,,
69,Persona mayor,,,,,,,,,,,
70,Persona mayor,,,,,,,,,,,
71,Persona mayor,,,,,,,,,,,
72,Persona mayor,,,,,,,,,,,
73,Persona mayor,,,,,,,,,,,
74,Persona mayor,,,,,,,,,,,
75,Persona mayor,,,,,,,,,,,
76,Persona mayor,,,,,,,,,,,
77,Persona mayor,,,,,,,,,,,
78,Persona mayor,,,,,,,,,,,
79,Persona mayor,,,,,,,,,,,
80,Persona mayor,,,,,,,,,,,
81,Persona mayor,,,,,,,,,,,
82,Persona mayor,,,,,,,,,,,
83,Persona mayor,,,,,,,,,,,
84,Persona mayor,,,,,,,,,,,
85,Persona mayor,,,,,,,,,,,
86,Persona mayor,,,,,,,,,,,
87,Persona mayor,,,,,,,,,,,
88,Persona mayor,,,,,,,,,,,
89,Persona mayor,,,,,,,,,,,
90,Persona mayor,,,,,,,,,,,
91,Persona mayor,,,,,,,,,,,
92,Persona mayor,,,,,,,,,,,
93,Persona mayor,,,,,,,,,,,
94,Persona mayor,,,,,,,,,,,
95,Persona mayor,,,,,,,,,,,
96,Persona mayor,,,,,,,,,,,
97,Persona mayor,,,,,,,,,,,
98,Persona mayor,,,,,,,,,,,
99,Persona mayor,,,,,,,,,,,
100,Persona mayor,,,,,,,,,,,
101,Persona mayor,,,,,,,,,,,
102,Persona mayor,,,,,,,,,,,
103,Persona mayor,,,,,,,,,,,
104,Persona mayor,,,,,,,,,,,
105,Persona mayor,,,,,,,,,,,
106,Persona mayor,,,,,,,,,,,
107,Persona mayor,,,,,,,,,,,
108,Persona mayor,,,,,,,,,,,
109,Persona mayor,,,,,,,,,,,
110,Persona mayor,,,,,,,,,,,
111,Persona mayor,,,,,,,,,,,
112,Persona mayor,,,,,,,,,,,
113,Persona mayor,,,,,,,,,,,
114,Persona mayor,,,,,,,,,,,
115,Persona mayor,,,,,,,,,,,
116,Persona mayor,,,,,,,,,,,
117,Persona mayor,,,,,,,,,,,
118,Persona mayor,,,,,,,,,,,
119,Persona mayor,,,,,,,,,,,
120,Persona mayor,,,,,,,,,,,
121,Persona mayor,,,,,,,,,,,
122,Persona mayor,,,,,,,,,,,
123,Persona mayor,,,,,,,,,,,
124,Persona mayor,,,,,,,,,,,
125,Persona mayor,,,,,,,,,,,
126,Persona mayor,,,,,,,,,,,
127,Persona mayor,,,,,,,,,,,
128,Persona mayor,,,,,,,,,,,
129,Persona mayor,,,,,,,,,,,
130,Persona mayor,,,,,,,,,,,
131,Persona mayor,,,,,,,,,,,
132,Persona mayor,,,,,,,,,,,
133,Persona mayor,,,,,,,,,,,
134,Persona mayor,,,,,,,,,,,
135,Persona mayor,,,,,,,,,,,
136,Persona mayor,,,,,,,,,,,
137,Persona mayor,,,,,,,,,,,
138,Persona mayor,,,,,,,,,,,
139,Persona mayor,,,,,,,,,,,
140,Persona mayor,,,,,,,,,,,
141,Persona mayor,,,,,,,,,,,
142,Persona mayor,,,,,,,,,,,
143,Persona mayor,,,,,,,,,,,
144,Persona mayor,,,,,,,,,,,
145,Persona mayor,,,,,,,,,,,
146,Persona mayor,,,,,,,,,,,
147,Persona mayor,,,,,,,,,,,
148,Persona mayor,,,,,,,,,,,
149,Persona mayor,,,,,,,,,,,
150,Persona mayor,,,,,,,,,,,
,,,,,,,,,,,,
