Variable,Categoría,Descripción
Ubigeo,Categórica Nominal,Ubicación geográfica que se indica en el documento de Identidad
Departamento,Categórica Nominal,Departamento de Residencia
Provincia,Categórica Nominal,Provincia de Residencia
Distrito,Categórica Nominal,Distrito de Residencia
ID de persona,Categórica Nominal,Número de identificación de la persona
Fecha de Fallecimiento,Categórica Nominal,Fecha de defunción Oficial
Edad,Numérica continua,Edad cumplida de las personas
Sexo,Categórica Nominal,Género de la persona
Positividad,Categórica Nominal,Positivo o negativo ante la prueba de COVID
Fecha dosis 1,Categórica Nominal,Fecha de la administración de la Primera Dosis
Fecha dosis 2,Categórica Nominal,Fecha de administración de la Segunda dosis
Fabricante de Vacuna,Categórica Nominal,"Empresa que fábrico la vacuna que se le fue suministrada a la persona (Astrazeneca, Pfizer, etc)"
EESS nombre,Categórica Nominal,Nombre completo del establecimiento de Salud
Fecha de ingreso,Categórica Nominal,Fecha de hospitalización de la persona
Fecha de Ingreso UCI,Categórica Nominal,Fecha en la que la persona ingreso a la Unidad de Cuidados Intensivos
Fecha de Ingreso UCIN,Categórica Nominal,Fecha de ingreso de la persona a la Unidad de Cuidados Intensivos Neonatales
Con Oxígeno,Categórica Nominal,Si la persona requería de oxígeno
Con Ventilación,Categórica Nominal,Sí la persona requería de asistencia para respirar mediante ventilación mecánica
Altitud,Numérica Continua,"Altura encontraba la persona, medida en m.s.n.m"
Región,Categórica Nominal,Región en la que vivía la persona
Población por departamento,Numérica Continua,Cantidad de personas que viven en un departamento del Perú específico
Etapa,Categórica Nominal,"El nombre de la etapa en la que se encontraba la persona, dependiendo de su edad."
