Ubigeo,Categórica,Ubicación geográfica que se indica en el documento de Identidad
Departamento,Categórica Nominal,Departamento de Residencia
Provincia,Categórica Nominal,Provincia de Residencia
Distrito,Categórica Nominal,Distrito de Residencia
Altitud,Numérica Discreta,Altitud medida en m.s.n.m a la que se encuentra el distrito
ID de persona,Categórica Nominal,Número de DNI de la persona
Fecha de Fallecimiento,Categórica Nominal,Fecha de defunción Oficial
Edad,Numérica continua,Edad cumplida de las personas
Sexo,Categórica Nominal,Identidad Sexual de la persona la cual figura en su DNI
Positividad,Categórica Nominal,Si la prueba salió positiva o no antes que la persona falleciera.
Fecha dosis 1,Categórica Nominal,Fecha de la administración de la Primera Dosis
Fecha dosis 2,Categórica Nominal,Fecha de administración de la Segunda dosis
Fabricante de Vacuna,Categórica Nominal,"Empresa que fábrico la vacuna que se le fue suministrada a la persona (Astrazeneca, Pfizer, etc)"
EESS nombre,Categórica Nominal,Nombre completo del establecimiento de Salud
Fecha de ingreso,Categórica Nominal,Fecha de hospitalización de la persona
Fecha de Ingreso UCI,Categórica Nominal,Fecha en la que la persona ingreso a la Unidad de Cuidados Intensivos
Fecha de Ingreso UCIN,Categórica Nominal,Fecha de ingreso de la persona a la Unidad de Cuidados Intensivos Neonatales
Con Oxígeno,Categórica Nominal,Si la persona requería de oxígeno
Con Ventilación,Categórica Nominal,Sí la persona requería de asistencia para respirar mediante ventilación mecánica
Altitud,Numérica Continua,"Altura encontraba la persona, medida en m.s.n.m"
Región,Categórica Nominal,Región en la que vivía la persona
Población por departamento,Numérica Continua,Cantidad de personas que viven en un departamento del Perú específico
Etapa,Categórica Nominal,"El nombre de la etapa en la que se encontraba la persona, dependiendo de su edad."
