dpt_cdc,prov_cdc,dist_cdc,altitud
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2339
AMAZONAS,CHACHAPOYAS,ASUNCION,2783
AMAZONAS,CHACHAPOYAS,BALSAS,849
AMAZONAS,CHACHAPOYAS,CHETO,2129
AMAZONAS,CHACHAPOYAS,CHILIQUIN,2617
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,2815
AMAZONAS,CHACHAPOYAS,GRANADA,2935
AMAZONAS,CHACHAPOYAS,HUANCAS,2506
AMAZONAS,CHACHAPOYAS,LA JALCA,2795
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,2158
AMAZONAS,CHACHAPOYAS,LEVANTO,2651
AMAZONAS,CHACHAPOYAS,MAGDALENA,1865
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,2288
AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,2421
AMAZONAS,CHACHAPOYAS,MONTEVIDEO,2426
AMAZONAS,CHACHAPOYAS,OLLEROS,3143
AMAZONAS,CHACHAPOYAS,QUINJALCA,2800
AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,2280
AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,2786
AMAZONAS,CHACHAPOYAS,SOLOCO,2434
AMAZONAS,CHACHAPOYAS,SONCHE,2086
AMAZONAS,BAGUA,BAGUA,421
AMAZONAS,BAGUA,ARAMANGO,531
AMAZONAS,BAGUA,COPALLIN,700
AMAZONAS,BAGUA,EL PARCO,597
AMAZONAS,BAGUA,IMAZA,347
AMAZONAS,BAGUA,LA PECA,900
AMAZONAS,BONGARA,JUMBILLA,1991
AMAZONAS,BONGARA,CHISQUILLA,2013
AMAZONAS,BONGARA,CHURUJA,1383
AMAZONAS,BONGARA,COROSHA,2180
AMAZONAS,BONGARA,CUISPES,1937
AMAZONAS,BONGARA,FLORIDA,2225
AMAZONAS,BONGARA,JAZAN,1299
AMAZONAS,BONGARA,RECTA,2140
AMAZONAS,BONGARA,SAN CARLOS,1890
AMAZONAS,BONGARA,SHIPASBAMBA,2083
AMAZONAS,BONGARA,VALERA,1978
AMAZONAS,BONGARA,YAMBRASBAMBA,1995
AMAZONAS,CONDORCANQUI,NIEVA,222
AMAZONAS,CONDORCANQUI,EL CENEPA,303
AMAZONAS,CONDORCANQUI,RIO SANTIAGO,192
AMAZONAS,LUYA,LAMUD,2307
AMAZONAS,LUYA,CAMPORREDONDO,1767
AMAZONAS,LUYA,COCABAMBA,2576
AMAZONAS,LUYA,COLCAMAR,2304
AMAZONAS,LUYA,CONILA,3158
AMAZONAS,LUYA,INGUILPATA,2395
AMAZONAS,LUYA,LONGUITA,2800
AMAZONAS,LUYA,LONYA CHICO,2306
AMAZONAS,LUYA,LUYA,2339
AMAZONAS,LUYA,LUYA VIEJO,2761
AMAZONAS,LUYA,MARIA,3420
AMAZONAS,LUYA,OCALLI,1774
AMAZONAS,LUYA,OCUMAL,1802
AMAZONAS,LUYA,PISUQUIA,2671
AMAZONAS,LUYA,PROVIDENCIA,1750
AMAZONAS,LUYA,SAN CRISTOBAL,2552
AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,2379
AMAZONAS,LUYA,SAN JERONIMO,2239
AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,2920
AMAZONAS,LUYA,SANTA CATALINA,2665
AMAZONAS,LUYA,SANTO TOMAS,2595
AMAZONAS,LUYA,TINGO,1811
AMAZONAS,LUYA,TRITA,2728
AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,1584
AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,2040
AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,1697
AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,1684
AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,1656
AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,1584
AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,1700
AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUC,1675
AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,1367
AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,1756
AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,1672
AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,1515
AMAZONAS,UTCUBAMBA,BAGUA GRANDE,446
AMAZONAS,UTCUBAMBA,CAJARURO,455
AMAZONAS,UTCUBAMBA,CUMBA,456
AMAZONAS,UTCUBAMBA,EL MILAGRO,391
AMAZONAS,UTCUBAMBA,JAMALCA,1201
AMAZONAS,UTCUBAMBA,LONYA GRANDE,1222
AMAZONAS,UTCUBAMBA,YAMON,1022
ANCASH,HUARAZ,HUARAZ,3038
ANCASH,HUARAZ,COCHABAMBA,2213
ANCASH,HUARAZ,COLCABAMBA,3150
ANCASH,HUARAZ,HUANCHAY,2592
ANCASH,HUARAZ,INDEPENDENCIA,3023
ANCASH,HUARAZ,JANGAS,2809
ANCASH,HUARAZ,LA LIBERTAD,3350
ANCASH,HUARAZ,OLLEROS,3457
ANCASH,HUARAZ,PAMPAS GRANDE,3642
ANCASH,HUARAZ,PARIACOTO,1221
ANCASH,HUARAZ,PIRA,3580
