region,dep_min,dpt_cdc
Costa,Tumbes,TUMBES
Costa,Piura,PIURA
Costa,Lambayeque,LAMBAYEQUE
Costa,Callao,CALLAO
Costa,La Libertad,LA LIBERTAD
Costa,Ancash,ANCASH
Costa,Lima,LIMA
Costa,Ica,ICA
Costa,Arequipa,AREQUIPA
Costa,Moquegua,MOQUEGUA
Costa,Tacna,TACNA
Sierra,Huanuco,HUANUCO
Sierra,Junin,JUNIN
Sierra,Ayacucho,AYACUCHO
Sierra,Cuzco,CUSCO
Sierra,Pasco,PASCO
Sierra,Huancavelica,HUANCAVELICA
Sierra,Puno,PUNO
Sierra,Apurimac,APURIMAC
Sierra,Cajamarca,CAJAMARCA
Selva,Loreto,LORETO
Selva,Ucayali,UCAYALI
Selva,Madre de dios,MADRE DE DIOS
Selva,Amazonas,AMAZONAS
Selva,San Martin,SAN MARTIN
