"PANO,C,4","PMES,C,2","CONGLOME,C,6","SUBMUESTRA,C,3","VIVIENDA,C,4","HOGAR,C,2","CODPERSO,C,2","DOMINIO,N,1,0","ESTRATO,N,1,0","CODPANEL,C,8","P103,N,1,0","P104,N,1,0","P105,N,1,0","P106,N,1,0","P107,N,1,0","P108,N,2,0","P109A,N,2,0","P109B,N,2,0","P109C,N,1,0","P200N,N,2,0","P200I,N,2,0","P200A,N,2,0","P200B,N,2,0","P200BB,N,4,0","P200C,N,2,0","P200D,N,2,0","P200DD,N,4,0","P200E,N,2,0","P200F,N,2,0","P200G,N,4,0","P201,N,1,0","P202,N,1,0","P203,N,1,0","P204,N,1,0","P2041,N,1,0","P2042,N,1,0","P2043,N,1,0","P2044,N,1,0","P2045,N,1,0","P2046,N,1,0","P2047,N,1,0","P2048,N,1,0","P2049,N,1,0","P20410,N,1,0","P204A,N,3,0","P205A,N,4,0","P206,N,1,0","P206AA,N,1,0","P207A,N,1,0","P207B,N,4,0","P208B1,N,2,0","P208B2,N,2,0","P208B3,N,4,0","P209A,N,2,0","P209B,N,2,0","P209C,N,2,0","P209D,N,2,0","P209E,N,2,0","P209F,N,2,0","P209G,N,2,0","P209T,N,3,0","P209BB,N,1,0","P209CC,N,3,0","P209H,N,1,0","P209EE,N,1,0","P210,N,1,0","P211A,N,6,0","P211B,N,6,0","P212A,N,6,0","P212B,N,6,0","P212C,N,6,0","P212D,N,6,0","P212E,N,1,0","P213,N,1,0","P214,N,2,0","P215,N,1,0","P216,N,1,0","P217,N,2,0","P218,N,1,0","P219,N,3,0","P220,N,1,0","P222,N,1,0","P223A1,N,1,0","P223A2,N,1,0","P223A3,N,1,0","P223A4,N,1,0","P223A5,N,1,0","P223A6,N,1,0","P223A7,N,1,0","P224,N,1,0","P225,N,1,0","OCU200,N,1,0","I211A,N,6,0","I211B,N,6,0","I212A,N,6,0","I212B,N,6,0","I212C,N,6,0","I212D,N,6,0","INGTOT,N,8,0","INGPRIN,N,8,0","RESIDENT,N,1,0","FA_MAM20,N,8,2"
2020,03,017300,002,0041,11,01,0,5,19031101,1,1,2,0,2,24,3,0,4,1,1,1,3,2020,7,3,2020,18,1,1996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,335,4630,3,5,1,80,15,2,2020,0,8,8,0,0,0,0,16,2,48,1,2,2,300,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,4,1,1299,0,0,0,0,0,1299,1299,1,473.57
2020,03,017300,002,0041,11,02,0,5,19031102,3,1,2,0,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
2020,03,017300,002,0041,11,03,0,5,19031103,3,1,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
2020,03,017300,002,0042,11,01,0,5,19031101,1,1,2,0,1,26,4,0,6,1,1,1,3,2020,7,3,2020,24,9,1993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,987,4922,4,5,1,8,99,99,2012,0,8,8,8,8,8,0,40,1,0,2,1,2,220,70,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,4,4,1,953,303,0,0,0,0,1256,1256,1,502.19
2020,03,017300,002,0043,11,01,0,5,19031101,1,1,2,0,1,35,6,5,0,1,1,1,3,2020,7,3,2020,3,12,1984,1,0,0,0,0,0,0,0,0,0,0,0,0,0,364,4773,1,0,1,3,15,1,2020,12,12,12,12,12,12,12,84,1,0,1,2,0,0,0,2000,30,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1,4,1,0,0,2000,30,0,0,2030,2030,1,502.19
2020,03,017300,002,0043,11,02,0,5,19031102,2,1,2,0,2,33,6,5,0,2,2,1,3,2020,7,3,2020,16,5,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,454,4773,5,5,1,3,15,1,2020,8,8,8,8,8,8,8,56,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1,4,1,0,0,0,0,0,0,0,0,1,446.73
2020,03,017300,002,0043,11,03,0,5,19031103,3,1,2,0,1,11,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
2020,03,017300,002,0043,11,04,0,5,19031104,3,1,2,0,2,7,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
2020,03,017300,002,0043,11,05,0,5,20031105,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
2020,03,017300,002,0052,11,01,0,5,19031101,1,1,2,0,2,42,6,5,0,1,1,1,3,2020,7,3,2020,23,11,1977,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,0,0,0,0,1,5,0,0,0,0,0,0,1,6,4,4,0,0,0,0,0,0,0,0,1,446.73
