Marca temporal,¿En qué departamento te encuentras? (Ejemplo: Loreto),¿Qué tipo de conexión a internet usas? ,¿Qué empresa es tu distribuidor de internet? ,¿Qué monto en soles pagas por este servicio? (Ejemplo: 50),¿Cuánto es tu ping? (Ejemplo: 2),"¿Cuál es tu velocidad de carga? (En Mbps, ejemplo: 100)","¿Cuál es tu velocidad de descarga? (En Mbps, ejemplo: 20)",¿Cuántas horas utilizas el internet al día? ,¿Cuántas personas utilizan el internet? ,¿Para qué usas el internet? ,¿Qué tan conforme está con su servicio de internet? ,¿Qué problemas ha tenido con su internet? ,"¿Qué velocidad de descarga máxima te ofrece tu plan de Internet? (En Mbps, ejemplo: 100)","¿Qué velocidad de carga máxima te ofrece tu plan de Internet? (En Mbps, ejemplo: 30)"
28/09/2021 21:48:59,Lima,Wifi,Movistar,150,22,11,196,Más de 8 horas,3,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música, Otros",1,La conexión se pierde por algunos minutos,150,15
28/09/2021 21:53:26,Callao,Wifi,Claro,100,9,32.34,97,Más de 8 horas,5,"Clases en línea, Ver videos, Escuchar música",4,La conexión se pierde por algunos segundos,100,30
28/09/2021 22:06:56,Callao,Cable,Movistar,70,5,44.2,49.98,Más de 8 horas,2,Clases en línea,4,"La conexión se pierde por algunos segundos, La conexión se pierde por algunos minutos, Demora excesiva de carga o descarga de archivos, Problemas de audio y video en zoom., Otros",50,15
28/09/2021 22:30:53,Lima,Wifi,Win,120,40,90,90,De 5 a 8 horas,2,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",5,Otros,160,30
28/09/2021 22:56:59,Callao,Wifi,Alta velocidad network,50,50,4.1,10,Más de 8 horas,4,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",3,"La conexión se pierde por algunos segundos, Demora excesiva de carga o descarga de archivos",10,5
28/09/2021 23:00:41,Lima,Wifi,Cable Vision,105,5,4.72,9.44,Más de 8 horas,5,"Clases en línea, Ver videos, Redes sociales",2,"La conexión se pierde por algunos minutos, Demora excesiva de carga o descarga de archivos, Problemas de audio y video en zoom.",80,30
28/09/2021 23:22:02,Cajamarca,Datos,Movistar,65,23,0.48,1.02,Más de 8 horas,1,"Clases en línea, Ver videos, Redes sociales, Escuchar música",2,"La conexión se pierde por algunos segundos, Demora excesiva de carga o descarga de archivos",30,10
28/09/2021 23:26:47,La Libertad,Wifi,Claro,80,10,15,25,Más de 8 horas,4,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música, Otros",3,"La conexión se pierde por algunos segundos, La conexión se pierde por algunos minutos",100,30
28/09/2021 23:32:44,Cajamarca,Cable,Movistar,120,5,24.61,26.79,Más de 8 horas,4,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música, Otros",3,"La conexión se pierde por algunos segundos, Problemas de audio y video en zoom.",100,30
28/09/2021 23:32:58,Lima,Wifi,Movistar,50,19,5.8,25,Más de 8 horas,7,"Clases en línea, Ver videos, Redes sociales, Escuchar música",3,"La conexión se pierde por algunos segundos, Demora excesiva de carga o descarga de archivos",30,10
