,,Edad,Sexo,Ciclo ,Carrera,¿Su familia posee alguna empresa en la que usted pueda trabajar en un futuro?,¿Tiene pensado trabajar en una empresa o formar su propia empresa?,¿Planeas trabajar en el país o ir al extranjero?,¿En qué sector laboral esperas trabajar ? ,¿Estás interesado en llevar una especialización en empresas?,¿Cuál es su expectativa salarial teniendo como mínimo S/.1025 y como máximo S/.6500 soles? (coloque su respuesta solo números ejemplo: 2500)
,,20,Masculino,5,Ciencia de la Computación,"No, no tenemos una empresa",Trabajar para una empresa,Extranjero,Sector Privado (Empresas Privadas),No,4000
,,18,Masculino,3,Ciencia de la Computación,"Sí, tenemos una empresa",Formar empresa,Extranjero,Sector Privado (Empresas Privadas),Sí,6000
,,18,Masculino,3,Ingeniería Industrial,"No, no tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),Sí,4000
,,18,Masculino,3,Ingeniería Mecatrónica,"No, no tenemos una empresa",Formar empresa,Extranjero,Sector Privado (Empresas Privadas),Sí,4500
,,19,Masculino,4,Ciencia de la Computación,"Sí, tenemos una empresa",Trabajar para una empresa,Extranjero,Sector Privado (Empresas Privadas),Sí,2800
,,21,Masculino,2,Ingeniería Civil,"No, no tenemos una empresa",Formar empresa,Extranjero,Sector Privado (Empresas Privadas),Sí,5000
,,21,Masculino,6,Ciencia de la Computación,"Sí, tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,3500
,,23,Masculino,3,Ingeniería Mecatrónica,"No, no tenemos una empresa",Trabajar para una empresa,Extranjero,Sector Privado (Empresas Privadas),No,6500
,,20,Masculino,9,Ingeniería Mecatrónica,"No, no tenemos una empresa",Trabajar para una empresa,Extranjero,Sector Privado (Empresas Privadas),No,3000
,,19/,Femenino,3,Ingeniería Industrial,"No, no tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,6500
,,22,Masculino,5,Ingeniería Química,"No, no tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,3000
