Código del Alumno,Edad,Sexo ,Ciclo,Carrera,Precio del Celular aproximado ,Modelo del Celular ,Almacenamiento del Celular (GB),Sistema Operativo ,Cámaras totales,Calidad de la cámara principal,Tiempo de carga del Celular,Duración de la batería,Satisfacción de tu celular 
202120739,19,Femenino,2,Ingeniería Ambiental,3500,Apple,256,IOS ( Apple ),3,12,40,840,5
202120164,19,Masculino,2,Ingeniería Industrial,980,Motorola ,128,Android,4,48,60,270,4
202210035,17,Masculino,1,Ingeniería Mecatrónica,1000,Samsung,64,Android,4,48,60,420,4
202120429,18,Masculino,2,Ingeniería Industrial,1090,Otros,128,Android,4,48,90,1440,5
202120342,19,Femenino,2,Ingeniería Industrial,1800,Samsung,64,Android,4,64,60,1440,5
202120133,18,Femenino,2,Ingeniería Industrial,800,Samsung,64,Android,5,64,120,480,5
202120124,18,Femenino,2,Ingeniería Industrial,1200,Xiaomi,128,Android,4,32,60,240,4
202120049,19,Masculino,2,Ingeniería Civil,700,Xiaomi,128,Android,3,48,60,120,4
202120111,19,Masculino,2,Ingeniería Industrial,780,Xiaomi,128,Android,3,48,120,420,4
202020092,19,Masculino,4,Ingeniería Civil,450,Huawei,32,Android,2,12,120,90,2
202120154,22,Femenino,2,Ingeniería Industrial,2200,Samsung,128,Android,3,64,180,420,4
202120314,18,Femenino,2,Ingeniería Civil,1100,Motorola ,128,Android,4,48,75,480,5
202120177,19,Masculino,2,Ingeniería Industrial,750,Huawei,16,Android,2,16,90,240,4
202120081,18,Femenino,2,Ingeniería Industrial,880,Samsung,32,Android,4,64,60,1020,5
202120302,18,Masculino,2,Ciencias de la Computación,1100,Samsung,64,Android,4,32,90,170,5
202010009,20,Masculino,2,Ciencias de la Computación,700,Xiaomi,64,Android,3,48,120,240,5
202110507,18,Masculino,3,Ingeniería Mecatrónica,800,Xiaomi,128,Android,5,48,60,180,4
202120589,17,Femenino,2,Ingeniería Química,2800,Apple,128,IOS ( Apple ),2,12,90,360,5
202120115,19,Masculino,2,Ciencias de la Computación,500,Huawei,64,Android,2,16,90,600,4
202120332,18,Femenino,2,Ingeniería Industrial,800,Samsung,16,Android,4,64,60,60,3
202120141,20,Femenino,2,Ingeniería Industrial,1100,Huawei,32,Android,2,64,90,360,4
202120349,18,Masculino,2,Ingeniería Mecatrónica,1500,Samsung,32,Android,2,48,120,1440,3
202120346,20,Femenino,2,Ingeniería Industrial,1460,Xiaomi,128,Android,5,48,60,180,4
201910296,19,Femenino,2,Ingeniería Ambiental,1000,Huawei,16,Android,3,32,60,300,3
201910296,17,Masculino,2,Ingeniería Civil,650,Huawei,128,Android,4,16,106,120,3
201910296,20,Masculino,3,Ingeniería Industrial,3000,Apple,64,IOS ( Apple ),2,12,120,120,3
202120542,18,Femenino,2,Ingeniería Ambiental,680,Otros,16,Android,2,32,120,300,5
202110579,19,Masculino,3,Ingeniería Civil,980,Motorola ,64,Android,5,64,60,360,4
202120265,18,Femenino,2,Ingeniería Industrial,3500,Apple,64,IOS ( Apple ),2,12,60,600,5
202120140,18,Femenino,2,Ingeniería Civil,1000,Xiaomi,128,Android,4,64,50,1200,5
202120521,18,Femenino,1,Ingeniería Civil,200,Samsung,8,Android,2,8,150,60,3
202120497,19,Femenino,2,Ingeniería Industrial,1200,Huawei,32,Android,3,64,90,720,4
202120153,19,Masculino,2,Ingeniería Civil,1240,Xiaomi,256,Android,4,64,42,960,5
202120132,20,Masculino,2,Ingeniería Civil,800,Xiaomi,128,Android,5,48,30,180,4
202120674,18,Femenino,2,Ingeniería Industrial,850,Huawei,16,Android,3,16,210,630,5
202120409,20,Femenino,2,Ingeniería Civil,700,Xiaomi,32,Android,4,16,180,720,3
202120324,18,Femenino,2,Ingeniería Industrial,1300,Samsung,64,Android,4,32,80,480,4
202120269,20,Masculino,2,Ingeniería Mecánica,2000,Samsung,128,Android,5,64,90,1440,5
201810010,28,Masculino,7,Ciencias de la Computación,3500,Apple,512,IOS ( Apple ),3,12,120,600,5
202110680,19,Masculino,3,Ingeniería de la Energía,1300,Apple,64,IOS ( Apple ),3,12,40,360,4
202120168,19,Masculino,2,Ingeniería Industrial,900,Huawei,64,Android,4,64,60,120,4
202010445,23,Femenino,3,Ciencias de la Computación,1800,Xiaomi,128,Android,4,48,100,240,4
202010524,19,Masculino,5,Ingeniería Mecánica,700,Xiaomi,128,Android,5,64,60,420,5
202120082,18,Femenino,2,Ingeniería Industrial,550,Samsung,32,Android,2,32,60,420,4
201910333,19,Masculino,6,Ingeniería Mecánica,1200,Samsung,32,Android,4,32,60,720,4
202120214,18,Masculino,2,Ingeniería Industrial,2200,Xiaomi,256,Android,4,108,90,720,5
202120632,18,Masculino,2,Ingeniería Industrial,1000,Samsung,64,Android,5,32,120,960,5
201910191,20,Femenino,5,Ingeniería Civil,1100,Huawei,128,Android,4,32,300,540,4
202120317,18,Masculino,2,Ingeniería Industrial,700,Samsung,64,Android,5,48,150,600,3
201910190,20,Femenino,7,Ingeniería Ambiental,1200,Xiaomi,128,Android,5,32,60,1140,4
202120643,18,Femenino,2,Ingeniería Industrial,5000,Apple,128,IOS ( Apple ),3,12,150,600,5
202110084,18,Femenino,3,Ingeniería Ambiental,1800,Huawei,64,Android,3,32,120,300,4
202120358,17,Masculino,2,Ingeniería Civil,750,ZTE,32,Android,3,16,300,600,3
202120329,16,Masculino,2,Ingeniería Industrial,1500,Samsung,64,Android,3,48,75,480,5
202110660,18,Masculino,3,Ciencias de la Computación,400,Xiaomi,32,Android,3,48,100,60,5
202120605,19,Masculino,2,Ingeniería Industrial,1300,Samsung,64,Android,3,16,60,300,4
202120268,17,Masculino,2,Ingeniería Civil,897,Xiaomi,128,Android,5,48,60,420,4
202120719,18,Masculino,2,Ingeniería Civil,900,Huawei,64,Android,3,48,150,180,4
202120221,20,Femenino,2,Bioingeniera,1100,Samsung,128,Android,4,64,120,300,5
202120015,18,Masculino,2,Ingeniería Civil,500,Otros,8,Android,2,12,60,2880,5
202120515,22,Femenino,2,Ingeniería Ambiental,950,Samsung,64,Android,2,16,120,480,4
202210214,17,Masculino,1,Ingeniería Química,720,Huawei,64,Android,2,16,60,180,4
202010634,19,Masculino,2,Bioingeniera,800,Huawei,64,Android,3,32,120,240,4
202120603,18,Femenino,2,Ingeniería Industrial,1000,Apple,64,IOS ( Apple ),2,12,60,600,4
202010584,21,Masculino,7,Ingeniería Civil,1249,Huawei,128,Android,4,24,60,240,4
202010276,18,Masculino,3,Ingeniería Mecánica,1500,Apple,64,IOS ( Apple ),2,12,60,240,4
202120362,18,Masculino,2,Bioingeniera,1200,Xiaomi,128,Android,4,48,40,900,4
201820125,20,Masculino,8,Ingeniería de la Energía,800,Huawei,128,Android,5,64,30,600,5
202120155,17,Femenino,2,Ingeniería Química,1000,Apple,64,IOS ( Apple ),2,12,60,180,5
201810396,20,Masculino,4,Ingeniería Electrónica,680,Huawei,64,Android,3,16,150,360,4
202120532,17,Masculino,2,Ingeniería Industrial,1200,Xiaomi,64,Android,3,16,120,480,4
