Nombre;Tipo;Restricciones
Fecha_accidente;Categórica ordinal.;Debe tener el formato AAAAMMDD y estar entre los años 2020 y 2021.
Año;Categórica ordinal.;Debe de tomar los valores 2020 o 2021.
Mes;Categórica ordinal.;Debe de estar entre Enero y Junio.
Hora_accidente;Categórica ordinal.;Debe tomar un valor entre 0:00:00 y 23:59:59.
Modalidad_accidente;Categórica nominal.;"Debe tomar los valores ""Despiste"", ""Choque"", ""Especial"", ""Incendio"" ,""Volcadura"" o  ""Atropello""."
Cantidad_fallecidos;Numérica discreta.;Debe ser un número natural.
Cantidad_heridos;Numérica discreta.;Debe ser un número natural.
Región;Categórica ordinal;Debe tomar los valores correspondientes a las tres regiones del país.
Departamento ;Categórica ordinal;Debe tomar a las provincias del país según la región.
Provincia;Categórica ordinal;Debe tomar los nombres de los distritos según provincia.
