"Fechas","NumeroSismos","Profundidad_Promedio","Magnitud_Promedio","PROMEDIO MENSUAL(MPCD)","PROMEDIO ANUAL (MPCD)"
"Ene-95",31,65.32,4.75,27816,25822
"Feb-95",44,57.11,4.79,27220,25822
"Mar-95",32,68.34,4.74,26399,25822
"Abr-95",33,61.67,4.72,27034,25822
"May-95",32,73.53,4.78,25956,25822
"Jun-95",59,55.78,4.77,26835,25822
"Jul-95",47,53.62,4.74,27175,25822
"Agos-95",53,54.13,4.68,26038,25822
"Sep-95",64,41.39,4.77,25664,25822
"Oct-95",123,54.2,4.78,24564,25822
"Nov-95",51,48.45,4.77,21363,25822
"Dic-95",54,41.39,4.8,25352,25822
"Ene-96",39,57.11,4.79,24419,23957
"Feb-96",78,61.67,4.72,22763,23957
"Mar-96",34,55.78,4.77,24946,23957
"Abr-96",33,54.13,4.68,24103,23957
"May-96",31,54.2,4.78,25773,23957
"Jun-96",30,41.39,4.8,24088,23957
"Jul-96",47,42.94,4.77,22938,23957
"Ago-96",72,60.22,4.85,24213,23957
"Sep-96",37,68.17,4.63,23623,23957
"Oct-96",27,51.33,5.17,23943,23957
"Nov-96",188,59.7,4.75,21988,23957
"Dic-96",35,32.71,4.72,20824,23957
"Ene-97",51,68.34,4.74,20590,23372
"Feb-97",61,55.78,4.77,18490,23372
"Mar-97",47,41.39,4.77,19541,23372
"Abr-97",45,41.39,4.8,20176,23372
"May-97",33,51.35,4.75,20331,23372
"Jun-97",34,68.17,4.63,24461,23372
"Jul-97",47,60.78,4.82,26935,23372
"Ago-97",41,32.71,4.72,26438,23372
"Sep-97",49,125.21,4.68,27319,23372
"Oct-97",46,84.35,4.66,27252,23372
"Nov-97",33,78.08,4.62,25550,23372
"Dic-97",25,72.56,4.69,26038,23372
"Ene-98",44,61.67,4.72,20728,39526
"Feb-98",66,54.13,4.68,26797,39526
"Mar-98",72,41.39,4.8,26830,39526
"Abr-98",34,60.22,4.85,22399,39526
"May-98",59,51.33,5.17,28736,39526
"Jun-98",40,32.71,4.72,33649,39526
"Jul-98",45,65.64,4.74,47515,39526
"Ago-98",31,73.37,4.72,56031,39526
"Sep-98",41,72.56,4.69,63036,39526
"Oct-98",34,65.38,4.81,55706,39526
"Nov-98",52,75.87,4.69,43831,39526
"Dic-98",72,68.39,4.72,49627,39526
"Ene-99",20,73.53,4.78,51369,40122
"Feb-99",14,54.2,4.78,40527,40122
"Marz-99",37,51.35,4.75,25503,40122
"Abr-99",32,51.33,5.17,31597,40122
"May-99",27,63.63,4.63,31570,40122
"Jun-99",29,84.35,4.66,36559,40122
"Jul-99",26,88.67,4.77,35832,40122
"Ago-99",36,65.38,4.81,48929,40122
"Sep-99",32,57.59,4.73,48024,40122
"Oct-99",27,105.79,4.66,41999,40122
"Nov-99",24,85.38,4.64,56060,40122
"Dic-99",35,94.97,4.79,33915,40122
"Ene-00",25,55.78,4.77,21778,33289
"Feb-00",37,41.39,4.8,29762,33289
"Mar-00",38,68.17,4.63,24267,33289
"Abr-00",47,32.71,4.72,28745,33289
"May-00",49,84.35,4.66,26438,33289
"Jun-00",33,72.56,4.69,33223,33289
"Jul-00",43,74,4.74,43004,33289
"Ago-00",66,68.39,4.72,46877,33289
"Sep-00",45,84.31,4.7,44217,33289
"Oct-00",49,94.97,4.79,43622,33289
"Nov-00",42,67,4.72,38491,33289
"Dic-01",28,85.75,4.75,19192,33289
