"DIA            AGUAYTIA
Lote 31-C",,"CNPC PERU
Lote X","MONTERRICO
Lote II","OLYMPIC
Lote XIII","PETROPERÚ
Lote I(T)","PLUSPETROL
Lote 56","PLUSPETROL
Lote 88","REPSOL
Lote 57","SAPET
Lote VII_VI","SAVIA
Lote Z-2B",UNNA ENERGIA,UNNA ENERGIA,TOTAL
1,2294,414644,13712,491570,53782,14655313,18554746,3654831,127879,168696,Lote I      0,"Lote IV6.,577",38144044
2,2520,413822,21925,496350,51433,14635637,18883495,3693978,128757,150099,0,6932,38484948
3,540310,414955,18955,520487,49023,14501926,19080872,3739418,130342,164611,0,6900,39167799
4,70580,414360,23173,499843,63025,14837487,17980393,3670254,130116,165696,0,7132,37862059
5,57,417277,26677,515839,74415,14853294,16794192,3663823,122385,328062,0,7544,36803565
6,0,414304,24705,480342,77661,14900236,16145688,3665986,115504,172033,0,7182,36003641
7,0,416796,27671,457407,69838,13886543,18516577,3769493,119186,147106,0,7049,37417666
8,0,415521,39712,475932,64854,14643734,18875513,3721434,115788,177251,0,7398,38537137
9,0,408980,40288,464476,76347,11771355,18707761,6762513,122131,196175,0,7132,38557158
10,0,413284,35065,466886,72216,11678413,18575250,6854610,122074,182829,0,7069,38407696
11,0,401788,42307,440192,77881,11867870,18375465,6838356,120941,218120,0,7096,38390016
12,0,416173,42912,457867,77753,12771129,18167001,5089987,115759,177336,0,7006,37322923
13,10588,416229,41936,480575,76432,12744873,16025667,6265178,121762,304995,0,4221,36492456
14,565813,419684,41676,533222,77467,12528559,18047362,6320413,115306,161528,0,7326,38818356
15,346724,409263,39756,560110,76916,12464868,18382646,6377429,124792,133439,0,6826,38922769
16,0,410169,40833,591657,77372,12120166,17517729,6704644,121593,146392,0,7220,37737775
17,2577,408386,39705,581401,76502,9611075,20060775,6683534,121111,141356,0,7172,37733594
18,2917,405242,40511,555223,74567,9396424,18937672,6693133,119355,136436,0,7440,36368920
19,296883,401618,5177,568278,76408,11559791,16109777,6743212,130201,142140,0,7473,36040958
20,246957,402750,0,546258,75126,11537746,15258645,6724953,124736,149200,0,7063,35073434
21,454673,405667,28593,553732,71466,9285134,21131301,6576462,125812,130431,0,6782,38770053
22,154445,403657,39340,547676,74835,12057264,18468394,6724633,128020,119366,0,6970,38724600
23,2832,404336,44083,570908,63942,11889835,20023128,6669916,129238,275017,0,6750,40079985
24,0,403883,34263,584846,77337,11920203,20754163,6747465,127228,275388,0,4656,40929432
25,0,403968,33800,575454,75384,12071956,21064083,5089384,124169,106588,0,4732,39549518
26,0,410934,40606,563593,73950,12117337,18694729,6559874,121423,101765,0,4290,38688501
27,0,399494,13711,525051,74343,11512530,18784873,6794409,120403,99894,0,2857,38327565
28,0,402977,30849,559268,74238,11816900,18775936,6789595,119101,90852,0,3296,38663012
TOTAL,2700170,11470161,871941,14664443,2004513,349637598,516693833,159588917,3445112,4762801,0,180091,1066019580
