"DIA            AGUAYTIA
Lote 31-C",,"CNPC PERU
Lote X","MONTERRICO
Lote II","OLYMPIC
Lote XIII","PETROPERÚ
Lote I(T)","PLUSPETROL
Lote 56","PLUSPETROL
Lote 88","REPSOL
Lote 57","SAPET
Lote VII_VI","SAVIA
Lote Z-2B",UNNA ENERGIA,TOTAL
1,0,408499,32433,573696,76048,11654518,16711497,6825484,122612,98443,"Lote IV4.,467",36507697
2,28,410198,40748,590383,75826,11888330,17043876,6832733,125160,100110,4329,37111721
3,311,405554,39180,586113,70684,12079738,18527623,6390984,119157,251628,4228,38475200
4,2095,416173,32258,599370,74586,12152298,16736576,6800468,124821,98237,4307,37041189
5,3341,416824,53623,569571,75687,12154973,18701271,6812863,130003,91929,4400,39014485
6,28,414389,14172,491072,75109,9308223,18058010,6878937,114796,106154,4500,35465390
7,523341,414757,16871,490542,74705,11835772,20853890,6842697,112984,274513,4461,41444533
8,255693,415295,22925,426784,75402,11751519,17093777,6812177,104093,105381,4692,37067738
9,0,390574,26683,427569,78957,11696375,17071050,6777517,124537,270103,4316,36867681
10,431558,399919,24649,388719,77282,11841985,16495352,6653955,127369,292785,4513,36738086
11,400686,402496,41827,446379,81433,11798292,17364750,6807913,116864,261170,6013,37727823
12,0,407196,40945,477947,80366,10977325,16911488,6895885,116467,80134,6147,35993900
13,0,402326,39228,445366,81577,11918219,16718136,4882798,123660,106312,5070,34722692
14,481728,399522,28744,472056,77872,17156512,19371241,224759,120375,279018,5576,38617403
15,360364,395700,26792,499688,78787,15553907,17152266,3561322,121083,119220,6942,37876071
16,25,402099,55878,500552,80228,15072618,18221387,3659624,122159,262022,7056,38383648
17,0,403458,36196,554088,74696,14123549,20506426,3705579,123008,137153,7028,39671181
18,0,402524,68678,546765,79431,14058150,20271999,3706825,125189,94862,7237,39361660
19,0,406290,32252,557891,78972,14017293,17611403,3712721,125670,82328,7459,36632279
20,2860,410169,20635,507912,78454,14192837,17808991,3679652,123999,82751,6731,36914991
21,474888,411189,11741,565398,81476,14062651,18215785,3724401,116071,87977,5633,37757210
22,287499,395530,23192,518354,79259,7970758,12751235,4694904,119214,108791,4824,26953560
23,1586,391424,28118,536501,74595,6742723,8886820,3588609,118364,101078,5981,20475799
24,0,403855,40527,523649,82436,7912957,18424664,4002376,119950,99504,6247,31616165
25,0,410509,38472,531977,83542,5935826,17529853,4289530,118874,96764,6477,29041824
26,0,410594,25879,535396,82379,6540986,19051199,4303310,122272,139930,6392,31218337
27,0,409178,25459,492940,80166,5060815,17453841,6111418,117062,112831,6680,29870390
28,0,405639,7101,472569,80721,8035468,20931331,6943208,120035,280285,6591,37282948
29,0,406262,26203,529054,80326,10058111,17828721,6909810,120941,130101,6416,36095945
30,0,402552,12100,547549,79749,10300275,18065244,6919687,119242,157139,6446,36609983
31,519360,403430,19572,555610,81070,9783792,18975980,6853948,110719,112595,7000,37423076
TOTAL,3745391,12574124,953081,15961460,2431821,347636795,547345682,166806094,3726750,4621248,178159,1105980605
