FECHA,PROMEDIO MENSUAL(MPCD),PROMEDIO ANUAL (MPCD)
01/01/1994,,
02/01/1994,,
03/01/1994,,
04/01/1994,,
05/01/1994,,
06/01/1994,,
07/01/1994,,
08/01/1994,,
09/01/1994,,
10/01/1994,,
11/01/1994,,
12/01/1994,,
01/01/1995,27816,25822
02/01/1995,27220,25822
03/01/1995,26399,25822
04/01/1995,27034,25822
05/01/1995,25956,25822
06/01/1995,26835,25822
07/01/1995,27175,25822
08/01/1995,26038,25822
09/01/1995,25664,25822
10/01/1995,24564,25822
11/01/1995,21363,25822
12/01/1995,25352,25822
01/01/1996,24419,23957
02/01/1996,22763,23957
03/01/1996,24946,23957
04/01/1996,24103,23957
05/01/1996,25773,23957
06/01/1996,24088,23957
07/01/1996,22938,23957
08/01/1996,24213,23957
09/01/1996,23623,23957
10/01/1996,23943,23957
11/01/1996,21988,23957
12/01/1996,20824,23957
01/01/1997,20590,23372
02/01/1997,18490,23372
03/01/1997,19541,23372
04/01/1997,20176,23372
05/01/1997,20331,23372
06/01/1997,24461,23372
07/01/1997,26935,23372
08/01/1997,26438,23372
09/01/1997,27319,23372
10/01/1997,27252,23372
11/01/1997,25550,23372
12/01/1997,26038,23372
01/01/1998,20728,39526
02/01/1998,26797,39526
03/01/1998,26830,39526
04/01/1998,22399,39526
05/01/1998,28736,39526
06/01/1998,33649,39526
07/01/1998,47515,39526
08/01/1998,56031,39526
09/01/1998,63036,39526
10/01/1998,55706,39526
11/01/1998,43831,39526
12/01/1998,49627,39526
01/01/1999,51369,40122
02/01/1999,40527,40122
03/01/1999,25503,40122
04/01/1999,31597,40122
05/01/1999,31570,40122
06/01/1999,36559,40122
07/01/1999,35832,40122
08/01/1999,48929,40122
09/01/1999,48024,40122
10/01/1999,41999,40122
11/01/1999,56060,40122
12/01/1999,33915,40122
01/01/2000,21778,33289
02/01/2000,29762,33289
03/01/2000,24267,33289
04/01/2000,28745,33289
05/01/2000,26438,33289
06/01/2000,33223,33289
07/01/2000,43004,33289
08/01/2000,46877,33289
09/01/2000,44217,33289
10/01/2000,43622,33289
11/01/2000,38491,33289
12/01/2000,19192,33289
01/01/2001,16289,35826
02/01/2001,16311,35826
03/01/2001,21167,35826
04/01/2001,17024,35826
05/01/2001,21227,35826
06/01/2001,36502,35826
07/01/2001,60603,35826
08/01/2001,68205,35826
09/01/2001,64893,35826
10/01/2001,52328,35826
11/01/2001,31235,35826
12/01/2001,22447,35826
01/01/2002,29011,42736
02/01/2002,23450,42736
03/01/2002,29350,42736
04/01/2002,24853,42736
05/01/2002,47765,42736
06/01/2002,59912,42736
07/01/2002,58598,42736
08/01/2002,73168,42736
09/01/2002,72822,42736
10/01/2002,53345,42736
11/01/2002,18229,42736
12/01/2002,20618,42736
01/01/2003,22892,50638
02/01/2003,32372,50638
03/01/2003,36159,50638
04/01/2003,28228,50638
05/01/2003,50698,50638
06/01/2003,66421,50638
07/01/2003,61584,50638
08/01/2003,49318,50638
09/01/2003,59641,50638
10/01/2003,77985,50638
11/01/2003,76979,50638
12/01/2003,44541,50638
01/01/2004,44228,82939
02/01/2004,34088,82939
03/01/2004,43250,82939
04/01/2004,62430,82939
05/01/2004,84792,82939
06/01/2004,97445,82939
07/01/2004,91913,82939
08/01/2004,92266,82939
09/01/2004,122503,82939
10/01/2004,125710,82939
11/01/2004,114271,82939
12/01/2004,81314,82939
01/01/2005,100193,146157
02/01/2005,88223,146157
03/01/2005,96672,146157
04/01/2005,101881,146157
05/01/2005,151398,146157
06/01/2005,175457,146157
07/01/2005,185274,146157
08/01/2005,178691,146157
09/01/2005,188216,146157
10/01/2005,134065,146157
11/01/2005,184670,146157
12/01/2005,165648,146157
01/01/2006,129027,171756
02/01/2006,133808,171756
03/01/2006,86717,171756
04/01/2006,86127,171756
05/01/2006,144686,171756
06/01/2006,217767,171756
07/01/2006,220443,171756
08/01/2006,227225,171756
09/01/2006,226438,171756
10/01/2006,210841,171756
11/01/2006,190942,171756
12/01/2006,184490,171756
01/01/2007,183816.8,258864
02/01/2007,192638.2,258864
03/01/2007,212871.2,258864
04/01/2007,200503.7,258864
05/01/2007,219167.4,258864
06/01/2007,277739.1,258864
07/01/2007,295526.9,258864
08/01/2007,308342.8,258864
09/01/2007,300888.5,258864
10/01/2007,305664.7,258864
11/01/2007,309639.5,258864
12/01/2007,294884.5,258864
01/01/2008,228311.2,327748
02/01/2008,270696.7,327748
03/01/2008,285538,327748
04/01/2008,279470,327748
05/01/2008,338841,327748
06/01/2008,369132,327748
07/01/2008,372350,327748
08/01/2008,369530,327748
09/01/2008,373364,327748
10/01/2008,353736,327748
11/01/2008,353443,327748
12/01/2008,336961,327748
01/01/2009,297241,336112
02/01/2009,279031,336112
03/01/2009,308531,336112
04/01/2009,288987,336112
05/01/2009,328121,336112
06/01/2009,362334,336112
07/01/2009,367233,336112
08/01/2009,376608,336112
09/01/2009,375797,336112
10/01/2009,365712,336112
11/01/2009,351094,336112
12/01/2009,328222,336112
01/01/2010,358628,700299
02/01/2010,382375,700299
03/01/2010,382220,700299
04/01/2010,358235,700299
05/01/2010,438203,700299
06/01/2010,700877,700299
07/01/2010,795998,700299
08/01/2010,991489,700299
09/01/2010,900604,700299
10/01/2010,984318,700299
11/01/2010,1077438,700299
12/01/2010,1010052,700299
