"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.06.2022","1.848,70","1.840,00","1.853,00","1.830,20","158,04K","0,02%"
"31.05.2022","1.848,40","1.856,50","1.867,90","1.837,60","201,80K","-0,38%"
"30.05.2022","1.855,40","1.847,79","1.862,10","1.846,54","-","0,42%"
"29.05.2022","1.847,65","1.850,55","1.851,76","1.845,90","-","-0,52%"
"27.05.2022","1.857,30","1.855,10","1.866,90","1.851,90","123,76K","0,18%"
"26.05.2022","1.853,90","1.857,90","1.859,00","1.842,50","92,09K","0,08%"
"25.05.2022","1.852,50","1.871,20","1.872,70","1.845,00","99,60K","-1,01%"
"24.05.2022","1.871,40","1.858,60","1.875,00","1.853,90","76,58K","0,94%"
"23.05.2022","1.853,90","1.850,90","1.870,40","1.849,70","62,66K","0,30%"
"20.05.2022","1.848,40","1.847,40","1.854,00","1.837,30","42,70K","0,03%"
"19.05.2022","1.847,80","1.821,30","1.854,50","1.814,90","38,86K","1,39%"
"18.05.2022","1.822,40","1.820,20","1.829,30","1.811,70","40,54K","-0,16%"
"17.05.2022","1.825,40","1.831,70","1.840,90","1.817,80","27,00K","0,27%"
"16.05.2022","1.820,40","1.816,00","1.832,40","1.792,00","27,77K","0,31%"
"13.05.2022","1.814,80","1.828,10","1.834,20","1.804,00","21,40K","-0,92%"
"12.05.2022","1.831,60","1.858,80","1.865,80","1.827,20","71,42K","-1,58%"
"11.05.2022","1.861,00","1.844,90","1.864,50","1.838,00","60,05K","0,68%"
"10.05.2022","1.848,40","1.860,30","1.871,60","1.841,90","90,25K","-0,94%"
"09.05.2022","1.865,90","1.890,90","1.891,80","1.858,60","71,72K","-1,29%"
"06.05.2022","1.890,20","1.884,50","1.900,80","1.872,40","52,58K","0,38%"
"05.05.2022","1.883,00","1.891,30","1.917,60","1.879,60","28,69K","0,36%"
"04.05.2022","1.876,20","1.876,10","1.898,80","1.868,80","29,35K","-0,09%"
"03.05.2022","1.877,80","1.870,40","1.885,00","1.856,70","24,90K","0,38%"
"02.05.2022","1.870,60","1.903,10","1.907,40","1.860,80","9,78K","-2,50%"
"29.04.2022","1.918,60","1.902,50","1.928,20","1.900,60","7,74K","1,07%"
"28.04.2022","1.898,30","1.893,00","1.904,30","1.877,80","6,72K","0,14%"
"27.04.2022","1.895,60","1.914,00","1.914,80","1.888,80","5,84K","-0,81%"
"26.04.2022","1.911,10","1.907,30","1.918,70","1.904,20","8,90K","0,43%"
"25.04.2022","1.903,00","1.937,40","1.942,60","1.898,80","17,15K","-1,98%"
"22.04.2022","1.941,40","1.960,00","1.964,50","1.935,00","12,26K","-0,70%"
"21.04.2022","1.955,00","1.964,20","1.966,20","1.944,80","11,80K","-0,37%"
"20.04.2022","1.962,30","1.959,00","1.967,30","1.947,80","5,75K","-0,18%"
"19.04.2022","1.965,80","1.987,80","1.991,60","1.952,80","5,38K","-1,38%"
"18.04.2022","1.993,30","1.983,10","2.009,50","1.981,80","1,60K","0,59%"
"14.04.2022","1.981,60","1.988,70","1.990,60","1.969,60","3,13K","-0,50%"
"13.04.2022","1.991,50","1.976,60","1.992,20","1.974,00","9,41K","0,43%"
"12.04.2022","1.983,00","1.965,00","1.989,10","1.960,40","9,08K","1,43%"
"11.04.2022","1.955,00","1.957,10","1.981,20","1.949,90","5,74K","0,14%"
"08.04.2022","1.952,20","1.941,40","1.958,30","1.937,70","6,83K","0,41%"
"07.04.2022","1.944,20","1.932,90","1.948,00","1.930,00","6,75K","0,77%"
"06.04.2022","1.929,30","1.933,40","1.942,20","1.922,30","3,99K","-0,22%"
"05.04.2022","1.933,50","1.941,50","1.954,40","1.927,20","4,70K","-0,32%"
"04.04.2022","1.939,70","1.933,50","1.946,10","1.924,00","2,95K","0,54%"
"01.04.2022","1.929,20","1.947,90","1.949,50","1.927,10","2,17K","-1,55%"
"31.03.2022","1.959,50","1.942,50","1.960,40","1.928,60","7,31K","0,79%"
"30.03.2022","1.944,10","1.930,00","1.948,30","1.925,40","3,76K","1,10%"
"29.03.2022","1.923,00","1.932,00","1.937,50","1.899,00","5,62K","-1,38%"
"28.03.2022","1.949,90","1.967,80","1.968,30","1.926,00","2,93K","-0,76%"
"25.03.2022","1.964,90","1.972,30","1.974,00","1.953,50","4,32K","-0,39%"
"24.03.2022","1.972,60","1.953,20","1.977,20","1.948,40","2,98K","1,31%"
"23.03.2022","1.947,10","1.930,30","1.958,00","1.925,90","3,80K","0,82%"
"22.03.2022","1.931,20","1.945,20","1.948,50","1.920,00","3,87K","-0,40%"
"21.03.2022","1.939,00","1.931,00","1.951,20","1.926,40","3,10K","0,06%"
"18.03.2022","1.937,90","1.950,70","1.950,80","1.926,80","3,62K","-0,73%"
"17.03.2022","1.952,10","1.934,50","1.959,20","1.933,90","2,27K","1,76%"
"16.03.2022","1.918,30","1.928,80","1.938,30","1.905,00","3,84K","-1,04%"
"15.03.2022","1.938,50","1.964,60","1.964,60","1.918,00","2,98K","-1,56%"
"14.03.2022","1.969,30","1.992,00","1.995,00","1.960,80","0,92K","-1,19%"
"11.03.2022","1.993,10","2.010,40","2.010,40","1.968,80","5,68K","-0,75%"
"10.03.2022","2.008,20","2.002,50","2.021,00","1.982,30","2,66K","0,67%"
"09.03.2022","1.994,90","2.057,80","2.072,10","1.988,00","3,11K","-2,68%"
"08.03.2022","2.049,90","2.008,30","2.085,20","1.998,60","3,54K","2,36%"
"07.03.2022","2.002,60","1.985,00","2.013,40","1.973,60","7,71K","1,47%"
"04.03.2022","1.973,60","1.944,90","1.981,10","1.938,60","1,63K","1,58%"
"03.03.2022","1.942,90","1.938,00","1.951,20","1.930,20","2,19K","0,72%"
"02.03.2022","1.929,00","1.944,60","1.957,80","1.923,90","3,25K","-1,10%"
"01.03.2022","1.950,40","1.915,50","1.955,60","1.910,20","1,46K","2,25%"
"28.02.2022","1.907,40","1.910,10","1.941,60","1.899,20","1,36K","0,70%"
"25.02.2022","1.894,20","1.913,80","1.931,40","1.891,50","2,41K","-2,01%"
"24.02.2022","1.933,00","1.921,20","1.981,00","1.885,60","3,91K","0,80%"
"23.02.2022","1.917,70","1.908,80","1.920,00","1.898,90","2,20K","0,16%"
"22.02.2022","1.914,70","1.911,20","1.923,90","1.899,00","2,34K","0,14%"
"21.02.2022","1.912,05","1.907,80","1.918,30","1.889,70","-","0,21%"
"20.02.2022","1.908,00","1.900,80","1.909,35","1.900,80","-","0,05%"
"18.02.2022","1.907,10","1.909,00","1.912,00","1.895,40","1,01K","-0,12%"
"17.02.2022","1.909,30","1.878,50","1.909,90","1.878,50","1,41K","1,62%"
"16.02.2022","1.878,90","1.863,00","1.880,90","1.860,00","1,82K","0,82%"
"15.02.2022","1.863,70","1.880,60","1.888,80","1.853,70","2,06K","-0,71%"
"14.02.2022","1.877,10","1.869,20","1.884,00","1.861,20","3,08K","1,47%"
"11.02.2022","1.849,90","1.834,50","1.873,20","1.830,00","3,28K","0,28%"
"10.02.2022","1.844,80","1.840,20","1.849,70","1.829,60","3,72K","0,08%"
"09.02.2022","1.843,30","1.832,90","1.843,40","1.832,60","1,89K","0,48%"
"08.02.2022","1.834,50","1.828,60","1.836,40","1.824,50","4,51K","0,36%"
"07.02.2022","1.827,90","1.816,00","1.830,30","1.815,20","2,48K","0,77%"
"04.02.2022","1.814,00","1.813,70","1.821,50","1.798,30","3,72K","0,22%"
"03.02.2022","1.810,10","1.809,80","1.814,00","1.794,90","0,91K","-0,33%"
"02.02.2022","1.816,10","1.807,40","1.817,20","1.801,80","0,64K","0,49%"
"01.02.2022","1.807,20","1.803,50","1.814,30","1.802,10","2,35K","0,28%"
"31.01.2022","1.802,20","1.794,50","1.806,00","1.792,40","1,68K","0,56%"
"28.01.2022","1.792,20","1.804,00","1.804,90","1.787,80","3,27K","-0,46%"
"27.01.2022","1.800,40","1.826,50","1.826,50","1.798,20","4,61K","-1,99%"
"26.01.2022","1.836,90","1.855,20","1.855,60","1.822,20","3,43K","-1,23%"
"25.01.2022","1.859,80","1.851,00","1.859,90","1.844,00","0,82K","0,58%"
"24.01.2022","1.849,00","1.846,00","1.851,60","1.837,60","0,60K","0,55%"
"21.01.2022","1.838,80","1.848,10","1.849,50","1.838,30","0,68K","-0,58%"
"20.01.2022","1.849,50","1.846,60","1.855,10","1.844,20","1,48K","-0,03%"
"19.01.2022","1.850,10","1.821,50","1.850,40","1.819,70","0,86K","1,68%"
"18.01.2022","1.819,50","1.825,00","1.828,00","1.812,30","4,88K","0,02%"
"17.01.2022","1.819,05","1.815,85","1.822,90","1.812,25","-","0,18%"
"16.01.2022","1.815,75","1.816,40","1.818,10","1.815,15","-","-0,39%"
"14.01.2022","1.822,90","1.826,00","1.834,80","1.821,80","1,22K","-0,26%"
"13.01.2022","1.827,70","1.831,60","1.834,50","1.819,10","3,20K","-0,33%"
"12.01.2022","1.833,70","1.827,10","1.834,00","1.820,80","3,28K","0,50%"
