"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.06.2022","8,760","8,570","8,815","8,530","1,01M","2,58%"
"31.05.2022","8,540","9,080","9,170","8,490","3,46M","-5,53%"
"27.05.2022","9,040","8,900","9,125","8,800","1,32M","2,15%"
"26.05.2022","8,850","8,470","8,860","8,470","1,45M","3,87%"
"25.05.2022","8,520","8,470","8,780","8,385","1,29M","-1,39%"
"24.05.2022","8,640","8,450","8,762","8,350","1,35M","1,89%"
"23.05.2022","8,480","8,600","8,680","8,460","970,28K","1,80%"
"20.05.2022","8,330","8,250","8,410","8,060","1,26M","1,09%"
"19.05.2022","8,240","7,890","8,265","7,851","1,04M","7,71%"
"18.05.2022","7,650","7,720","7,840","7,570","1,25M","-1,29%"
"17.05.2022","7,750","7,790","7,870","7,560","1,66M","1,71%"
"16.05.2022","7,620","7,310","7,810","7,310","1,09M","4,67%"
"13.05.2022","7,280","6,970","7,490","6,970","1,77M","3,41%"
"12.05.2022","7,040","7,060","7,240","6,840","1,64M","-3,30%"
"11.05.2022","7,280","7,760","7,940","7,260","1,88M","-3,58%"
"10.05.2022","7,550","7,800","7,960","7,510","1,12M","-1,44%"
"09.05.2022","7,660","8,230","8,450","7,620","1,72M","-9,56%"
"06.05.2022","8,470","8,700","8,795","8,360","2,44M","-3,86%"
"05.05.2022","8,810","9,620","9,650","8,740","1,17M","-7,85%"
"04.05.2022","9,560","9,600","9,630","9,170","1,34M","0,21%"
"03.05.2022","9,540","9,340","9,850","9,280","1,75M","3,47%"
"02.05.2022","9,220","9,120","9,260","8,780","1,07M","-2,33%"
"29.04.2022","9,440","9,230","9,510","8,950","2,38M","5,12%"
"28.04.2022","8,980","8,850","9,060","8,750","1,32M","1,01%"
"27.04.2022","8,890","8,860","9,070","8,810","1,26M","-0,11%"
"26.04.2022","8,900","9,010","9,060","8,670","1,32M","0,11%"
"25.04.2022","8,890","9,084","9,261","8,730","1,63M","-7,68%"
"22.04.2022","9,630","9,720","10,050","9,590","1,34M","-3,70%"
"21.04.2022","10,000","10,470","10,500","9,790","2,88M","-7,32%"
"20.04.2022","10,790","10,390","10,800","10,200","2,55M","4,45%"
"19.04.2022","10,330","10,900","10,900","10,325","1,04M","-6,52%"
"18.04.2022","11,050","11,140","11,290","10,860","1,21M","0,91%"
"14.04.2022","10,950","10,620","11,130","10,410","1,21M","3,50%"
"13.04.2022","10,580","10,570","10,690","10,420","865,77K","1,63%"
"12.04.2022","10,410","10,680","10,850","10,320","893,63K","-0,38%"
"11.04.2022","10,450","10,960","11,050","10,365","1,22M","-2,97%"
"08.04.2022","10,770","10,260","10,920","10,210","1,57M","5,18%"
"07.04.2022","10,240","9,930","10,330","9,750","1,31M","3,43%"
"06.04.2022","9,900","9,800","9,990","9,660","1,19M","1,33%"
"05.04.2022","9,770","10,030","10,250","9,615","1,38M","-2,88%"
"04.04.2022","10,060","10,320","10,460","9,955","808,99K","-2,52%"
"01.04.2022","10,320","10,140","10,375","10,030","1,18M","2,48%"
"31.03.2022","10,070","9,890","10,100","9,890","899,64K","1,61%"
"30.03.2022","9,910","10,160","10,270","9,810","1,10M","-1,88%"
"29.03.2022","10,100","9,920","10,150","9,831","664,70K","-0,49%"
"28.03.2022","10,150","10,400","10,540","10,080","915,43K","-4,87%"
"25.03.2022","10,670","10,500","10,770","10,450","863,84K","0,09%"
"24.03.2022","10,660","10,650","11,070","10,540","1,33M","2,40%"
"23.03.2022","10,410","10,300","10,430","10,170","773,30K","2,26%"
"22.03.2022","10,180","10,290","10,350","10,000","885,75K","-2,49%"
"21.03.2022","10,440","10,290","10,720","10,290","863,40K","2,05%"
"18.03.2022","10,230","10,170","10,285","9,950","5,33M","-0,58%"
"17.03.2022","10,290","10,200","10,779","10,190","2,79M","2,80%"
"16.03.2022","10,010","10,030","10,300","9,910","1,79M","-0,99%"
"15.03.2022","10,110","9,900","10,335","9,900","1,62M","-1,17%"
"14.03.2022","10,230","10,900","10,920","9,980","1,88M","-6,15%"
