"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.06.2022","4,3285","4,2855","4,3500","4,2590","56,00K","0,76%"
"31.05.2022","4,2960","4,3200","4,3665","4,2740","65,27K","-0,88%"
"30.05.2022","4,3340","4,3225","4,3595","4,3098","-","0,25%"
"29.05.2022","4,3232","4,3215","4,3260","4,3170","-","0,39%"
"27.05.2022","4,3065","4,2730","4,3270","4,2550","37,16K","1,12%"
"26.05.2022","4,2590","4,2685","4,2800","4,2035","41,96K","0,11%"
"25.05.2022","4,2545","4,3140","4,3225","4,2230","44,20K","-1,17%"
"24.05.2022","4,3050","4,3410","4,3415","4,2565","45,14K","-0,93%"
"23.05.2022","4,3455","4,2945","4,3550","4,2720","50,50K","1,65%"
"20.05.2022","4,2750","4,2775","4,3275","4,2505","45,49K","-0,19%"
"19.05.2022","4,2830","4,1550","4,2980","4,1445","56,57K","2,50%"
"18.05.2022","4,1785","4,2295","4,2480","4,1315","45,56K","-1,43%"
"17.05.2022","4,2390","4,2030","4,2835","4,2030","45,16K","1,13%"
"16.05.2022","4,1915","4,1795","4,2200","4,1335","41,78K","0,40%"
"13.05.2022","4,1750","4,0860","4,1850","4,0550","49,92K","1,82%"
"12.05.2022","4,1005","4,2115","4,2230","4,0370","67,53K","-2,58%"
"11.05.2022","4,2090","4,1550","4,2500","4,1485","54,18K","1,31%"
"10.05.2022","4,1545","4,1960","4,2580","4,1285","57,71K","-0,93%"
"09.05.2022","4,1935","4,2380","4,2450","4,1240","68,33K","-1,72%"
"06.05.2022","4,2670","4,2905","4,3190","4,2310","47,86K","-0,57%"
"05.05.2022","4,2915","4,3670","4,4400","4,2765","61,50K","-1,07%"
"04.05.2022","4,3380","4,2990","4,3835","4,2510","50,39K","1,28%"
"03.05.2022","4,2830","4,2855","4,3600","4,2635","52,69K","0,35%"
"02.05.2022","4,2680","4,3930","4,4040","4,2040","47,30K","-3,19%"
"29.04.2022","4,4085","4,4440","4,5120","4,3715","49,49K","-0,56%"
"28.04.2022","4,4335","4,4645","4,4935","4,3865","50,92K","-0,93%"
"27.04.2022","4,4750","4,4155","4,5145","4,4155","71,22K","0,25%"
