"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.06.2022","9,620","9,590","9,710","9,370","25,69M","3,00%"
"31.05.2022","9,340","10,550","10,570","9,290","65,18M","-23,44%"
"27.05.2022","12,200","11,830","12,220","11,740","8,94M","4,10%"
"26.05.2022","11,720","11,570","11,765","11,455","4,67M","0,95%"
"25.05.2022","11,610","11,490","11,655","11,405","3,10M","-1,28%"
"24.05.2022","11,760","11,590","11,880","11,520","4,33M","0,68%"
"23.05.2022","11,680","11,810","11,900","11,555","3,49M","2,10%"
"20.05.2022","11,440","11,470","11,540","11,150","3,95M","-0,17%"
"19.05.2022","11,460","11,390","11,665","11,290","8,02M","2,32%"
"18.05.2022","11,200","11,300","11,585","11,110","7,45M","-1,67%"
"17.05.2022","11,390","11,610","11,625","11,230","4,55M","-0,61%"
"16.05.2022","11,460","11,360","11,535","11,295","5,36M","-1,04%"
"13.05.2022","11,580","10,930","11,600","10,890","4,37M","4,80%"
"12.05.2022","11,050","10,790","11,160","10,670","11,77M","-3,49%"
"11.05.2022","11,450","11,610","11,777","11,400","4,24M","0,53%"
"10.05.2022","11,390","11,900","12,040","11,215","6,32M","-2,73%"
"09.05.2022","11,710","12,060","12,145","11,665","5,77M","-5,79%"
"06.05.2022","12,430","12,460","12,610","12,320","5,73M","-2,59%"
"05.05.2022","12,760","13,645","13,690","12,535","5,58M","-6,66%"
"04.05.2022","13,670","13,330","13,715","13,230","4,18M","0,96%"
"03.05.2022","13,540","13,210","13,735","13,165","3,74M","1,65%"
"02.05.2022","13,320","12,980","13,380","12,800","2,73M","-0,82%"
"29.04.2022","13,430","13,790","14,040","13,420","4,02M","-1,68%"
"28.04.2022","13,660","13,260","13,710","13,140","3,58M","2,63%"
"27.04.2022","13,310","13,230","13,575","13,190","4,11M","0,60%"
"26.04.2022","13,230","13,500","13,630","13,135","3,90M","0,00%"
"25.04.2022","13,230","13,080","13,395","12,830","7,76M","-3,78%"
"22.04.2022","13,750","13,860","14,110","13,510","5,23M","-1,79%"
"21.04.2022","14,000","14,680","14,760","13,770","8,08M","-6,42%"
"20.04.2022","14,960","14,490","14,980","14,335","4,19M","4,25%"
"19.04.2022","14,350","15,860","15,860","14,130","12,57M","-11,58%"
"18.04.2022","16,230","15,770","16,920","15,770","9,21M","5,66%"
"14.04.2022","15,360","15,200","15,360","14,970","4,21M","0,13%"
"13.04.2022","15,340","15,260","15,505","15,065","2,98M","1,52%"
"12.04.2022","15,110","15,550","15,590","15,040","4,23M","-0,59%"
"11.04.2022","15,200","15,710","15,750","14,955","4,43M","-1,17%"
"08.04.2022","15,380","14,950","15,435","14,910","5,23M","3,92%"
"07.04.2022","14,800","14,680","14,950","14,580","5,00M","1,44%"
"06.04.2022","14,590","14,790","14,980","14,480","5,95M","-0,68%"
"05.04.2022","14,690","15,080","15,320","14,600","8,32M","-1,80%"
"04.04.2022","14,960","15,790","15,880","14,635","6,87M","-7,20%"
"01.04.2022","16,120","15,310","16,160","15,190","6,11M","4,27%"
"31.03.2022","15,460","15,530","15,965","15,400","5,68M","-0,51%"
"30.03.2022","15,540","15,330","15,715","15,300","4,39M","1,50%"
"29.03.2022","15,310","14,900","15,334","14,610","6,63M","-1,03%"
"28.03.2022","15,470","15,410","15,620","15,251","4,92M","-1,15%"
"25.03.2022","15,650","15,630","15,825","15,410","5,29M","-1,70%"
"24.03.2022","15,920","16,530","16,595","15,910","5,99M","-2,93%"
"23.03.2022","16,400","15,920","16,431","15,760","7,25M","4,86%"
"22.03.2022","15,640","16,000","16,010","15,215","6,73M","-2,01%"
"21.03.2022","15,960","15,500","16,355","15,500","6,65M","2,37%"
"18.03.2022","15,590","15,740","15,890","15,520","12,63M","-0,95%"
"17.03.2022","15,740","15,930","16,190","15,535","10,67M","0,06%"
"16.03.2022","15,730","15,800","16,090","15,390","7,29M","-1,38%"
"15.03.2022","15,950","14,980","16,210","14,910","9,35M","1,98%"
"14.03.2022","15,640","16,000","16,110","15,360","10,63M","-6,18%"
"11.03.2022","16,670","16,280","16,840","16,160","9,23M","-0,24%"
"10.03.2022","16,710","16,340","16,960","16,340","10,01M","2,20%"
"09.03.2022","16,350","15,760","16,440","15,350","13,46M","1,55%"
"08.03.2022","16,100","16,370","17,200","15,531","18,44M","0,37%"
"07.03.2022","16,040","16,150","16,200","15,440","17,19M","3,35%"
"04.03.2022","15,520","14,650","15,965","14,650","18,42M","7,63%"
"03.03.2022","14,420","14,180","14,440","13,955","10,10M","1,98%"
"02.03.2022","14,140","14,250","14,320","13,880","11,93M","-2,42%"
"01.03.2022","14,490","14,270","14,855","14,240","14,99M","3,35%"
"28.02.2022","14,020","13,740","14,190","13,570","16,99M","6,13%"
"25.02.2022","13,210","13,030","13,315","12,880","9,66M","-0,45%"
"24.02.2022","13,270","13,710","13,765","12,920","13,92M","0,00%"
"23.02.2022","13,270","12,740","13,480","12,695","12,10M","4,49%"
"22.02.2022","12,700","13,080","13,230","12,660","11,42M","-2,91%"
"18.02.2022","13,080","12,890","13,230","12,700","14,93M","2,27%"
"17.02.2022","12,790","12,090","12,860","12,030","15,55M","5,88%"
"16.02.2022","12,080","11,820","12,135","11,735","10,39M","2,46%"
"15.02.2022","11,790","11,770","11,860","11,470","10,16M","-3,99%"
"14.02.2022","12,280","11,890","12,340","11,875","14,48M","7,72%"
"11.02.2022","11,400","10,880","11,660","10,860","7,16M","5,17%"
"10.02.2022","10,840","11,170","11,360","10,770","8,59M","-3,30%"
"09.02.2022","11,210","11,050","11,305","11,040","6,63M","0,36%"
"08.02.2022","11,170","10,770","11,180","10,770","6,12M","3,81%"
"07.02.2022","10,760","10,510","10,840","10,365","6,10M","3,07%"
"04.02.2022","10,440","10,270","10,630","10,270","5,27M","1,16%"
"03.02.2022","10,320","10,430","10,580","10,295","7,15M","-2,18%"
"02.02.2022","10,550","10,650","10,740","10,520","13,50M","-0,66%"
"01.02.2022","10,620","10,810","10,840","10,430","9,94M","0,19%"
"31.01.2022","10,600","10,280","10,610","10,195","10,76M","6,00%"
"28.01.2022","10,000","9,990","10,065","9,850","9,64M","-0,70%"
"27.01.2022","10,070","10,260","10,440","9,935","11,35M","-6,33%"
"26.01.2022","10,750","11,100","11,302","10,600","10,77M","-5,12%"
"25.01.2022","11,330","10,940","11,390","10,815","6,50M","3,56%"
"24.01.2022","10,940","10,900","10,970","10,505","10,50M","0,09%"
"21.01.2022","10,930","11,090","11,180","10,860","9,72M","0,09%"
"20.01.2022","10,920","11,150","11,265","10,900","8,74M","-1,62%"
"19.01.2022","11,100","10,060","11,190","9,995","18,87M","12,80%"
"18.01.2022","9,840","10,120","10,310","9,760","10,78M","-6,37%"
"14.01.2022","10,510","10,690","10,695","10,465","2,91M","-1,59%"
"13.01.2022","10,680","10,840","10,877","10,680","3,23M","-2,20%"
"12.01.2022","10,920","10,740","10,950","10,674","5,89M","3,02%"
"11.01.2022","10,600","10,410","10,600","10,290","4,33M","3,01%"
"10.01.2022","10,290","10,095","10,300","10,005","4,00M","1,08%"
"07.01.2022","10,180","10,080","10,190","10,000","4,96M","1,90%"
"06.01.2022","9,990","10,050","10,075","9,892","5,84M","-2,92%"
"05.01.2022","10,290","10,670","10,795","10,260","8,30M","-1,91%"
"04.01.2022","10,490","10,630","10,780","10,460","7,17M","-1,13%"
"03.01.2022","10,610","10,800","10,845","10,600","3,56M","-3,46%"
"31.12.2021","10,990","10,950","11,060","10,820","3,59M","0,27%"
"30.12.2021","10,960","10,790","10,960","10,700","5,07M","2,05%"
"29.12.2021","10,740","10,480","10,835","10,460","4,40M","1,90%"
"28.12.2021","10,540","10,680","10,835","10,515","3,26M","-1,40%"
"27.12.2021","10,690","10,550","10,710","10,390","3,11M","1,04%"
"23.12.2021","10,580","10,550","10,650","10,375","2,52M","-0,09%"
"22.12.2021","10,590","10,600","10,630","10,400","4,63M","0,00%"
"21.12.2021","10,590","10,450","10,650","10,285","5,95M","2,42%"
"20.12.2021","10,340","10,420","10,450","10,245","4,41M","-0,67%"
"17.12.2021","10,410","10,620","10,740","10,285","14,13M","0,10%"
"16.12.2021","10,400","9,990","10,415","9,990","5,78M","4,73%"
"15.12.2021","9,930","10,030","10,035","9,715","6,09M","-0,80%"
"14.12.2021","10,010","9,890","10,090","9,740","7,99M","1,73%"
"13.12.2021","9,840","9,910","9,980","9,780","6,11M","0,51%"
"10.12.2021","9,790","10,210","10,240","9,700","10,35M","-4,11%"
"09.12.2021","10,210","10,390","10,410","10,125","5,28M","-1,73%"
"08.12.2021","10,390","10,410","10,445","10,270","5,04M","0,10%"
"07.12.2021","10,380","10,740","10,810","10,260","8,23M","-4,42%"
"06.12.2021","10,860","10,960","11,030","10,810","4,40M","-1,27%"
"03.12.2021","11,000","10,980","11,120","10,770","6,72M","0,64%"
"02.12.2021","10,930","11,010","11,155","10,765","6,77M","-0,64%"
"01.12.2021","11,000","11,760","11,770","10,985","8,30M","-3,00%"
"30.11.2021","11,340","11,570","11,785","11,275","9,54M","3,85%"
"29.11.2021","10,920","10,740","10,935","10,595","4,49M","2,15%"
"26.11.2021","10,690","10,790","10,790","10,450","3,03M","0,66%"
"24.11.2021","10,620","10,730","10,790","10,455","5,53M","-2,39%"
"23.11.2021","10,880","10,850","10,960","10,730","6,24M","0,00%"
"22.11.2021","10,880","10,800","10,980","10,580","5,09M","0,37%"
"19.11.2021","10,840","10,820","10,970","10,820","5,54M","0,09%"
"18.11.2021","10,830","10,810","10,960","10,770","3,94M","-1,37%"
"17.11.2021","10,980","10,985","11,220","10,930","6,50M","1,48%"
"16.11.2021","10,820","10,960","11,110","10,710","7,72M","0,56%"
"15.11.2021","10,760","10,550","10,800","10,545","4,19M","2,28%"
"12.11.2021","10,520","10,440","10,580","10,370","3,71M","0,10%"
"11.11.2021","10,510","10,520","10,700","10,300","6,99M","6,05%"
"10.11.2021","9,910","9,940","10,160","9,800","7,55M","3,88%"
"09.11.2021","9,540","9,490","9,540","9,315","3,11M","1,06%"
"08.11.2021","9,440","9,430","9,450","9,300","2,92M","1,18%"
"05.11.2021","9,330","9,320","9,370","9,140","4,45M","1,19%"
"04.11.2021","9,220","9,490","9,595","9,220","3,05M","-1,39%"
"03.11.2021","9,350","9,110","9,380","8,980","4,57M","0,75%"
"02.11.2021","9,280","9,250","9,285","9,145","1,77M","0,11%"
"01.11.2021","9,270","9,260","9,310","9,135","3,50M","-0,11%"
"29.10.2021","9,280","9,410","9,430","9,220","3,75M","-3,23%"
"28.10.2021","9,590","9,700","9,815","9,570","3,26M","-1,03%"
"27.10.2021","9,690","9,740","9,820","9,650","2,00M","-0,92%"
"26.10.2021","9,780","9,660","9,790","9,590","2,44M","0,41%"
"25.10.2021","9,740","9,800","9,840","9,700","2,99M","0,83%"
"22.10.2021","9,660","9,590","10,040","9,580","6,45M","2,99%"
"21.10.2021","9,380","9,420","9,450","9,280","3,66M","-0,74%"
"20.10.2021","9,450","9,550","9,645","9,430","4,28M","0,64%"
"19.10.2021","9,390","9,480","9,500","9,320","2,78M","1,73%"
"18.10.2021","9,230","9,300","9,400","9,210","2,80M","-1,49%"
"15.10.2021","9,370","9,090","9,400","9,005","4,68M","-1,47%"
"14.10.2021","9,510","9,540","9,600","9,370","5,30M","1,28%"
"13.10.2021","9,390","9,260","9,450","9,230","6,10M","3,64%"
"12.10.2021","9,060","8,900","9,170","8,840","4,31M","3,31%"
"11.10.2021","8,770","8,770","8,910","8,660","3,36M","0,34%"
"08.10.2021","8,740","8,930","8,990","8,650","4,00M","1,75%"
"07.10.2021","8,590","8,350","8,670","8,350","6,83M","2,26%"
"06.10.2021","8,400","8,160","8,410","8,100","10,17M","3,19%"
"05.10.2021","8,140","8,120","8,210","8,015","7,63M","-0,49%"
"04.10.2021","8,180","8,200","8,360","8,165","8,81M","0,00%"
"01.10.2021","8,180","8,220","8,275","8,100","3,12M","0,74%"
"30.09.2021","8,120","8,010","8,250","7,990","8,28M","4,77%"
"29.09.2021","7,750","7,900","7,920","7,750","5,69M","-1,90%"
"28.09.2021","7,900","7,950","8,060","7,865","6,78M","-2,83%"
"27.09.2021","8,130","8,120","8,230","8,060","3,13M","0,25%"
"24.09.2021","8,110","8,080","8,200","8,040","3,43M","0,12%"
"23.09.2021","8,100","8,220","8,250","8,090","4,17M","-2,99%"
"22.09.2021","8,350","8,340","8,585","8,280","4,57M","2,20%"
"21.09.2021","8,170","8,335","8,350","8,100","5,04M","-1,92%"
"20.09.2021","8,330","8,180","8,345","8,110","5,87M","2,46%"
"17.09.2021","8,130","8,060","8,140","7,930","6,83M","-0,37%"
"16.09.2021","8,160","8,260","8,280","8,030","7,73M","-6,31%"
"15.09.2021","8,710","8,630","8,800","8,630","3,57M","-0,46%"
"14.09.2021","8,750","8,820","8,900","8,570","5,24M","1,27%"
"13.09.2021","8,640","8,340","8,750","8,285","6,30M","4,85%"
"10.09.2021","8,240","8,570","8,605","8,230","10,01M","-5,18%"
"09.09.2021","8,690","8,860","8,880","8,545","5,59M","-1,36%"
"08.09.2021","8,810","8,910","8,940","8,720","4,08M","-1,23%"
"07.09.2021","8,920","9,130","9,195","8,905","8,05M","-2,73%"
"03.09.2021","9,170","9,180","9,375","9,095","4,14M","1,78%"
"02.09.2021","9,010","9,160","9,180","8,945","4,39M","-2,80%"
"01.09.2021","9,270","9,490","9,560","9,250","4,48M","-2,22%"
"31.08.2021","9,480","9,240","9,480","9,190","9,48M","4,06%"
"30.08.2021","9,110","9,500","9,520","8,980","7,56M","-4,11%"
"27.08.2021","9,500","9,110","9,530","9,050","4,68M","5,09%"
"26.08.2021","9,040","9,020","9,170","8,950","3,19M","-0,11%"
"25.08.2021","9,050","9,200","9,200","8,930","4,25M","-2,48%"
"24.08.2021","9,280","9,380","9,430","9,235","4,42M","1,20%"
"23.08.2021","9,170","9,150","9,260","8,950","4,13M","2,23%"
"20.08.2021","8,970","8,790","9,005","8,790","7,06M","2,16%"
"19.08.2021","8,780","8,650","8,915","8,640","5,31M","1,86%"
"18.08.2021","8,620","8,880","8,895","8,570","5,30M","-2,93%"
"17.08.2021","8,880","8,800","9,075","8,765","6,90M","1,95%"
"16.08.2021","8,710","8,900","9,005","8,660","8,64M","-0,91%"
"13.08.2021","8,790","8,780","8,930","8,730","3,49M","1,97%"
"12.08.2021","8,620","8,735","8,740","8,515","3,43M","-2,49%"
"11.08.2021","8,840","8,790","8,995","8,750","5,95M","3,88%"
"10.08.2021","8,510","8,510","8,630","8,370","5,41M","-1,28%"
"09.08.2021","8,620","8,680","8,840","8,570","4,67M","-2,27%"
"06.08.2021","8,820","9,230","9,260","8,810","9,62M","-8,79%"
"05.08.2021","9,670","10,040","10,050","9,600","4,63M","-3,69%"
"04.08.2021","10,040","10,240","10,340","10,010","6,11M","0,90%"
"03.08.2021","9,950","9,820","10,015","9,775","4,33M","1,63%"
"02.08.2021","9,790","9,820","9,830","9,685","4,18M","-0,31%"
"30.07.2021","9,820","9,650","9,845","9,640","6,22M","-0,91%"
"29.07.2021","9,910","9,830","9,970","9,800","4,62M","4,21%"
"28.07.2021","9,510","9,380","9,530","9,280","3,21M","0,74%"
"27.07.2021","9,440","9,330","9,450","9,145","5,58M","2,83%"
"26.07.2021","9,180","9,110","9,310","9,090","5,08M","1,21%"
"23.07.2021","9,070","9,230","9,260","9,010","3,12M","-1,73%"
"22.07.2021","9,230","9,320","9,330","9,100","7,39M","-0,32%"
"21.07.2021","9,260","9,180","9,310","9,150","3,44M","-0,32%"
"20.07.2021","9,290","9,370","9,530","9,235","8,05M","0,54%"
"19.07.2021","9,240","9,195","9,310","9,115","4,21M","-0,75%"
"16.07.2021","9,310","9,620","9,670","9,270","6,04M","-3,22%"
"15.07.2021","9,620","9,560","9,620","9,455","5,92M","1,58%"
"14.07.2021","9,470","9,470","9,630","9,410","7,39M","2,93%"
"13.07.2021","9,200","9,160","9,440","9,150","4,91M","1,88%"
"12.07.2021","9,030","9,200","9,320","8,990","4,69M","-1,10%"
"09.07.2021","9,130","8,930","9,200","8,920","6,38M","2,82%"
"08.07.2021","8,880","9,190","9,230","8,840","6,63M","-3,06%"
"07.07.2021","9,160","9,360","9,360","9,070","7,96M","0,22%"
"06.07.2021","9,140","9,370","9,440","9,055","7,70M","-0,44%"
"02.07.2021","9,180","9,290","9,325","9,115","8,62M","1,66%"
"01.07.2021","9,030","9,180","9,240","8,960","7,60M","1,46%"
"30.06.2021","8,900","8,850","8,985","8,850","5,21M","0,45%"
"29.06.2021","8,860","8,770","8,970","8,760","4,70M","-0,45%"
"28.06.2021","8,900","9,040","9,140","8,800","4,46M","-1,77%"
"25.06.2021","9,060","9,270","9,300","9,000","5,06M","-0,33%"
"24.06.2021","9,090","9,180","9,330","9,040","6,44M","0,22%"
"23.06.2021","9,070","9,210","9,360","9,040","8,26M","0,11%"
"22.06.2021","9,060","9,000","9,110","8,960","8,27M","-1,63%"
"21.06.2021","9,210","9,270","9,290","9,115","9,47M","0,44%"
"18.06.2021","9,170","9,380","9,440","8,990","59,68M","-2,03%"
"17.06.2021","9,360","9,540","9,640","9,240","19,41M","-3,51%"
"16.06.2021","9,700","10,040","10,110","9,630","14,58M","-4,15%"
"15.06.2021","10,120","10,500","10,500","10,000","14,39M","-1,94%"
"14.06.2021","10,320","10,390","10,520","10,260","17,46M","-4,27%"
"11.06.2021","10,780","11,080","11,120","10,710","5,83M","-3,06%"
"10.06.2021","11,120","10,850","11,130","10,780","6,66M","2,02%"
"09.06.2021","10,900","10,890","11,020","10,840","3,91M","-0,37%"
"08.06.2021","10,940","11,050","11,130","10,820","5,58M","-2,67%"
"07.06.2021","11,240","11,350","11,400","11,160","5,47M","-2,18%"
"04.06.2021","11,490","11,600","11,650","11,420","6,03M","0,26%"
"03.06.2021","11,460","11,700","11,740","11,410","6,54M","-4,58%"
"02.06.2021","12,010","12,010","12,110","11,890","4,13M","-0,17%"
"01.06.2021","12,030","12,340","12,430","12,010","7,96M","-0,66%"
"28.05.2021","12,110","12,010","12,170","11,960","6,04M","0,25%"
"27.05.2021","12,080","12,190","12,280","12,050","5,37M","-1,06%"
"26.05.2021","12,210","12,290","12,420","12,110","8,44M","0,74%"
"25.05.2021","12,120","12,090","12,250","11,890","10,60M","1,51%"
"24.05.2021","11,940","12,080","12,130","11,860","6,12M","-0,75%"
"21.05.2021","12,030","12,170","12,220","12,000","8,56M","-0,99%"
"20.05.2021","12,150","12,070","12,350","12,020","7,91M","2,45%"
"19.05.2021","11,860","12,150","12,530","11,730","12,63M","-0,59%"
"18.05.2021","11,930","11,940","12,080","11,760","7,52M","1,71%"
"17.05.2021","11,730","11,330","11,860","11,310","8,13M","4,55%"
"14.05.2021","11,220","10,940","11,240","10,880","5,11M","5,75%"
"13.05.2021","10,610","10,540","10,720","10,460","3,49M","0,38%"
"12.05.2021","10,570","10,700","10,770","10,490","4,71M","-0,28%"
"11.05.2021","10,600","10,330","10,610","10,240","6,24M","2,32%"
"10.05.2021","10,360","10,810","10,850","10,310","6,84M","-1,15%"
"07.05.2021","10,480","10,370","10,620","10,210","7,09M","5,22%"
"06.05.2021","9,960","9,680","10,110","9,660","6,78M","2,57%"
"05.05.2021","9,710","9,730","9,750","9,600","2,39M","1,15%"
