"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.06.2022","20,35","20,60","20,76","20,23","12,79M","-0,68%"
"31.05.2022","20,49","20,72","21,04","20,32","17,79M","-0,53%"
"27.05.2022","20,60","20,82","20,88","20,42","13,84M","-0,15%"
"26.05.2022","20,63","20,94","21,08","20,55","19,62M","-2,92%"
"25.05.2022","21,25","21,04","21,33","20,98","14,88M","-0,28%"
"24.05.2022","21,31","20,81","21,40","20,66","21,08M","2,80%"
"23.05.2022","20,73","21,13","21,22","20,53","10,84M","-0,14%"
"20.05.2022","20,76","20,79","20,81","20,46","19,96M","0,19%"
"19.05.2022","20,72","20,13","20,91","20,13","24,23M","4,91%"
"18.05.2022","19,75","20,38","20,47","19,73","20,61M","-3,52%"
"17.05.2022","20,47","20,79","20,83","20,36","13,85M","-0,24%"
"16.05.2022","20,52","20,41","20,58","20,33","13,41M","0,44%"
"13.05.2022","20,43","20,20","20,72","20,11","17,76M","0,44%"
"12.05.2022","20,34","20,75","21,02","20,04","23,84M","-4,19%"
"11.05.2022","21,23","21,51","21,89","21,13","20,77M","-0,28%"
"10.05.2022","21,29","21,67","21,88","21,00","20,72M","-0,93%"
"09.05.2022","21,49","21,87","22,14","21,42","31,88M","-4,15%"
"06.05.2022","22,42","22,39","22,63","22,23","13,79M","-0,62%"
"05.05.2022","22,56","23,42","23,42","22,27","17,16M","-2,72%"
"04.05.2022","23,19","22,70","23,21","22,30","17,98M","3,48%"
"03.05.2022","22,41","22,28","22,68","22,19","19,00M","1,13%"
"02.05.2022","22,16","21,75","22,24","21,51","26,38M","-0,67%"
"29.04.2022","22,31","22,74","22,89","22,28","18,24M","-0,54%"
"28.04.2022","22,43","22,23","22,48","22,08","16,66M","0,85%"
"27.04.2022","22,24","22,26","22,56","22,13","16,57M","-0,58%"
"26.04.2022","22,37","22,82","23,00","22,29","21,08M","-1,58%"
"25.04.2022","22,73","22,65","22,96","22,23","31,43M","-4,21%"
"22.04.2022","23,73","23,53","24,09","23,48","21,75M","-2,02%"
"21.04.2022","24,22","24,92","25,00","23,86","23,80M","-4,08%"
"20.04.2022","25,25","25,07","25,29","24,84","18,86M","0,96%"
"19.04.2022","25,01","25,03","25,40","24,79","15,68M","-1,46%"
"18.04.2022","25,38","25,52","25,99","25,36","15,02M","0,71%"
"14.04.2022","25,20","25,45","25,48","24,90","19,31M","-1,49%"
"13.04.2022","25,58","25,65","25,86","25,43","12,27M","0,55%"
"12.04.2022","25,44","25,73","25,92","25,31","14,58M","0,16%"
"11.04.2022","25,40","25,71","25,91","25,16","14,64M","-0,04%"
"08.04.2022","25,41","24,90","25,49","24,90","15,18M","2,05%"
"07.04.2022","24,90","24,65","25,06","24,54","22,80M","1,18%"
"06.04.2022","24,61","24,58","24,90","24,37","14,54M","0,61%"
"05.04.2022","24,46","24,96","25,48","24,33","16,89M","-1,61%"
"04.04.2022","24,86","25,09","25,12","24,55","12,99M","-0,32%"
"01.04.2022","24,94","24,30","25,01","24,28","15,55M","1,67%"
"31.03.2022","24,53","24,85","25,13","24,53","11,55M","-1,29%"
"30.03.2022","24,85","24,65","24,94","24,65","13,91M","1,30%"
"29.03.2022","24,53","23,74","24,57","23,61","21,43M","1,24%"
"28.03.2022","24,23","24,11","24,32","23,94","18,73M","-1,26%"
"25.03.2022","24,54","24,29","24,63","24,18","16,98M","0,16%"
"24.03.2022","24,50","24,75","24,96","24,41","17,52M","-0,28%"
"23.03.2022","24,57","24,40","24,59","24,16","16,40M","1,40%"
"22.03.2022","24,23","24,27","24,39","23,84","16,20M","-0,29%"
"21.03.2022","24,30","23,90","24,60","23,88","21,20M","1,80%"
"18.03.2022","23,87","24,10","24,15","23,73","36,45M","-0,87%"
"17.03.2022","24,08","23,90","24,54","23,86","22,70M","1,99%"
"16.03.2022","23,61","23,58","23,94","23,20","23,85M","-0,67%"
"15.03.2022","23,77","22,81","24,03","22,81","25,89M","0,55%"
"14.03.2022","23,64","23,75","24,01","23,38","22,80M","-2,92%"
"11.03.2022","24,35","23,72","24,57","23,48","19,90M","-0,57%"
"10.03.2022","24,49","24,42","25,01","24,27","26,48M","0,66%"
"09.03.2022","24,33","23,72","24,63","23,40","38,97M","-4,06%"
"08.03.2022","25,36","25,09","26,07","24,48","66,72M","2,01%"
"07.03.2022","24,86","24,37","24,98","23,94","38,80M","2,73%"
"04.03.2022","24,20","23,72","24,48","23,57","35,86M","2,67%"
"03.03.2022","23,57","23,12","23,70","23,12","23,87M","1,81%"
"02.03.2022","23,15","22,83","23,36","22,66","23,24M","-1,32%"
"01.03.2022","23,46","22,75","23,50","22,73","32,00M","3,94%"
"28.02.2022","22,57","22,88","22,91","22,33","23,73M","0,04%"
"25.02.2022","22,56","22,16","22,62","22,01","22,50M","0,09%"
"24.02.2022","22,54","23,45","23,59","22,09","53,01M","-1,27%"
"23.02.2022","22,83","22,70","23,18","22,70","23,75M","0,31%"
"22.02.2022","22,76","23,16","23,44","22,56","29,39M","-1,64%"
"18.02.2022","23,14","23,01","23,35","22,93","28,74M","-0,39%"
"17.02.2022","23,23","22,54","23,47","22,41","45,97M","4,50%"
"16.02.2022","22,23","21,14","22,45","21,13","39,37M","7,50%"
"15.02.2022","20,68","20,49","20,74","20,29","22,04M","-1,94%"
"14.02.2022","21,09","20,73","21,20","20,71","37,55M","1,98%"
"11.02.2022","20,68","19,35","20,87","19,29","32,06M","7,15%"
"10.02.2022","19,30","19,66","19,88","19,24","15,46M","-2,18%"
"09.02.2022","19,73","19,89","19,98","19,70","11,38M","-0,45%"
"08.02.2022","19,82","19,62","19,82","19,53","13,73M","1,23%"
"07.02.2022","19,58","19,34","19,66","19,19","13,16M","2,03%"
"04.02.2022","19,19","18,99","19,40","18,95","14,16M","0,68%"
"03.02.2022","19,06","19,17","19,30","18,81","12,19M","-0,83%"
"02.02.2022","19,22","19,05","19,50","18,88","16,51M","0,68%"
"01.02.2022","19,09","19,15","19,29","18,88","13,75M","-0,31%"
"31.01.2022","19,15","18,72","19,18","18,57","18,24M","3,18%"
"28.01.2022","18,56","18,51","18,59","18,26","19,10M","-0,80%"
"27.01.2022","18,71","18,75","19,15","18,66","20,25M","-1,68%"
"26.01.2022","19,03","19,36","19,72","18,92","24,18M","-2,36%"
"25.01.2022","19,49","19,21","19,58","19,14","16,28M","0,62%"
"24.01.2022","19,37","19,24","19,41","18,81","23,37M","0,16%"
"21.01.2022","19,34","20,01","20,06","19,26","21,71M","-2,86%"
"20.01.2022","19,91","20,14","20,30","19,89","20,13M","-1,29%"
"19.01.2022","20,17","18,81","20,24","18,76","35,46M","8,67%"
"18.01.2022","18,56","18,56","18,84","18,47","12,94M","-0,64%"
"14.01.2022","18,68","18,86","18,91","18,52","12,86M","-0,80%"
"13.01.2022","18,83","19,14","19,29","18,82","11,90M","-1,93%"
"12.01.2022","19,20","18,92","19,24","18,78","19,60M","1,80%"
"11.01.2022","18,86","18,67","18,88","18,50","13,71M","1,29%"
"10.01.2022","18,62","18,06","18,63","18,03","19,23M","2,87%"
"07.01.2022","18,10","18,09","18,22","17,93","12,79M","0,44%"
"06.01.2022","18,02","18,28","18,31","17,99","20,96M","-2,96%"
"05.01.2022","18,57","18,94","19,10","18,54","20,11M","-0,85%"
"04.01.2022","18,73","18,60","18,91","18,56","13,57M","1,02%"
"03.01.2022","18,54","18,78","18,80","18,51","12,95M","-2,42%"
"31.12.2021","19,00","18,98","19,08","18,78","14,26M","0,96%"
"30.12.2021","18,82","18,40","18,89","18,39","13,55M","2,28%"
"29.12.2021","18,40","18,24","18,66","18,22","16,74M","0,16%"
"28.12.2021","18,37","18,45","18,67","18,31","10,26M","-0,22%"
"27.12.2021","18,41","18,50","18,58","18,26","11,54M","-0,86%"
"23.12.2021","18,57","18,43","18,69","18,39","12,16M","0,22%"
"22.12.2021","18,53","18,44","18,55","18,17","14,59M","0,76%"
"21.12.2021","18,39","18,42","18,51","18,19","13,61M","0,33%"
"20.12.2021","18,33","18,37","18,44","18,08","17,68M","-0,33%"
"17.12.2021","18,39","18,56","18,85","18,37","30,83M","-0,27%"
"16.12.2021","18,44","17,90","18,47","17,89","24,16M","4,48%"
"15.12.2021","17,65","17,80","17,83","17,27","25,68M","-1,18%"
"14.12.2021","17,86","17,70","18,02","17,66","14,84M","-0,61%"
"13.12.2021","17,97","18,00","18,15","17,85","18,45M","0,11%"
"10.12.2021","17,95","18,24","18,26","17,92","15,62M","-1,21%"
"09.12.2021","18,17","18,32","18,39","18,02","15,39M","-2,31%"
"08.12.2021","18,60","18,48","18,66","18,35","10,08M","0,22%"
"07.12.2021","18,56","18,51","18,74","18,41","15,65M","0,38%"
"06.12.2021","18,49","18,11","18,55","18,03","17,54M","1,48%"
"03.12.2021","18,22","18,20","18,26","17,83","22,03M","0,22%"
"02.12.2021","18,18","18,36","18,39","17,94","23,19M","-1,14%"
"01.12.2021","18,39","19,09","19,44","18,38","20,58M","-3,16%"
"30.11.2021","18,99","19,35","19,76","18,92","20,94M","-0,84%"
"29.11.2021","19,15","19,05","19,20","18,88","17,81M","-1,19%"
"26.11.2021","19,38","19,80","19,83","19,22","13,97M","-0,05%"
"24.11.2021","19,39","19,23","19,53","19,23","13,87M","-0,21%"
"23.11.2021","19,43","19,50","19,67","19,31","13,40M","-1,82%"
"22.11.2021","19,79","19,82","20,02","19,53","19,03M","-2,27%"
"19.11.2021","20,25","20,45","20,71","20,15","17,86M","-1,51%"
"18.11.2021","20,56","20,90","20,99","20,49","14,81M","-2,05%"
"17.11.2021","20,99","20,80","21,19","20,73","18,50M","1,89%"
"16.11.2021","20,60","20,85","21,05","20,52","18,21M","-1,44%"
"15.11.2021","20,90","20,75","20,96","20,60","15,55M","0,72%"
"12.11.2021","20,75","20,50","20,95","20,39","15,51M","0,48%"
"11.11.2021","20,65","20,85","20,91","20,56","23,08M","0,93%"
"10.11.2021","20,46","20,25","20,62","20,22","31,13M","4,28%"
"09.11.2021","19,62","19,51","19,64","19,27","13,94M","0,72%"
"08.11.2021","19,48","19,76","19,80","19,33","16,96M","-0,61%"
"05.11.2021","19,60","18,93","19,60","18,81","21,08M","4,53%"
"04.11.2021","18,75","18,86","19,13","18,60","19,66M","0,70%"
"03.11.2021","18,62","18,20","18,77","18,19","19,08M","0,81%"
"02.11.2021","18,47","18,49","18,50","18,26","14,56M","-0,05%"
"01.11.2021","18,48","18,37","18,71","18,22","16,06M","0,60%"
"29.10.2021","18,37","18,63","18,72","18,37","22,77M","-3,01%"
"28.10.2021","18,94","19,42","19,47","18,90","20,81M","-2,32%"
"27.10.2021","19,39","19,37","19,53","19,30","10,69M","-0,21%"
"26.10.2021","19,43","19,46","19,58","19,30","11,96M","-0,61%"
"25.10.2021","19,55","19,76","19,77","19,52","12,47M","0,36%"
"22.10.2021","19,48","19,69","20,05","19,42","19,84M","0,57%"
"21.10.2021","19,37","19,32","19,43","19,21","9,81M","-0,26%"
"20.10.2021","19,42","19,43","19,67","19,33","13,21M","0,57%"
"19.10.2021","19,31","19,44","19,49","19,07","12,75M","1,26%"
"18.10.2021","19,07","19,08","19,24","18,90","11,38M","-0,31%"
"15.10.2021","19,13","19,17","19,25","18,80","17,79M","-2,25%"
"14.10.2021","19,57","19,49","19,74","19,40","19,46M","1,77%"
"13.10.2021","19,23","18,91","19,42","18,88","23,57M","3,05%"
"12.10.2021","18,66","18,49","18,83","18,31","15,42M","1,19%"
"11.10.2021","18,44","18,61","18,73","18,35","9,28M","-0,43%"
"08.10.2021","18,52","19,03","19,07","18,51","16,07M","-0,38%"
"07.10.2021","18,59","18,35","18,63","18,34","16,00M","0,76%"
"06.10.2021","18,45","18,06","18,46","18,01","13,81M","1,65%"
"05.10.2021","18,15","18,15","18,19","17,81","17,37M","-0,44%"
"04.10.2021","18,23","17,99","18,42","17,96","17,68M","1,33%"
"01.10.2021","17,99","18,08","18,08","17,73","20,64M","-0,33%"
"30.09.2021","18,05","17,69","18,22","17,65","22,26M","2,67%"
"29.09.2021","17,58","18,04","18,15","17,56","23,47M","-2,87%"
"28.09.2021","18,10","17,81","18,12","17,57","26,35M","0,84%"
"27.09.2021","17,95","18,06","18,25","17,87","20,56M","-0,44%"
"24.09.2021","18,03","18,09","18,27","18,03","13,37M","-1,10%"
"23.09.2021","18,23","18,30","18,38","18,09","19,44M","-1,19%"
"22.09.2021","18,45","18,55","18,81","18,41","17,05M","-0,22%"
"21.09.2021","18,49","18,80","18,85","18,48","17,14M","-0,86%"
"20.09.2021","18,65","18,23","18,65","18,09","22,69M","1,58%"
"17.09.2021","18,36","18,48","18,49","18,26","23,32M","-0,81%"
"16.09.2021","18,51","18,98","18,98","18,40","39,94M","-4,39%"
"15.09.2021","19,36","19,48","19,67","19,33","14,91M","-0,72%"
"14.09.2021","19,50","19,63","19,82","19,45","15,93M","0,15%"
"13.09.2021","19,47","19,39","19,69","19,23","15,49M","0,62%"
"10.09.2021","19,35","19,69","19,76","19,35","14,66M","-1,73%"
"09.09.2021","19,69","20,01","20,01","19,62","16,10M","-0,86%"
"08.09.2021","19,86","19,82","19,98","19,61","19,79M","0,05%"
"07.09.2021","19,85","20,15","20,16","19,73","18,90M","-2,22%"
"03.09.2021","20,30","20,18","20,51","20,05","20,24M","2,16%"
"02.09.2021","19,87","19,83","19,90","19,68","13,18M","0,30%"
"01.09.2021","19,81","20,20","20,22","19,80","13,68M","-1,30%"
